"anio","exporter_iso3","geonombreFundar","clasificacion_lall","impo","prop"
"2015","VEN","Venezuela","Manufacturas de media tecnología","1828.001","27.8883241048661"
"2015","VEN","Venezuela","Manufacturas de alta tecnología","114.683","1.74962523177961"
"2015","YEM","Yemen","Productos primarios","1233.891","100"
"2016","BRB","Barbados","Manufacturas de alta tecnología","0.954","61.8276085547634"
"2016","BRB","Barbados","Manufacturas de media tecnología","0.226","14.6467919637071"
"2016","BIH","Bosnia y Herzegovina","Manufacturas en basadas en RRNN","12.483","1.60090388292613"
"2016","BIH","Bosnia y Herzegovina","Manufacturas de baja tecnología","116.621","14.9562614540357"
"2016","CMR","Camerún","Manufacturas de media tecnología","27.653","7.70370824360578"
"2016","CMR","Camerún","Manufacturas de alta tecnología","26.813","7.46969692748714"
"2016","CPV","Cabo Verde","Manufacturas de alta tecnología","0.829","67.8396072013093"
"2016","CPV","Cabo Verde","Manufacturas de media tecnología","0.393","32.1603927986907"
"2016","COM","Comoras","Manufacturas en basadas en RRNN","23.381","99.8931897803982"
"2016","COG","Congo","Manufacturas de alta tecnología","21.507","37.9687168985241"
"2016","COD","Rep. Dem. Congo","Productos primarios","0.875","7.37338838796663"
"2016","COD","Rep. Dem. Congo","Manufacturas en basadas en RRNN","0.238","2.00556164152692"
"2016","CUB","Cuba","Manufacturas de alta tecnología","9084.031","65.3353213884126"
"2016","CUB","Cuba","Manufacturas de media tecnología","1066.262","7.66890496677649"
"2016","CYP","Chipre","Productos primarios","1.66","0.490980452471022"
"2016","CYP","Chipre","Manufacturas de baja tecnología","21.77","6.43894243993623"
"2016","SLV","El Salvador","Manufacturas de alta tecnología","58.256","9.33990880698762"
"2016","SLV","El Salvador","Manufacturas de media tecnología","126.102","20.21733693317"
"2016","GNQ","Guinea Ecuatorial","Productos primarios","13088.759","100"
"2016","ETH","Etiopía","Manufacturas en basadas en RRNN","1.171","1.87225197857543"
"2016","ETH","Etiopía","Productos primarios","61.374","98.1277480214246"
"2016","GAB","Gabón","Productos primarios","3.126","0.319911906535782"
"2016","GAB","Gabón","Manufacturas de baja tecnología","0.402","0.0411403027598798"
"2016","GAB","Gabón","Manufacturas en basadas en RRNN","961.643","98.4136422062664"
"2016","GEO","Georgia","Manufacturas en basadas en RRNN","38.062","10.212832181342"
"2016","GEO","Georgia","Manufacturas de baja tecnología","312.178","83.7638990254583"
