"anio","region","lall_desc_full","exportaciones","prop_global"
"1988","Asia","Manufacturas basadas en recursos naturales","87482633134","17.3943432229738"
"1988","Asia","Manufacturas de alta tecnología","128328564259","32.3809090730479"
"1988","Asia","Manufacturas de baja tecnología","159822087634","35.2990019745804"
"1988","Asia","Manufacturas de media tecnología","210106625894","24.7558625617422"
"1989","Asia","Manufacturas basadas en recursos naturales","100553903166","18.2021716681757"
"1989","Asia","Manufacturas de alta tecnología","141445519760","32.6035318916157"
"1989","Asia","Manufacturas de baja tecnología","180373893841","36.1217166827946"
"1989","Asia","Manufacturas de media tecnología","220659782180","24.2858089178736"
"1990","Asia","Manufacturas basadas en recursos naturales","105509058247","17.1755501650273"
"1990","Asia","Manufacturas de alta tecnología","155662315540","31.0918460312392"
"1990","Asia","Manufacturas de baja tecnología","198556004549","34.1466072689925"
"1990","Asia","Manufacturas de media tecnología","236430489074","22.6002081646298"
"1991","Asia","Manufacturas basadas en recursos naturales","107444525978","17.781825990264"
"1991","Asia","Manufacturas de alta tecnología","177544814108","32.1284723508886"
"1991","Asia","Manufacturas de baja tecnología","227625371186","37.3662620115043"
"1991","Asia","Manufacturas de media tecnología","264315008526","24.6675035866788"
"1992","Asia","Manufacturas basadas en recursos naturales","114513412774","18.2139252899987"
"1992","Asia","Manufacturas de alta tecnología","204548501541","33.7434695174345"
"1992","Asia","Manufacturas de baja tecnología","259554751735","38.4575313886366"
"1992","Asia","Manufacturas de media tecnología","290452513122","24.8460184252668"
"1993","Asia","Manufacturas basadas en recursos naturales","124528516457","20.1987489370249"
"1993","Asia","Manufacturas de alta tecnología","233519083502","37.0875827090226"
"1993","Asia","Manufacturas de baja tecnología","272402638470","41.0934449014589"
"1993","Asia","Manufacturas de media tecnología","312314504138","27.4619717030152"
"1994","Asia","Manufacturas basadas en recursos naturales","144214760373","20.4514238728079"
"1994","Asia","Manufacturas de alta tecnología","293764385104","38.9311113356088"
"1994","Asia","Manufacturas de baja tecnología","298748004133","40.5405520417964"
"1994","Asia","Manufacturas de media tecnología","352242615803","27.0338840730276"
"1995","Asia","Manufacturas basadas en recursos naturales","183072952213","19.8219363450688"
"1995","Asia","Manufacturas de alta tecnología","374524810229","39.8061414510308"
"1995","Asia","Manufacturas de baja tecnología","330493961603","38.5502008590207"
"1995","Asia","Manufacturas de media tecnología","402963507616","25.6335057985752"
"1996","Asia","Manufacturas basadas en recursos naturales","188515799955","20.1902281965507"
"1996","Asia","Manufacturas de alta tecnología","384692469755","38.4111345421196"
"1996","Asia","Manufacturas de baja tecnología","335773576194","38.033878221828"
"1996","Asia","Manufacturas de media tecnología","401954926010","24.411742752363"
"1997","Asia","Manufacturas basadas en recursos naturales","191769307663","20.3675341521765"
"1997","Asia","Manufacturas de alta tecnología","404971985171","37.5197552566328"
"1997","Asia","Manufacturas de baja tecnología","350741703645","38.2893746163766"
"1997","Asia","Manufacturas de media tecnología","408436278701","24.0931614522143"
"1998","Asia","Manufacturas basadas en recursos naturales","173406629930","19.6218354518347"
"1998","Asia","Manufacturas de alta tecnología","392677412006","35.0511185655068"
"1998","Asia","Manufacturas de baja tecnología","338261926938","37.0548829554231"
"1998","Asia","Manufacturas de media tecnología","391061019103","22.515090260529"
"1999","Asia","Manufacturas basadas en recursos naturales","190223767512","21.0107394118941"
"1999","Asia","Manufacturas de alta tecnología","456370586461","36.912155325668"
"1999","Asia","Manufacturas de baja tecnología","354284528952","38.6043671940161"
"1999","Asia","Manufacturas de media tecnología","414466514353","23.4563608194892"
"2000","Asia","Manufacturas basadas en recursos naturales","222138390900","22.2197144543818"
"2000","Asia","Manufacturas de alta tecnología","560030037634","39.9378551901616"
"2000","Asia","Manufacturas de baja tecnología","386078310810","40.6083043688003"
"2000","Asia","Manufacturas de media tecnología","468045243540","25.4909297765871"
"2001","Asia","Manufacturas basadas en recursos naturales","215479579396","22.3640287232101"
"2001","Asia","Manufacturas de alta tecnología","476565074725","36.8437662970662"
"2001","Asia","Manufacturas de baja tecnología","371106334055","39.5305138406009"
"2001","Asia","Manufacturas de media tecnología","432862844047","23.8693868706589"
"2002","Asia","Manufacturas basadas en recursos naturales","233179814930","23.172475565406"
"2002","Asia","Manufacturas de alta tecnología","530126010198","39.1386984950357"
"2002","Asia","Manufacturas de baja tecnología","400316721768","40.2353444940177"
"2002","Asia","Manufacturas de media tecnología","489120639245","25.1729226592107"
"2003","Asia","Manufacturas basadas en recursos naturales","286855719237.171","24.0939519538833"
"2003","Asia","Manufacturas de alta tecnología","575626505189.669","39.1231115238891"
"2003","Asia","Manufacturas de baja tecnología","436284582845.029","39.1521363090136"
"2003","Asia","Manufacturas de media tecnología","556268236591.754","24.6933593897011"
"2004","Asia","Manufacturas basadas en recursos naturales","378719068623.776","25.2446248571817"
"2004","Asia","Manufacturas de alta tecnología","717731936158.337","40.8643690788125"
"2004","Asia","Manufacturas de baja tecnología","522493774727.564","39.8360161132241"
"2004","Asia","Manufacturas de media tecnología","709565811611.649","25.9968381518618"
"2005","Asia","Manufacturas basadas en recursos naturales","473930949610.924","26.5394620151331"
"2005","Asia","Manufacturas de alta tecnología","800511376093.77","41.5666079700773"
"2005","Asia","Manufacturas de baja tecnología","590350363044.321","41.1378469371767"
"2005","Asia","Manufacturas de media tecnología","813873399450.16","26.8612433729949"
"2006","Asia","Manufacturas basadas en recursos naturales","564953512340.669","26.5802100112184"
"2006","Asia","Manufacturas de alta tecnología","922308968346.177","41.6669624988469"
"2006","Asia","Manufacturas de baja tecnología","677346515866.091","42.3500953634854"
"2006","Asia","Manufacturas de media tecnología","930097565050.135","27.3495572279885"
"2007","Asia","Manufacturas basadas en recursos naturales","682756679256.655","27.8328184141379"
