"anio","vabpb_industrial","poblacion","vab_indust_pc","vab_indust_pc_indice"
1937,"14920.4909672942","13506705","1104.67289892644","38.3936507801521"
1938,"15505.7602583869","13718677","1130.26644321365","39.2831716532944"
1939,"16116.2232606856","13933975","1156.61347610324","40.19888053041"
1940,"16143.3549496767","14152653","1140.65927778182","39.6443816199858"
1941,"16779.0116631814","14373251","1167.37762828892","40.5729958910413"
1942,"17019.3209085307","14597287","1165.92356569619","40.522458966082"
1943,"17788.6980892056","14824815","1199.92715519253","41.704276626009"
1944,"20178.2246982033","15055890","1340.22131525956","46.580294670213"
1945,"20311.9451653735","15290566","1328.39720683809","46.1693398165529"
1946,"22912.7113529445","15621428","1466.7488371066","50.9778439289974"
1947,"26418.5131661456","15959450","1655.35235651263","57.5328863012871"
1948,"26736.3415228979","16304785","1639.78497863651","56.991831596026"
1949,"25780.9184748558","16657594","1547.69761316405","53.791273173121"
1950,"26550.2956555307","17018036","1560.12689452124","54.2232612198451"
1951,"27245.9004281245","17356467","1569.78378307777","54.558892887122"
1952,"26731.0976896771","17698877","1510.32733261422","52.4924438976124"
1953,"26582.0395241213","18041302","1473.39917729448","51.2089809823195"
1954,"28688.176196697","18381213","1560.73357055908","54.2443466542358"
1955,"32197.9439282568","18716029","1720.34056627379","59.79159531173"
1956,"34429.6759069953","19049964","1807.33548404581","62.8151622842093"
1957,"37148.6072601894","19383035","1916.55265855886","66.6110787600493"
1958,"40252.6055410694","19714253","2041.80222000141","70.9642116440603"
1959,"36091.3984193028","20049609","1800.10485088775","62.5638567577863"
1960,"39721.2407842269","20386045","1948.45252152769","67.7197799873087"
1961,"43700.2657036476","20726276","2108.44754280255","73.2805147345448"
1962,"41284.9713543634","21072538","1959.18362346118","68.0927466641604"
1963,"39612.2074964592","21421705","1849.16221638097","64.2688785436662"
1964,"47080.2976244457","21769453","2162.67710651461","75.1652997538423"
1965,"53579.5096763194","22112629","2423.02756837821","84.213955444551"
1966,"53932.8327354147","22453893","2401.93683720746","83.480932874653"
1967,"54749.8923095725","22799059","2401.41017704163","83.4626284457977"
1968,"58307.9659281179","23150583","2518.63920351889","87.5370022339474"
1969,"64624.9957776456","23508711","2748.98082577329","95.5426804881743"
1970,"68703.3928074368","23878327","2877.2280741208","100"
1971,"72923.2857517228","24257208","3006.25223445843","104.484321611419"
1972,"75853.3122723869","24644328","3077.92171376663","106.975242645898"
1973,"78861.9093366218","25046005","3148.68216853833","109.434569920234"
1974,"83494.2976346549","25461351","3279.25637703415","113.972764499603"
1975,"81363.0716402948","25874107","3144.57506264061","109.291824687951"
1976,"78894.6470631097","26282283","3001.81864197679","104.33022911797"
1977,"85059.1609607749","26701805","3185.52101480686","110.714928839288"
1978,"76108.6665389922","27132158","2805.10921906736","97.4934606087673"
1979,"83860.960171319","27568895","3041.86874995603","105.72219760109"
1980,"80665.7580661033","28011596","2879.7273124353","100.086862711266"
1981,"71079.8384607835","28463959","2497.18735404248","86.7914287540637"
1982,"69098.7564331872","28924262","2388.95486540632","83.0297356992221"
1983,"74179.4578948953","29391332","2523.85492072613","87.718277999124"
1984,"76127.9297526416","29863093","2549.23124515741","88.6002492498403"
1985,"68634.2273581549","30336441","2262.43504826934","78.6324542228259"
1986,"76348.7120741935","30811980","2477.89048526559","86.120753080124"
1987,"77127.2013470124","31291762","2464.77655515252","85.6649696046665"
1988,"73740.2598360582","31780532","2320.29658396084","80.6434708749968"
1989,"68155.2356229185","32270948","2111.96880931166","73.4028987242179"
1990,"65479.4941536273","32755901","1999.01367859267","69.4770670623151"
1991,"72176.004738512","33230294","2171.99416708477","75.4891204705232"
1992,"80626.632061685","33693527","2392.94129289834","83.1682866722183"
1993,"84365.4587496306","34152717","2470.24149644172","85.854907320705"
1994,"88186.9520972266","34613491","2547.7624345151","88.5491997464825"
1995,"81936.3742545693","35070020","2336.36519895253","81.2019464138747"
1996,"87128.6626740751","35513793","2453.37530333848","85.2687114172609"
1997,"95091.3316971799","35947792","2645.26209835586","91.9378662452462"
1998,"96924.7133318555","36372860","2664.75370184955","92.6153100554541"
1999,"89240.7827181441","36794682","2425.37176209715","84.2954294764508"
2000,"85846.3518286548","37213984","2306.83045998662","80.1754466646347"
2001,"79586.6263431685","37624826","2115.26895415193","73.5175974813292"
2002,"70704.4504258809","38029349","1859.2074880346","64.6180087271223"
2003,"81994.1416097001","38424282","2133.91473677244","74.1656442172908"
2004,"91866.3304900707","38815916","2366.71808775737","82.2568815119242"
2005,"98685.7145214105","39216790","2516.41489579872","87.4596949206978"
2006,"107665.903719491","39622115","2717.31843995434","94.4422329392385"
2007,"115777.417926596","40016763","2893.22297074844","100.555913407474"
2008,"119969.834518658","40424148","2967.77645180445","103.147069865545"
2009,"111260.235188149","40854831","2723.30670485821","94.650359120049"
2010,"123396.437156716","41288694","2988.62534031026","103.871687030702"
2011,"132856.759558096","41730660","3183.67261764122","110.650686550598"
2012,"128986.208718318","42161722","3059.32022222238","106.328735276129"
2013,"130925.557184758","42582455","3074.63618959399","106.86105203994"
2014,"124308.517541199","43024071","2889.27836562","100.418815998898"
2015,"125260.636657611","43477012","2881.07739919226","100.133785886009"
2016,"118244.613424159","43900313","2693.47996275467","93.613710605049"
2017,"121288.313105618","44288894","2738.57173099916","95.1809053870708"
2018,"115460.503553405","44654882","2585.6188255834","89.8649241205352"
2019,"108352.11939657","44973466","2409.24547368819","83.7349494591035"
2020,"100012.849839277","45191965","2213.06707595648","76.9166370876846"
2021,"115784.762921244","45312281","2555.2622901779","88.8098622824229"
2022,"121258.574686773","45407904","2670.42880214803","92.8125519894362"
2023,"118789.351937863","45538401","2608.55342588474","90.6620316042145"
2024,"108319.076062284","45696159","2370.41971213126","82.3855339606885"
