"geocodigoFundar","geonombreFundar","cadena","share"
"AR-F","La Rioja","Tabacalera","0.01000"
"AR-F","La Rioja","Tealera","0.86000"
"AR-F","La Rioja","Triguera","0.24000"
"AR-F","La Rioja","Vitivinícola","3.18000"
"AR-F","La Rioja","Yerba mate","0.02000"
"AR-G","Santiago del Estero","Algodón textil","2.24000"
"AR-G","Santiago del Estero","Apícola","1.52000"
"AR-G","Santiago del Estero","Arrocera","0.01000"
"AR-G","Santiago del Estero","Avícola","0.78000"
"AR-G","Santiago del Estero","Azucarera","0.01000"
"AR-G","Santiago del Estero","Bovina","2.87000"
"AR-G","Santiago del Estero","Caprina","23.09000"
"AR-G","Santiago del Estero","Cebada","0.05000"
"AR-G","Santiago del Estero","Cítricos dulces","0.26000"
"AR-G","Santiago del Estero","Fruta de carozo","0.28000"
"AR-G","Santiago del Estero","Frutas finas","0.19000"
"AR-G","Santiago del Estero","Girasol","1.32000"
"AR-G","Santiago del Estero","Hortícola","0.50000"
"AR-G","Santiago del Estero","Legumbres","9.93000"
"AR-G","Santiago del Estero","Limón","0.02000"
"AR-G","Santiago del Estero","Láctea","1.19000"
"AR-G","Santiago del Estero","Maicera","6.49000"
"AR-G","Santiago del Estero","Maní","0.16000"
"AR-G","Santiago del Estero","Olivícola","0.03000"
"AR-G","Santiago del Estero","Ovina","1.25000"
"AR-G","Santiago del Estero","Peras y Manzanas","0.02000"
"AR-G","Santiago del Estero","Pesca","0.00000"
"AR-G","Santiago del Estero","Porcina","2.01000"
"AR-G","Santiago del Estero","Sojera","2.45000"
"AR-G","Santiago del Estero","Sorgo","3.03000"
"AR-G","Santiago del Estero","Tabacalera","0.01000"
"AR-G","Santiago del Estero","Tealera","0.21000"
"AR-G","Santiago del Estero","Triguera","2.16000"
"AR-G","Santiago del Estero","Vitivinícola","0.04000"
"AR-G","Santiago del Estero","Yerba mate","0.01000"
"AR-H","Chaco","Algodón textil","3.38000"
"AR-H","Chaco","Apícola","3.33000"
"AR-H","Chaco","Arrocera","4.01000"
"AR-H","Chaco","Avícola","0.30000"
"AR-H","Chaco","Azucarera","0.00000"
"AR-H","Chaco","Bovina","3.38000"
"AR-H","Chaco","Caprina","3.24000"
"AR-H","Chaco","Cebada","0.04000"
"AR-H","Chaco","Cítricos dulces","0.06000"
"AR-H","Chaco","Fruta de carozo","0.00000"
"AR-H","Chaco","Frutas finas","0.09000"
"AR-H","Chaco","Girasol","6.88000"
"AR-H","Chaco","Hortícola","0.11000"
"AR-H","Chaco","Legumbres","0.14000"
"AR-H","Chaco","Limón","0.03000"
"AR-H","Chaco","Láctea","0.48000"
"AR-H","Chaco","Maicera","2.80000"
"AR-H","Chaco","Maní","0.18000"
"AR-H","Chaco","Olivícola","0.02000"
"AR-H","Chaco","Ovina","0.68000"
"AR-H","Chaco","Peras y Manzanas","0.01000"
"AR-H","Chaco","Pesca","0.00000"
"AR-H","Chaco","Porcina","1.70000"
"AR-H","Chaco","Sojera","1.34000"
"AR-H","Chaco","Sorgo","4.37000"
"AR-H","Chaco","Tabacalera","0.15000"
"AR-H","Chaco","Tealera","0.13000"
"AR-H","Chaco","Triguera","0.81000"
"AR-H","Chaco","Vitivinícola","0.05000"
"AR-H","Chaco","Yerba mate","0.01000"
"AR-J","San Juan","Algodón textil","1.43000"
"AR-J","San Juan","Apícola","0.27000"
"AR-J","San Juan","Arrocera","0.01000"
"AR-J","San Juan","Avícola","0.08000"
"AR-J","San Juan","Azucarera","0.00000"
"AR-J","San Juan","Bovina","0.08000"
"AR-J","San Juan","Caprina","0.53000"
"AR-J","San Juan","Cebada","0.18000"
"AR-J","San Juan","Cítricos dulces","2.03000"
"AR-J","San Juan","Fruta de carozo","4.71000"
"AR-J","San Juan","Frutas finas","1.86000"
"AR-J","San Juan","Girasol","0.04000"
"AR-J","San Juan","Hortícola","2.92000"
"AR-J","San Juan","Legumbres","0.01000"
"AR-J","San Juan","Limón","0.02000"
"AR-J","San Juan","Láctea","0.22000"
"AR-J","San Juan","Maicera","0.13000"
"AR-J","San Juan","Maní","0.16000"
"AR-J","San Juan","Olivícola","16.30000"
"AR-J","San Juan","Ovina","0.06000"
"AR-J","San Juan","Peras y Manzanas","0.58000"
"AR-J","San Juan","Pesca","0.00000"
"AR-J","San Juan","Porcina","0.29000"
"AR-J","San Juan","Sojera","0.04000"
"AR-J","San Juan","Sorgo","0.10000"
"AR-J","San Juan","Tabacalera","0.01000"
"AR-J","San Juan","Tealera","0.40000"
"AR-J","San Juan","Triguera","1.18000"
"AR-J","San Juan","Vitivinícola","17.78000"
"AR-J","San Juan","Yerba mate","0.01000"
"AR-K","Catamarca","Algodón textil","1.59000"
"AR-K","Catamarca","Apícola","0.71000"
"AR-K","Catamarca","Arrocera","0.00000"
"AR-K","Catamarca","Avícola","0.06000"
"AR-K","Catamarca","Azucarera","0.00000"
"AR-K","Catamarca","Bovina","0.53000"
"AR-K","Catamarca","Caprina","2.72000"
"AR-K","Catamarca","Cebada","0.02000"
"AR-K","Catamarca","Cítricos dulces","1.21000"
"AR-K","Catamarca","Fruta de carozo","0.64000"
"AR-K","Catamarca","Frutas finas","5.98000"
"AR-K","Catamarca","Girasol","0.01000"
"AR-K","Catamarca","Hortícola","2.65000"
"AR-K","Catamarca","Legumbres","1.99000"
"AR-K","Catamarca","Limón","0.14000"
"AR-K","Catamarca","Láctea","0.09000"
"AR-K","Catamarca","Maicera","0.30000"
"AR-K","Catamarca","Maní","0.03000"
"AR-K","Catamarca","Olivícola","19.00000"
"AR-K","Catamarca","Ovina","0.69000"
"AR-K","Catamarca","Peras y Manzanas","0.07000"
"AR-K","Catamarca","Pesca","0.00000"
"AR-K","Catamarca","Porcina","0.61000"
"AR-K","Catamarca","Sojera","0.16000"
"AR-K","Catamarca","Sorgo","0.15000"
"AR-K","Catamarca","Tabacalera","0.12000"
"AR-K","Catamarca","Tealera","0.07000"
"AR-K","Catamarca","Triguera","0.57000"
"AR-K","Catamarca","Vitivinícola","0.80000"
"AR-K","Catamarca","Yerba mate","0.00000"
"AR-L","La Pampa","Algodón textil","0.11000"
"AR-L","La Pampa","Apícola","5.92000"
"AR-L","La Pampa","Arrocera","0.01000"
"AR-L","La Pampa","Avícola","0.59000"
"AR-L","La Pampa","Azucarera","0.05000"
"AR-L","La Pampa","Bovina","5.06000"
"AR-L","La Pampa","Caprina","3.56000"
"AR-L","La Pampa","Cebada","3.42000"
"AR-L","La Pampa","Cítricos dulces","0.06000"
"AR-L","La Pampa","Fruta de carozo","0.00000"
"AR-L","La Pampa","Frutas finas","0.09000"
"AR-L","La Pampa","Girasol","2.07000"
"AR-L","La Pampa","Hortícola","0.11000"
"AR-L","La Pampa","Legumbres","0.02000"
"AR-L","La Pampa","Limón","0.02000"
"AR-L","La Pampa","Láctea","1.38000"
"AR-L","La Pampa","Maicera","4.36000"
"AR-L","La Pampa","Maní","1.09000"
"AR-L","La Pampa","Olivícola","0.03000"
"AR-L","La Pampa","Ovina","1.57000"
"AR-L","La Pampa","Peras y Manzanas","0.02000"
"AR-L","La Pampa","Pesca","0.00000"
"AR-L","La Pampa","Porcina","1.49000"
"AR-L","La Pampa","Sojera","0.98000"
"AR-L","La Pampa","Sorgo","8.98000"
"AR-L","La Pampa","Tabacalera","0.01000"
"AR-L","La Pampa","Tealera","0.07000"
"AR-L","La Pampa","Triguera","1.34000"
"AR-L","La Pampa","Vitivinícola","0.09000"
"AR-L","La Pampa","Yerba mate","0.02000"
"AR-M","Mendoza","Algodón textil","0.87000"
"AR-M","Mendoza","Apícola","4.38000"
"AR-M","Mendoza","Arrocera","0.01000"
"AR-M","Mendoza","Avícola","0.75000"
"AR-M","Mendoza","Azucarera","1.64000"
