"geocodigoFundar","geonombreFundar","tipo_carne","valor"
"FJI","Fiji","pescado_mariscos","27.95000"
"FJI","Fiji","porcina","1.34000"
"FJI","Fiji","vacuna","4.95000"
"FRA","Francia","aviar","24.74000"
"FRA","Francia","caprina_ovina","2.21000"
"FRA","Francia","otras_carnes","0.52000"
"FRA","Francia","pescado_mariscos","32.90000"
"FRA","Francia","porcina","31.18000"
"FRA","Francia","vacuna","21.65000"
"FSM","Micronesia","aviar","37.62000"
"FSM","Micronesia","caprina_ovina","0.12000"
"FSM","Micronesia","otras_carnes","0.32000"
"FSM","Micronesia","pescado_mariscos","49.00000"
"FSM","Micronesia","porcina","18.49000"
"FSM","Micronesia","vacuna","7.45000"
"GAB","Gabón","aviar","35.17000"
"GAB","Gabón","caprina_ovina","0.56000"
"GAB","Gabón","otras_carnes","12.83000"
"GAB","Gabón","pescado_mariscos","27.03000"
"GAB","Gabón","porcina","9.17000"
"GAB","Gabón","vacuna","5.35000"
"GBR","Reino Unido","aviar","38.18000"
"GBR","Reino Unido","caprina_ovina","3.66000"
"GBR","Reino Unido","otras_carnes","1.09000"
"GBR","Reino Unido","pescado_mariscos","17.69000"
"GBR","Reino Unido","porcina","24.66000"
"GBR","Reino Unido","vacuna","16.85000"
"GEO","Georgia","aviar","20.29000"
"GEO","Georgia","caprina_ovina","1.29000"
"GEO","Georgia","otras_carnes","0.18000"
"GEO","Georgia","pescado_mariscos","10.34000"
"GEO","Georgia","porcina","16.00000"
"GEO","Georgia","vacuna","7.66000"
"GHA","Ghana","aviar","9.07000"
"GHA","Ghana","caprina_ovina","1.90000"
"GHA","Ghana","otras_carnes","3.70000"
"GHA","Ghana","pescado_mariscos","23.61000"
"GHA","Ghana","porcina","1.14000"
"GHA","Ghana","vacuna","1.57000"
"GIN","Guinea","aviar","5.90000"
"GIN","Guinea","caprina_ovina","2.11000"
"GIN","Guinea","otras_carnes","0.45000"
"GIN","Guinea","pescado_mariscos","10.65000"
"GIN","Guinea","porcina","0.37000"
"GIN","Guinea","vacuna","6.35000"
"GMB","Gambia","aviar","15.53000"
"GMB","Gambia","caprina_ovina","0.64000"
"GMB","Gambia","otras_carnes","0.59000"
"GMB","Gambia","pescado_mariscos","20.18000"
"GMB","Gambia","porcina","0.84000"
"GMB","Gambia","vacuna","1.54000"
"GNB","Guinea-Bissau","aviar","3.89000"
"GNB","Guinea-Bissau","caprina_ovina","1.01000"
"GNB","Guinea-Bissau","otras_carnes","0.00000"
"GNB","Guinea-Bissau","pescado_mariscos","2.34000"
"GNB","Guinea-Bissau","porcina","5.50000"
"GNB","Guinea-Bissau","vacuna","3.62000"
"GRC","Grecia","aviar","30.27000"
"GRC","Grecia","caprina_ovina","7.11000"
"GRC","Grecia","otras_carnes","1.83000"
"GRC","Grecia","pescado_mariscos","19.64000"
"GRC","Grecia","porcina","27.82000"
"GRC","Grecia","vacuna","14.97000"
"GRD","Granada","aviar","45.70000"
"GRD","Granada","caprina_ovina","3.24000"
"GRD","Granada","otras_carnes","1.12000"
"GRD","Granada","pescado_mariscos","20.32000"
"GRD","Granada","porcina","22.15000"
"GRD","Granada","vacuna","8.26000"
"GTM","Guatemala","aviar","29.89000"
"GTM","Guatemala","caprina_ovina","0.12000"
"GTM","Guatemala","otras_carnes","0.14000"
"GTM","Guatemala","pescado_mariscos","3.76000"
"GTM","Guatemala","porcina","5.73000"
"GTM","Guatemala","vacuna","18.39000"
"GUY","Guyana","aviar","76.85000"
"GUY","Guyana","caprina_ovina","1.08000"
"GUY","Guyana","otras_carnes","0.10000"
"GUY","Guyana","pescado_mariscos","24.76000"
"GUY","Guyana","porcina","7.01000"
"GUY","Guyana","vacuna","3.68000"
"HKG","Hong Kong","aviar","41.44000"
"HKG","Hong Kong","caprina_ovina","0.45000"
"HKG","Hong Kong","otras_carnes","2.07000"
"HKG","Hong Kong","pescado_mariscos","69.12000"
"HKG","Hong Kong","porcina","46.02000"
"HKG","Hong Kong","vacuna","17.46000"
"HND","Honduras","aviar","24.16000"
"HND","Honduras","caprina_ovina","0.02000"
"HND","Honduras","otras_carnes","0.06000"
"HND","Honduras","pescado_mariscos","4.38000"
"HND","Honduras","porcina","7.21000"
"HND","Honduras","vacuna","6.24000"
"HRV","Croacia","aviar","20.10000"
"HRV","Croacia","caprina_ovina","1.97000"
"HRV","Croacia","otras_carnes","0.91000"
"HRV","Croacia","pescado_mariscos","19.89000"
"HRV","Croacia","porcina","61.06000"
"HRV","Croacia","vacuna","15.67000"
"HTI","Haití","aviar","10.10000"
"HTI","Haití","caprina_ovina","0.60000"
"HTI","Haití","otras_carnes","0.82000"
"HTI","Haití","pescado_mariscos","5.41000"
"HTI","Haití","porcina","4.76000"
"HTI","Haití","vacuna","4.43000"
"HUN","Hungría","aviar","24.08000"
"HUN","Hungría","caprina_ovina","0.14000"
"HUN","Hungría","otras_carnes","0.47000"
"HUN","Hungría","pescado_mariscos","6.46000"
"HUN","Hungría","porcina","47.21000"
"HUN","Hungría","vacuna","4.43000"
"IDN","Indonesia","aviar","15.95000"
"IDN","Indonesia","caprina_ovina","0.41000"
"IDN","Indonesia","otras_carnes","0.01000"
"IDN","Indonesia","pescado_mariscos","40.42000"
"IDN","Indonesia","porcina","0.56000"
"IDN","Indonesia","vacuna","3.01000"
"IND","India","aviar","3.52000"
"IND","India","caprina_ovina","1.89000"
"IND","India","otras_carnes","0.14000"
"IND","India","pescado_mariscos","8.73000"
"IND","India","porcina","0.26000"
"IND","India","vacuna","2.32000"
"IRL","Irlanda","aviar","36.20000"
"IRL","Irlanda","caprina_ovina","4.29000"
"IRL","Irlanda","otras_carnes","3.65000"
"IRL","Irlanda","pescado_mariscos","19.26000"
"IRL","Irlanda","porcina","31.11000"
"IRL","Irlanda","vacuna","23.14000"
"IRN","Irán","aviar","23.47000"
"IRN","Irán","caprina_ovina","3.10000"
"IRN","Irán","otras_carnes","0.10000"
"IRN","Irán","pescado_mariscos","11.30000"
"IRN","Irán","porcina","0.00000"
"IRN","Irán","vacuna","3.23000"
"IRQ","Iraq","aviar","17.97000"
"IRQ","Iraq","caprina_ovina","1.59000"
"IRQ","Iraq","otras_carnes","0.09000"
"IRQ","Iraq","pescado_mariscos","2.65000"
"IRQ","Iraq","porcina","0.48000"
"IRQ","Iraq","vacuna","4.44000"
"ISL","Islandia","aviar","31.54000"
"ISL","Islandia","caprina_ovina","17.19000"
"ISL","Islandia","otras_carnes","10.83000"
"ISL","Islandia","pescado_mariscos","83.80000"
"ISL","Islandia","porcina","21.23000"
"ISL","Islandia","vacuna","17.26000"
"ISR","Israel","aviar","72.82000"
"ISR","Israel","caprina_ovina","4.71000"
"ISR","Israel","otras_carnes","0.01000"
"ISR","Israel","pescado_mariscos","24.76000"
"ISR","Israel","porcina","1.13000"
"ISR","Israel","vacuna","30.06000"
"ITA","Italia","aviar","20.47000"
"ITA","Italia","caprina_ovina","0.87000"
"ITA","Italia","otras_carnes","1.24000"
