"geocodigoFundar","geonombreFundar","valor"
"MLI","Malí","52032.60000"
"MLT","Malta","4950.00000"
"MMR","Myanmar","707500.00000"
"MNE","Montenegro","2665.29000"
"MNG","Mongolia","486.71000"
"MOZ","Mozambique","135022.00000"
"MRT","Mauritania","4933.76000"
"MTQ","Martinica","0.00000"
"MUS","Mauricio","51200.00000"
"MWI","Malawi","111034.91000"
"MYS","Malasia","1602620.28000"
"NAM","Namibia","11792.04000"
"NCL","Nueva Caledonia","886.27000"
"NER","Níger","20459.73000"
"NGA","Nigeria","342932.82000"
"NIC","Nicaragua","0.00000"
"NIU","Niue","25.78000"
"NLD","Países Bajos","840530.00000"
"NOR","Noruega","110833.00000"
"NPL","Nepal","180076.00000"
"NRU","Nauru","4.02000"
"NZL","Nueva Zelanda","230307.00000"
"OMN","Omán","6900.32000"
"PAK","Pakistán","2362000.00000"
"PAN","Panamá","198283.91000"
"PER","Perú","1859237.57000"
"PHL","Filipinas","1601795.00000"
"PNG","Papúa Nueva Guinea","6912.19000"
"POL","Polonia","2433020.00000"
"PRI","Puerto Rico","24352.24000"
"PRK","Corea del Norte","22522.35000"
"PRT","Portugal","341120.00000"
"PRY","Paraguay","78425.85000"
"PSE","Palestina","0.00000"
"PYF","Polinesia Francesa","658.99000"
"QAT","Qatar","25000.00000"
"REU","Reunión","0.00000"
"ROU","Rumania","532940.00000"
"RUS","Rusia","5457329.80000"
"RWA","Ruanda","15043.11000"
"SAU","Arabia Saudita","757432.16000"
"SDN","Sudán","76041.98000"
"SEN","Senegal","159502.29000"
"SGP","Singapur","45032.22000"
"SLB","Islas Salomón","285.56000"
"SLE","Sierra Leona","18321.50000"
"SLV","El Salvador","167371.47000"
"SOM","Somalia","4088.26000"
"SRB","Serbia","139560.00000"
"SSD","Sudán del Sur","52008.52000"
"STP","Santo Tomé y Príncipe","418.49000"
"SUR","Suriname","8221.39000"
"SVK","Eslovaquia","0.00000"
"SVN","Eslovenia","72750.00000"
"SWE","Suecia","173950.00000"
"SWZ","Eswatini","2860.67000"
"SYC","Seychelles","744.36000"
"SYR","Siria","168188.00000"
"TCD","Chad","6410.32000"
"TGO","Togo","32631.74000"
"THA","Tailandia","1917976.66000"
"TJK","Tayikistán","47381.00000"
"TKM","Turkmenistán","24885.56000"
"TLS","Timor-Leste","492.00000"
"TON","Tonga","272.25000"
"TTO","Trinidad y Tobago","46888.00000"
"TUN","Túnez","163333.20000"
"TUR","Turquía","2512130.86000"
"TUV","Tuvalu","63.56000"
"TWN","Taiwán","690000.00000"
"TZA","Tanzanía","147450.00000"
"UGA","Uganda","132768.44000"
"UKR","Ucrania","1120200.00000"
"URY","Uruguay","74323.28000"
"USA","Estados Unidos","20176637.00000"
"UZB","Uzbekistán","174100.00000"
"VCT","San Vicente y las Granadinas","211.00000"
"VEN","Venezuela","541858.17000"
"VNM","Vietnam","1259484.49000"
"VUT","Vanuatu","547.72000"
"WSM","Samoa","381.71000"
"YEM","Yemen","204416.32000"
"ZAF","Sudáfrica","1915000.00000"
"ZMB","Zambia","51237.45000"
"ZWE","Zimbabwe","108739.84000"
