"cadena","anio","valor"
"Caña de Azucar","2001","1276000000.00000"
"Caña de Azucar","2002","1240000000.00000"
"Caña de Azucar","2003","1195000000.00000"
"Caña de Azucar","2004","1227000000.00000"
"Caña de Azucar","2005","1157000000.00000"
"Caña de Azucar","2006","1152000000.00000"
"Caña de Azucar","2007","1264000000.00000"
"Caña de Azucar","2008","1414000000.00000"
"Caña de Azucar","2009","1378000000.00000"
"Caña de Azucar","2010","1145000000.00000"
"Caña de Azucar","2011","1212000000.00000"
"Caña de Azucar","2012","1262000000.00000"
"Caña de Azucar","2013","1275000000.00000"
"Caña de Azucar","2014","1317000000.00000"
"Caña de Azucar","2015","1227000000.00000"
"Caña de Azucar","2016","1280000000.00000"
"Caña de Azucar","2017","1320000000.00000"
"Caña de Azucar","2018","1368000000.00000"
"Caña de Azucar","2019","1180000000.00000"
"Caña de Azucar","2020","1343000000.00000"
"Caña de Azucar","2021","1387000000.00000"
"Cebada","2001","3797000000.00000"
"Cebada","2002","3617000000.00000"
"Cebada","2003","3899000000.00000"
"Cebada","2004","4184000000.00000"
"Cebada","2005","4304000000.00000"
"Cebada","2006","4521000000.00000"
"Cebada","2007","4973000000.00000"
"Cebada","2008","5752000000.00000"
"Cebada","2009","5951000000.00000"
"Cebada","2010","6195000000.00000"
"Cebada","2011","7191000000.00000"
"Cebada","2012","7258000000.00000"
"Cebada","2013","8207000000.00000"
"Cebada","2014","7080000000.00000"
"Cebada","2015","6569000000.00000"
"Cebada","2016","7326000000.00000"
"Cebada","2017","6927000000.00000"
"Cebada","2018","7445000000.00000"
"Cebada","2019","8686000000.00000"
"Cebada","2020","7252000000.00000"
"Cebada","2021","7568000000.00000"
"Citrico","2001","1268000000.00000"
"Citrico","2002","1161000000.00000"
"Citrico","2003","994000000.00000"
"Citrico","2004","1173000000.00000"
"Citrico","2005","1229000000.00000"
"Citrico","2006","1225000000.00000"
"Citrico","2007","1381000000.00000"
"Citrico","2008","1172000000.00000"
"Citrico","2009","1131000000.00000"
"Citrico","2010","1118000000.00000"
"Citrico","2011","1416000000.00000"
"Citrico","2012","1030000000.00000"
"Citrico","2013","970000000.00000"
"Citrico","2014","1235000000.00000"
"Citrico","2015","1243000000.00000"
"Citrico","2016","1220000000.00000"
"Citrico","2017","1196000000.00000"
"Citrico","2018","1192000000.00000"
"Citrico","2019","1163000000.00000"
"Citrico","2020","1115000000.00000"
"Citrico","2021","1130000000.00000"
"Colza","2001","20000000.00000"
"Colza","2002","9000000.00000"
"Colza","2003","19000000.00000"
"Colza","2004","27000000.00000"
"Colza","2005","40000000.00000"
"Colza","2006","17000000.00000"
"Colza","2007","23000000.00000"
"Colza","2008","747000000.00000"
"Colza","2009","996000000.00000"
"Colza","2010","775000000.00000"
"Colza","2011","925000000.00000"
"Colza","2012","1039000000.00000"
"Colza","2013","933000000.00000"
"Colza","2014","825000000.00000"
"Colza","2015","842000000.00000"
"Colza","2016","170000000.00000"
"Colza","2017","86000000.00000"
"Colza","2018","45000000.00000"
"Colza","2019","51000000.00000"
"Colza","2020","42000000.00000"
"Colza","2021","23000000.00000"
"Forestal","2001","4344000000.00000"
"Forestal","2002","4224000000.00000"
"Forestal","2003","3951000000.00000"
"Forestal","2004","3959000000.00000"
"Forestal","2005","4289000000.00000"
"Forestal","2006","4301000000.00000"
"Forestal","2007","4568000000.00000"
"Forestal","2008","4391000000.00000"
"Forestal","2009","4349000000.00000"
"Forestal","2010","4748000000.00000"
"Forestal","2011","4926000000.00000"
"Forestal","2012","5179000000.00000"
"Forestal","2013","5367000000.00000"
"Forestal","2014","4734000000.00000"
"Forestal","2015","4926000000.00000"
"Forestal","2016","4765000000.00000"
"Forestal","2017","5347000000.00000"
"Forestal","2018","5447000000.00000"
"Forestal","2019","5272000000.00000"
"Forestal","2020","5163000000.00000"
"Forestal","2021","5550000000.00000"
"Girasol","2001","2644000000.00000"
"Girasol","2002","3109000000.00000"
"Girasol","2003","3049000000.00000"
"Girasol","2004","2599000000.00000"
"Girasol","2005","3041000000.00000"
"Girasol","2006","3132000000.00000"
"Girasol","2007","2867000000.00000"
"Girasol","2008","3824000000.00000"
"Girasol","2009","2175000000.00000"
"Girasol","2010","1910000000.00000"
"Girasol","2011","3046000000.00000"
"Girasol","2012","2820000000.00000"
"Girasol","2013","2531000000.00000"
"Girasol","2014","1736000000.00000"
"Girasol","2015","2574000000.00000"
"Girasol","2016","2473000000.00000"
"Girasol","2017","2913000000.00000"
"Girasol","2018","2865000000.00000"
"Girasol","2019","2917000000.00000"
"Girasol","2020","2341000000.00000"
"Girasol","2021","2691000000.00000"
"Lacteo","2001","10171000000.00000"
"Lacteo","2002","9153000000.00000"
"Lacteo","2003","8563000000.00000"
"Lacteo","2004","9949000000.00000"
"Lacteo","2005","10407000000.00000"
"Lacteo","2006","11210000000.00000"
"Lacteo","2007","10672000000.00000"
"Lacteo","2008","11124000000.00000"
"Lacteo","2009","11205000000.00000"
"Lacteo","2010","11479000000.00000"
"Lacteo","2011","12423000000.00000"
"Lacteo","2012","12667000000.00000"
"Lacteo","2013","12196000000.00000"
"Lacteo","2014","12178000000.00000"
"Lacteo","2015","12512000000.00000"
"Lacteo","2016","11053000000.00000"
"Lacteo","2017","10940000000.00000"
"Lacteo","2018","11517000000.00000"
"Lacteo","2019","11178000000.00000"
"Lacteo","2020","11813000000.00000"
"Lacteo","2021","12331000000.00000"
"Limón","2001","1393000000.00000"
"Limón","2002","1490000000.00000"
"Limón","2003","1405000000.00000"
"Limón","2004","1520000000.00000"
"Limón","2005","1732000000.00000"
"Limón","2006","1741000000.00000"
"Limón","2007","1719000000.00000"
"Limón","2008","1529000000.00000"
"Limón","2009","1616000000.00000"
"Limón","2010","1264000000.00000"
"Limón","2011","1992000000.00000"
"Limón","2012","1643000000.00000"
"Limón","2013","1662000000.00000"
"Limón","2014","1061000000.00000"
"Limón","2015","1771000000.00000"
"Limón","2016","1930000000.00000"
"Limón","2017","1908000000.00000"
"Limón","2018","2256000000.00000"
"Limón","2019","2259000000.00000"
"Limón","2020","2215000000.00000"
"Limón","2021","2201000000.00000"
"Maiz","2001","3908000000.00000"
"Maiz","2002","3703000000.00000"
"Maiz","2003","3823000000.00000"
"Maiz","2004","3793000000.00000"
"Maiz","2005","5148000000.00000"
"Maiz","2006","3732000000.00000"
"Maiz","2007","5495000000.00000"
"Maiz","2008","5579000000.00000"
"Maiz","2009","3479000000.00000"
"Maiz","2010","5807000000.00000"
"Maiz","2011","6125000000.00000"
"Maiz","2012","5521000000.00000"
"Maiz","2013","8244000000.00000"
"Maiz","2014","8643000000.00000"
"Maiz","2015","9007000000.00000"
"Maiz","2016","10426000000.00000"
"Maiz","2017","12839000000.00000"
"Maiz","2018","11463000000.00000"
"Maiz","2019","14655000000.00000"
"Maiz","2020","14947000000.00000"
"Maiz","2021","15590000000.00000"
"Maní","2001","711000000.00000"
"Maní","2002","645000000.00000"
"Maní","2003","405000000.00000"
"Maní","2004","522000000.00000"
"Maní","2005","793000000.00000"
"Maní","2006","624000000.00000"
"Maní","2007","1035000000.00000"
"Maní","2008","1093000000.00000"
"Maní","2009","1075000000.00000"
"Maní","2010","1066000000.00000"
"Maní","2011","1205000000.00000"
"Maní","2012","1195000000.00000"
"Maní","2013","1766000000.00000"
"Maní","2014","2006000000.00000"
"Maní","2015","1754000000.00000"
"Maní","2016","1737000000.00000"
"Maní","2017","1876000000.00000"
"Maní","2018","1603000000.00000"
"Maní","2019","2312000000.00000"
"Maní","2020","2211000000.00000"
"Maní","2021","2175000000.00000"
"Miel","2001","362000000.00000"
"Miel","2002","376000000.00000"
"Miel","2003","330000000.00000"
"Miel","2004","362000000.00000"
"Miel","2005","430000000.00000"
"Miel","2006","471000000.00000"
"Miel","2007","330000000.00000"
"Miel","2008","326000000.00000"
"Miel","2009","273000000.00000"
"Miel","2010","270000000.00000"
"Miel","2011","341000000.00000"
"Miel","2012","354000000.00000"
"Miel","2013","307000000.00000"
"Miel","2014","257000000.00000"
"Miel","2015","215000000.00000"
"Miel","2016","382000000.00000"
"Miel","2017","331000000.00000"
"Miel","2018","333000000.00000"
"Miel","2019","308000000.00000"
"Miel","2020","337000000.00000"
"Miel","2021","312000000.00000"
"Olivo","2001","243000000.00000"
"Olivo","2002","254000000.00000"
"Olivo","2003","278000000.00000"
"Olivo","2004","405000000.00000"
"Olivo","2005","444000000.00000"
"Olivo","2006","441000000.00000"
"Olivo","2007","473000000.00000"
"Olivo","2008","522000000.00000"
"Olivo","2009","465000000.00000"
"Olivo","2010","439000000.00000"
"Olivo","2011","471000000.00000"
"Olivo","2012","528000000.00000"
"Olivo","2013","473000000.00000"
"Olivo","2014","517000000.00000"
"Olivo","2015","540000000.00000"
"Olivo","2016","496000000.00000"
"Olivo","2017","626000000.00000"
"Olivo","2018","435000000.00000"
"Olivo","2019","409000000.00000"
"Olivo","2020","439000000.00000"
"Olivo","2021","486000000.00000"
"Ovinos","2001","1450000000.00000"
"Ovinos","2002","1566000000.00000"
"Ovinos","2003","1552000000.00000"
"Ovinos","2004","1581000000.00000"
"Ovinos","2005","1590000000.00000"
"Ovinos","2006","1560000000.00000"
"Ovinos","2007","1522000000.00000"
"Ovinos","2008","1342000000.00000"
"Ovinos","2009","1299000000.00000"
"Ovinos","2010","1248000000.00000"
"Ovinos","2011","1131000000.00000"
"Ovinos","2012","937000000.00000"
"Ovinos","2013","923000000.00000"
"Ovinos","2014","977000000.00000"
"Ovinos","2015","992000000.00000"
"Ovinos","2016","1049000000.00000"
"Ovinos","2017","1085000000.00000"
"Ovinos","2018","1024000000.00000"
"Ovinos","2019","1044000000.00000"
"Ovinos","2020","1054000000.00000"
"Ovinos","2021","983000000.00000"
"Papa","2001","490000000.00000"
"Papa","2002","417000000.00000"
"Papa","2003","410000000.00000"
"Papa","2004","395000000.00000"
"Papa","2005","489000000.00000"
"Papa","2006","523000000.00000"
"Papa","2007","360000000.00000"
"Papa","2008","372000000.00000"
"Papa","2009","381000000.00000"
"Papa","2010","393000000.00000"
"Papa","2011","403000000.00000"
"Papa","2012","420000000.00000"
"Papa","2013","432000000.00000"
"Papa","2014","443000000.00000"
"Papa","2015","456000000.00000"
"Papa","2016","475000000.00000"
"Papa","2017","480000000.00000"
"Papa","2018","429000000.00000"
"Papa","2019","432000000.00000"
"Papa","2020","479000000.00000"
"Papa","2021","491000000.00000"
"Peras y Manzanas","2001","1280000000.00000"
"Peras y Manzanas","2002","1049000000.00000"
"Peras y Manzanas","2003","1147000000.00000"
"Peras y Manzanas","2004","1039000000.00000"
"Peras y Manzanas","2005","1192000000.00000"
"Peras y Manzanas","2006","1126000000.00000"
"Peras y Manzanas","2007","1113000000.00000"
"Peras y Manzanas","2008","1095000000.00000"
"Peras y Manzanas","2009","1067000000.00000"
"Peras y Manzanas","2010","903000000.00000"
"Peras y Manzanas","2011","1270000000.00000"
"Peras y Manzanas","2012","1215000000.00000"
"Peras y Manzanas","2013","1208000000.00000"
"Peras y Manzanas","2014","920000000.00000"
"Peras y Manzanas","2015","852000000.00000"
"Peras y Manzanas","2016","640000000.00000"
"Peras y Manzanas","2017","637000000.00000"
"Peras y Manzanas","2018","701000000.00000"
"Peras y Manzanas","2019","744000000.00000"
"Peras y Manzanas","2020","812000000.00000"
"Peras y Manzanas","2021","749000000.00000"
"Porcinos","2001","2240000000.00000"
"Porcinos","2002","1764000000.00000"
"Porcinos","2003","1750000000.00000"
"Porcinos","2004","2012000000.00000"
"Porcinos","2005","2223000000.00000"
"Porcinos","2006","2677000000.00000"
"Porcinos","2007","2854000000.00000"
"Porcinos","2008","2833000000.00000"
"Porcinos","2009","2985000000.00000"
"Porcinos","2010","2935000000.00000"
"Porcinos","2011","3074000000.00000"
"Porcinos","2012","3346000000.00000"
"Porcinos","2013","3862000000.00000"
"Porcinos","2014","4140000000.00000"
"Porcinos","2015","4439000000.00000"
"Porcinos","2016","4802000000.00000"
"Porcinos","2017","5181000000.00000"
"Porcinos","2018","5661000000.00000"
"Porcinos","2019","5573000000.00000"
"Porcinos","2020","5779000000.00000"
"Porcinos","2021","6109000000.00000"
"Soja","2001","16599000000.00000"
"Soja","2002","18608000000.00000"
"Soja","2003","21547000000.00000"
"Soja","2004","19707000000.00000"
"Soja","2005","23845000000.00000"
"Soja","2006","25422000000.00000"
"Soja","2007","29621000000.00000"
"Soja","2008","28572000000.00000"
"Soja","2009","19831000000.00000"
"Soja","2010","34514000000.00000"
"Soja","2011","31856000000.00000"
"Soja","2012","26596000000.00000"
"Soja","2013","31633000000.00000"
"Soja","2014","34544000000.00000"
"Soja","2015","38864000000.00000"
"Soja","2016","38139000000.00000"
"Soja","2017","35883000000.00000"
"Soja","2018","25108000000.00000"
"Soja","2019","35606000000.00000"
"Soja","2020","31001000000.00000"
"Soja","2021","30336000000.00000"
"Sorgo","2001","475000000.00000"
"Sorgo","2002","465000000.00000"
"Sorgo","2003","438000000.00000"
"Sorgo","2004","353000000.00000"
"Sorgo","2005","472000000.00000"
"Sorgo","2006","380000000.00000"
"Sorgo","2007","456000000.00000"
"Sorgo","2008","480000000.00000"
"Sorgo","2009","241000000.00000"
"Sorgo","2010","594000000.00000"
"Sorgo","2011","728000000.00000"
"Sorgo","2012","694000000.00000"
"Sorgo","2013","593000000.00000"
"Sorgo","2014","566000000.00000"
"Sorgo","2015","506000000.00000"
"Sorgo","2016","494000000.00000"
"Sorgo","2017","412000000.00000"
"Sorgo","2018","255000000.00000"
"Sorgo","2019","261000000.00000"
"Sorgo","2020","299000000.00000"
"Sorgo","2021","542000000.00000"
"Tabaco","2001","934000000.00000"
"Tabaco","2002","1162000000.00000"
"Tabaco","2003","1091000000.00000"
"Tabaco","2004","1332000000.00000"
"Tabaco","2005","1351000000.00000"
"Tabaco","2006","1270000000.00000"
"Tabaco","2007","1178000000.00000"
"Tabaco","2008","1202000000.00000"
"Tabaco","2009","1249000000.00000"
"Tabaco","2010","1225000000.00000"
"Tabaco","2011","1247000000.00000"
"Tabaco","2012","1063000000.00000"
"Tabaco","2013","1036000000.00000"
"Tabaco","2014","1172000000.00000"
"Tabaco","2015","1006000000.00000"
"Tabaco","2016","864000000.00000"
"Tabaco","2017","1080000000.00000"
"Tabaco","2018","957000000.00000"
"Tabaco","2019","845000000.00000"
"Tabaco","2020","817000000.00000"
"Tabaco","2021","928000000.00000"
"Tomate","2001","695000000.00000"
"Tomate","2002","715000000.00000"
"Tomate","2003","718000000.00000"
"Tomate","2004","723000000.00000"
"Tomate","2005","723000000.00000"
"Tomate","2006","718000000.00000"
"Tomate","2007","729000000.00000"
"Tomate","2008","721000000.00000"
"Tomate","2009","720000000.00000"
"Tomate","2010","724000000.00000"
"Tomate","2011","721000000.00000"
"Tomate","2012","719000000.00000"
"Tomate","2013","717000000.00000"
"Tomate","2014","709000000.00000"
"Tomate","2015","709000000.00000"
"Tomate","2016","710000000.00000"
"Tomate","2017","709000000.00000"
"Tomate","2018","707000000.00000"
"Tomate","2019","705000000.00000"
"Tomate","2020","785000000.00000"
"Tomate","2021","782000000.00000"
"Trigo","2001","8796000000.00000"
"Trigo","2002","8581000000.00000"
"Trigo","2003","7745000000.00000"
"Trigo","2004","8595000000.00000"
"Trigo","2005","9110000000.00000"
"Trigo","2006","7975000000.00000"
"Trigo","2007","9134000000.00000"
"Trigo","2008","10119000000.00000"
"Trigo","2009","7225000000.00000"
"Trigo","2010","7494000000.00000"
"Trigo","2011","9960000000.00000"
"Trigo","2012","9235000000.00000"
"Trigo","2013","6259000000.00000"
"Trigo","2014","6996000000.00000"
"Trigo","2015","8899000000.00000"
"Trigo","2016","7968000000.00000"
"Trigo","2017","10528000000.00000"
"Trigo","2018","10426000000.00000"
"Trigo","2019","11125000000.00000"
"Trigo","2020","11304000000.00000"
"Trigo","2021","10393000000.00000"
"Té","2001","59000000.00000"
"Té","2002","59000000.00000"
"Té","2003","60000000.00000"
"Té","2004","66000000.00000"
"Té","2005","65000000.00000"
"Té","2006","71000000.00000"
"Té","2007","78000000.00000"
"Té","2008","67000000.00000"
"Té","2009","66000000.00000"
"Té","2010","82000000.00000"
"Té","2011","80000000.00000"
"Té","2012","74000000.00000"
"Té","2013","74000000.00000"
"Té","2014","73000000.00000"
"Té","2015","72000000.00000"
"Té","2016","74000000.00000"
"Té","2017","71000000.00000"
"Té","2018","72000000.00000"
"Té","2019","72000000.00000"
"Té","2020","64000000.00000"
"Té","2021","65000000.00000"
"Uva","2001","3844000000.00000"
"Uva","2002","3238000000.00000"
"Uva","2003","3356000000.00000"
"Uva","2004","3896000000.00000"
"Uva","2005","3960000000.00000"
"Uva","2006","4028000000.00000"
"Uva","2007","4102000000.00000"
"Uva","2008","3884000000.00000"
"Uva","2009","3113000000.00000"
"Uva","2010","3995000000.00000"
"Uva","2011","4053000000.00000"
"Uva","2012","3109000000.00000"
"Uva","2013","3967000000.00000"
"Uva","2014","3869000000.00000"
"Uva","2015","3442000000.00000"
"Uva","2016","2468000000.00000"
"Uva","2017","2950000000.00000"
"Uva","2018","3723000000.00000"
"Uva","2019","3450000000.00000"
"Uva","2020","2857000000.00000"
"Uva","2021","3214000000.00000"
"Yerba Mate","2001","698000000.00000"
"Yerba Mate","2002","667000000.00000"
"Yerba Mate","2003","735000000.00000"
"Yerba Mate","2004","734000000.00000"
"Yerba Mate","2005","785000000.00000"
"Yerba Mate","2006","780000000.00000"
"Yerba Mate","2007","797000000.00000"
"Yerba Mate","2008","782000000.00000"
"Yerba Mate","2009","759000000.00000"
"Yerba Mate","2010","836000000.00000"
"Yerba Mate","2011","811000000.00000"
"Yerba Mate","2012","826000000.00000"
"Yerba Mate","2013","794000000.00000"
"Yerba Mate","2014","904000000.00000"
"Yerba Mate","2015","921000000.00000"
"Yerba Mate","2016","929000000.00000"
"Yerba Mate","2017","784000000.00000"
"Yerba Mate","2018","919000000.00000"
"Yerba Mate","2019","951000000.00000"
"Yerba Mate","2020","924000000.00000"
"Yerba Mate","2021","1002000000.00000"
