"anio","iso3","pais_nombre","ncm6","desc_ncm6","expo","share","ranking"
"2024","ATG","Antigua y Barbuda","120190","La soja, incluso quebrantadas, excepto para siembra","1530.32000","0.00200","59"
"2024","ATG","Antigua y Barbuda","120242","Cacahuetes sin cáscara, incluso quebrantados","1.14000","0.00000","129"
"2024","ATG","Antigua y Barbuda","230400","Tortas y demás residuos sólidos de la extracción del aceite de soja ""soya"", incl. molidos o en ""pellets""","41.70300","0.00000","93"
"2024","AZE","Azerbaiyán","100199","Otros tipos de trigo y el trigo con centeno, excepto para la siembra","16.63700","0.00000","84"
"2024","AZE","Azerbaiyán","100590","Maíz (exc. para siembra)","65.45800","0.00000","105"
"2024","AZE","Azerbaiyán","120190","La soja, incluso quebrantadas, excepto para siembra","1890.02100","0.00200","57"
"2024","AZE","Azerbaiyán","120242","Cacahuetes sin cáscara, incluso quebrantados","68.62400","0.00200","88"
"2024","ARG","Argentina","020130","Carne deshuesada, de bovinos, fresca o refrigerada","986472.61900","4.21200","8"
"2024","ARG","Argentina","020230","Carne deshuesada, de bovinos, congelada","1808895.38900","5.38700","6"
"2024","ARG","Argentina","030617","Otros gambas, congelados","1082146.60800","5.75400","4"
"2024","ARG","Argentina","100199","Otros tipos de trigo y el trigo con centeno, excepto para la siembra","2049120.60000","4.67800","7"
"2024","ARG","Argentina","100590","Maíz (exc. para siembra)","6801667.44200","16.86500","3"
"2024","ARG","Argentina","120190","La soja, incluso quebrantadas, excepto para siembra","1926662.35800","2.40600","5"
"2024","ARG","Argentina","120242","Cacahuetes sin cáscara, incluso quebrantados","924263.25600","21.21900","1"
"2024","ARG","Argentina","150710","Aceite de soja ""soya"" en bruto, incl. desgomado","5051906.56800","49.00800","1"
"2024","ARG","Argentina","150790","Aceite de soja ""soya"" y sus fracciones, incl. refinados, sin modificar químicamente","793866.53900","26.91900","1"
"2024","ARG","Argentina","230400","Tortas y demás residuos sólidos de la extracción del aceite de soja ""soya"", incl. molidos o en ""pellets""","8694926.85400","25.86700","2"
"2024","AUS","Australia","020130","Carne deshuesada, de bovinos, fresca o refrigerada","3429854.14500","14.64400","2"
"2024","AUS","Australia","020230","Carne deshuesada, de bovinos, congelada","5202654.07800","15.49400","2"
"2024","AUS","Australia","030617","Otros gambas, congelados","30693.24400","0.16300","34"
"2024","AUS","Australia","100199","Otros tipos de trigo y el trigo con centeno, excepto para la siembra","5181946.82800","11.82900","3"
"2024","AUS","Australia","100590","Maíz (exc. para siembra)","34344.68200","0.08500","39"
"2024","AUS","Australia","120190","La soja, incluso quebrantadas, excepto para siembra","5052.74600","0.00600","46"
"2024","AUS","Australia","120242","Cacahuetes sin cáscara, incluso quebrantados","1508.78200","0.03500","41"
"2024","AUS","Australia","150710","Aceite de soja ""soya"" en bruto, incl. desgomado","27.14600","0.00000","77"
"2024","AUS","Australia","150790","Aceite de soja ""soya"" y sus fracciones, incl. refinados, sin modificar químicamente","3308.90100","0.11200","43"
"2024","AUS","Australia","230400","Tortas y demás residuos sólidos de la extracción del aceite de soja ""soya"", incl. molidos o en ""pellets""","20.21400","0.00000","98"
"2024","AUT","Austria","020130","Carne deshuesada, de bovinos, fresca o refrigerada","270801.73700","1.15600","19"
"2024","AUT","Austria","020230","Carne deshuesada, de bovinos, congelada","130886.86400","0.39000","23"
"2024","AUT","Austria","030617","Otros gambas, congelados","1844.60500","0.01000","75"
"2024","AUT","Austria","100199","Otros tipos de trigo y el trigo con centeno, excepto para la siembra","241539.22300","0.55100","19"
"2024","AUT","Austria","100590","Maíz (exc. para siembra)","121321.83700","0.30100","23"
"2024","AUT","Austria","120190","La soja, incluso quebrantadas, excepto para siembra","88819.03900","0.11100","18"
"2024","AUT","Austria","120242","Cacahuetes sin cáscara, incluso quebrantados","3374.43700","0.07700","26"
"2024","AUT","Austria","150710","Aceite de soja ""soya"" en bruto, incl. desgomado","5329.02100","0.05200","41"
"2024","AUT","Austria","150790","Aceite de soja ""soya"" y sus fracciones, incl. refinados, sin modificar químicamente","3634.81900","0.12300","42"
"2024","AUT","Austria","230400","Tortas y demás residuos sólidos de la extracción del aceite de soja ""soya"", incl. molidos o en ""pellets""","69360.68600","0.20600","26"
"2024","BHS","Bahamas","020130","Carne deshuesada, de bovinos, fresca o refrigerada","1.16000","0.00000","111"
"2024","BHS","Bahamas","020230","Carne deshuesada, de bovinos, congelada","3.45100","0.00000","113"
"2024","BHS","Bahamas","030617","Otros gambas, congelados","0.44100","0.00000","139"
"2024","BHS","Bahamas","100199","Otros tipos de trigo y el trigo con centeno, excepto para la siembra","0.18100","0.00000","107"
"2024","BHR","Bahrein","020230","Carne deshuesada, de bovinos, congelada","336.28600","0.00100","82"
"2024","BHR","Bahrein","030617","Otros gambas, congelados","3676.06200","0.02000","61"
"2024","BHR","Bahrein","100590","Maíz (exc. para siembra)","29.33600","0.00000","117"
"2024","BHR","Bahrein","120190","La soja, incluso quebrantadas, excepto para siembra","3.00400","0.00000","107"
"2024","BHR","Bahrein","120242","Cacahuetes sin cáscara, incluso quebrantados","3.25700","0.00000","122"
"2024","BHR","Bahrein","230400","Tortas y demás residuos sólidos de la extracción del aceite de soja ""soya"", incl. molidos o en ""pellets""","0.02200","0.00000","120"
"2024","BGD","Bangladesh","020130","Carne deshuesada, de bovinos, fresca o refrigerada","16.27400","0.00000","92"
"2024","BGD","Bangladesh","020230","Carne deshuesada, de bovinos, congelada","17.80800","0.00000","106"
"2024","BGD","Bangladesh","030617","Otros gambas, congelados","208532.51000","1.10900","12"
"2024","BGD","Bangladesh","100199","Otros tipos de trigo y el trigo con centeno, excepto para la siembra","0.88900","0.00000","99"
"2024","BGD","Bangladesh","100590","Maíz (exc. para siembra)","140.77800","0.00000","96"
"2024","BGD","Bangladesh","120190","La soja, incluso quebrantadas, excepto para siembra","3.43100","0.00000","106"
"2024","BGD","Bangladesh","150790","Aceite de soja ""soya"" y sus fracciones, incl. refinados, sin modificar químicamente","1869.66000","0.06300","50"
"2024","BGD","Bangladesh","230400","Tortas y demás residuos sólidos de la extracción del aceite de soja ""soya"", incl. molidos o en ""pellets""","1.14400","0.00000","109"
"2024","ARM","Armenia","030617","Otros gambas, congelados","46.78900","0.00000","115"
"2024","ARM","Armenia","100199","Otros tipos de trigo y el trigo con centeno, excepto para la siembra","14.36000","0.00000","85"
"2024","ARM","Armenia","100590","Maíz (exc. para siembra)","15.44700","0.00000","124"
"2024","ARM","Armenia","120242","Cacahuetes sin cáscara, incluso quebrantados","15.37300","0.00000","108"
"2024","ARM","Armenia","230400","Tortas y demás residuos sólidos de la extracción del aceite de soja ""soya"", incl. molidos o en ""pellets""","121.68200","0.00000","86"
"2024","BRB","Barbados","100590","Maíz (exc. para siembra)","4.06200","0.00000","135"
"2024","BRB","Barbados","150790","Aceite de soja ""soya"" y sus fracciones, incl. refinados, sin modificar químicamente","2560.03700","0.08700","47"
"2024","BRB","Barbados","230400","Tortas y demás residuos sólidos de la extracción del aceite de soja ""soya"", incl. molidos o en ""pellets""","165.45200","0.00000","84"
"2024","BEL","Bélgica","020130","Carne deshuesada, de bovinos, fresca o refrigerada","333775.33800","1.42500","15"
"2024","BEL","Bélgica","020230","Carne deshuesada, de bovinos, congelada","74538.05000","0.22200","27"
"2024","BEL","Bélgica","030617","Otros gambas, congelados","119524.74000","0.63600","17"
"2024","BEL","Bélgica","100199","Otros tipos de trigo y el trigo con centeno, excepto para la siembra","58333.54000","0.13300","33"
"2024","BEL","Bélgica","100590","Maíz (exc. para siembra)","37087.43000","0.09200","35"
"2024","BEL","Bélgica","120190","La soja, incluso quebrantadas, excepto para siembra","42328.72000","0.05300","29"
"2024","BEL","Bélgica","120242","Cacahuetes sin cáscara, incluso quebrantados","1646.20100","0.03800","37"
"2024","BEL","Bélgica","150710","Aceite de soja ""soya"" en bruto, incl. desgomado","10163.32600","0.09900","36"
"2024","BEL","Bélgica","150790","Aceite de soja ""soya"" y sus fracciones, incl. refinados, sin modificar químicamente","18505.79700","0.62800","24"
"2024","BEL","Bélgica","230400","Tortas y demás residuos sólidos de la extracción del aceite de soja ""soya"", incl. molidos o en ""pellets""","188436.51500","0.56100","15"
"2024","BMU","Bermuda","020230","Carne deshuesada, de bovinos, congelada","19.27400","0.00000","105"
"2024","BMU","Bermuda","030617","Otros gambas, congelados","14.75000","0.00000","123"
"2024","BTN","Bhután","100590","Maíz (exc. para siembra)","10.70700","0.00000","128"
"2024","BOL","Bolivia","020130","Carne deshuesada, de bovinos, fresca o refrigerada","1104.47100","0.00500","62"
"2024","BOL","Bolivia","020230","Carne deshuesada, de bovinos, congelada","180081.20900","0.53600","19"
"2024","BOL","Bolivia","100199","Otros tipos de trigo y el trigo con centeno, excepto para la siembra","0.13700","0.00000","108"
"2024","BOL","Bolivia","100590","Maíz (exc. para siembra)","4294.62400","0.01100","51"
"2024","BOL","Bolivia","120190","La soja, incluso quebrantadas, excepto para siembra","84963.56000","0.10600","19"
"2024","BOL","Bolivia","120242","Cacahuetes sin cáscara, incluso quebrantados","11364.48600","0.26100","18"
"2024","BOL","Bolivia","150710","Aceite de soja ""soya"" en bruto, incl. desgomado","255822.76000","2.48200","8"
"2024","BOL","Bolivia","150790","Aceite de soja ""soya"" y sus fracciones, incl. refinados, sin modificar químicamente","140169.18500","4.75300","8"
"2024","BOL","Bolivia","230400","Tortas y demás residuos sólidos de la extracción del aceite de soja ""soya"", incl. molidos o en ""pellets""","731489.04400","2.17600","8"
"2024","BIH","Bosnia y Herzegovina","020130","Carne deshuesada, de bovinos, fresca o refrigerada","0.20800","0.00000","114"
"2024","BIH","Bosnia y Herzegovina","030617","Otros gambas, congelados","41.85500","0.00000","116"
"2024","BIH","Bosnia y Herzegovina","100199","Otros tipos de trigo y el trigo con centeno, excepto para la siembra","4416.51800","0.01000","45"
"2024","BIH","Bosnia y Herzegovina","100590","Maíz (exc. para siembra)","252.76800","0.00100","88"
"2024","BIH","Bosnia y Herzegovina","120190","La soja, incluso quebrantadas, excepto para siembra","3859.26000","0.00500","49"
"2024","BIH","Bosnia y Herzegovina","120242","Cacahuetes sin cáscara, incluso quebrantados","121.25400","0.00300","78"
"2024","BIH","Bosnia y Herzegovina","150710","Aceite de soja ""soya"" en bruto, incl. desgomado","2143.76000","0.02100","48"
"2024","BIH","Bosnia y Herzegovina","150790","Aceite de soja ""soya"" y sus fracciones, incl. refinados, sin modificar químicamente","855.88200","0.02900","56"
"2024","BIH","Bosnia y Herzegovina","230400","Tortas y demás residuos sólidos de la extracción del aceite de soja ""soya"", incl. molidos o en ""pellets""","3188.38500","0.00900","60"
"2024","BWA","Botswana","020130","Carne deshuesada, de bovinos, fresca o refrigerada","48.83400","0.00000","85"
"2024","BWA","Botswana","020230","Carne deshuesada, de bovinos, congelada","43267.55000","0.12900","33"
"2024","BWA","Botswana","100199","Otros tipos de trigo y el trigo con centeno, excepto para la siembra","0.01400","0.00000","118"
"2024","BWA","Botswana","100590","Maíz (exc. para siembra)","49.87800","0.00000","109"
"2024","BWA","Botswana","120242","Cacahuetes sin cáscara, incluso quebrantados","0.05000","0.00000","137"
"2024","BWA","Botswana","150710","Aceite de soja ""soya"" en bruto, incl. desgomado","300.89700","0.00300","70"
"2024","BWA","Botswana","150790","Aceite de soja ""soya"" y sus fracciones, incl. refinados, sin modificar químicamente","0.02700","0.00000","116"
"2024","BWA","Botswana","230400","Tortas y demás residuos sólidos de la extracción del aceite de soja ""soya"", incl. molidos o en ""pellets""","18.45600","0.00000","99"
"2024","BRA","Brasil","020130","Carne deshuesada, de bovinos, fresca o refrigerada","1596295.70100","6.81500","6"
"2024","BRA","Brasil","020230","Carne deshuesada, de bovinos, congelada","10035211.71200","29.88500","1"
"2024","BRA","Brasil","030617","Otros gambas, congelados","2878.15000","0.01500","64"
"2024","BRA","Brasil","100199","Otros tipos de trigo y el trigo con centeno, excepto para la siembra","611096.26000","1.39500","16"
"2024","BRA","Brasil","100590","Maíz (exc. para siembra)","8206651.87000","20.34900","2"
"2024","BRA","Brasil","120190","La soja, incluso quebrantadas, excepto para siembra","43400897.97000","54.19700","1"
"2024","BRA","Brasil","120242","Cacahuetes sin cáscara, incluso quebrantados","365856.44000","8.39900","5"
"2024","BRA","Brasil","150710","Aceite de soja ""soya"" en bruto, incl. desgomado","1152978.11000","11.18500","2"
"2024","BRA","Brasil","150790","Aceite de soja ""soya"" y sus fracciones, incl. refinados, sin modificar químicamente","164953.29000","5.59300","5"
"2024","BRA","Brasil","230400","Tortas y demás residuos sólidos de la extracción del aceite de soja ""soya"", incl. molidos o en ""pellets""","9777884.87800","29.08900","1"
"2024","BLZ","Belice","020230","Carne deshuesada, de bovinos, congelada","106.22400","0.00000","91"
"2024","BLZ","Belice","030617","Otros gambas, congelados","1040.02100","0.00600","82"
"2024","BLZ","Belice","100590","Maíz (exc. para siembra)","540.45900","0.00100","78"
"2024","BLZ","Belice","120190","La soja, incluso quebrantadas, excepto para siembra","46.42800","0.00000","84"
"2024","BLZ","Belice","150710","Aceite de soja ""soya"" en bruto, incl. desgomado","4201.72800","0.04100","44"
"2024","BLZ","Belice","230400","Tortas y demás residuos sólidos de la extracción del aceite de soja ""soya"", incl. molidos o en ""pellets""","16.01200","0.00000","102"
"2024","IOT","Territorio Británico del Océano Índico","030617","Otros gambas, congelados","116.47700","0.00100","111"
"2024","VGB","Islas Vírgenes Británicas","020130","Carne deshuesada, de bovinos, fresca o refrigerada","140.57600","0.00100","76"
"2024","VGB","Islas Vírgenes Británicas","020230","Carne deshuesada, de bovinos, congelada","0.17700","0.00000","123"
"2024","VGB","Islas Vírgenes Británicas","030617","Otros gambas, congelados","0.10900","0.00000","144"
"2024","VGB","Islas Vírgenes Británicas","100590","Maíz (exc. para siembra)","0.00200","0.00000","155"
"2024","VGB","Islas Vírgenes Británicas","150790","Aceite de soja ""soya"" y sus fracciones, incl. refinados, sin modificar químicamente","2.38400","0.00000","104"
"2024","BRN","Brunei","030617","Otros gambas, congelados","2041.79700","0.01100","72"
"2024","BGR","Bulgaria","020130","Carne deshuesada, de bovinos, fresca o refrigerada","5338.21700","0.02300","46"
"2024","BGR","Bulgaria","020230","Carne deshuesada, de bovinos, congelada","2294.13200","0.00700","63"
"2024","BGR","Bulgaria","030617","Otros gambas, congelados","182.44700","0.00100","103"
"2024","BGR","Bulgaria","100199","Otros tipos de trigo y el trigo con centeno, excepto para la siembra","1166477.98400","2.66300","11"
"2024","BGR","Bulgaria","100590","Maíz (exc. para siembra)","225768.44800","0.56000","17"
"2024","BGR","Bulgaria","120190","La soja, incluso quebrantadas, excepto para siembra","3315.45100","0.00400","51"
"2024","BGR","Bulgaria","120242","Cacahuetes sin cáscara, incluso quebrantados","1464.55500","0.03400","42"
"2024","BGR","Bulgaria","150710","Aceite de soja ""soya"" en bruto, incl. desgomado","576.18400","0.00600","64"
"2024","BGR","Bulgaria","150790","Aceite de soja ""soya"" y sus fracciones, incl. refinados, sin modificar químicamente","283.83300","0.01000","69"
"2024","BGR","Bulgaria","230400","Tortas y demás residuos sólidos de la extracción del aceite de soja ""soya"", incl. molidos o en ""pellets""","8917.21900","0.02700","55"
"2024","MMR","Myanmar","020230","Carne deshuesada, de bovinos, congelada","161.16500","0.00000","86"
"2024","MMR","Myanmar","030617","Otros gambas, congelados","47078.69600","0.25000","29"
"2024","MMR","Myanmar","100590","Maíz (exc. para siembra)","789573.38400","1.95800","7"
"2024","MMR","Myanmar","120190","La soja, incluso quebrantadas, excepto para siembra","22.78300","0.00000","92"
"2024","MMR","Myanmar","120242","Cacahuetes sin cáscara, incluso quebrantados","6177.88600","0.14200","22"
"2024","MMR","Myanmar","230400","Tortas y demás residuos sólidos de la extracción del aceite de soja ""soya"", incl. molidos o en ""pellets""","0.00700","0.00000","122"
"2024","BDI","Burundi","100590","Maíz (exc. para siembra)","1147.43200","0.00300","71"
"2024","BDI","Burundi","120190","La soja, incluso quebrantadas, excepto para siembra","0.00200","0.00000","136"
"2024","BDI","Burundi","230400","Tortas y demás residuos sólidos de la extracción del aceite de soja ""soya"", incl. molidos o en ""pellets""","0.00400","0.00000","123"
"2024","BLR","Belarús","020130","Carne deshuesada, de bovinos, fresca o refrigerada","3704.28100","0.01600","48"
"2024","BLR","Belarús","020230","Carne deshuesada, de bovinos, congelada","62013.75100","0.18500","30"
"2024","BLR","Belarús","030617","Otros gambas, congelados","0.03100","0.00000","147"
"2024","BLR","Belarús","120242","Cacahuetes sin cáscara, incluso quebrantados","275.23900","0.00600","61"
"2024","BLR","Belarús","150710","Aceite de soja ""soya"" en bruto, incl. desgomado","589.21100","0.00600","63"
"2024","BLR","Belarús","230400","Tortas y demás residuos sólidos de la extracción del aceite de soja ""soya"", incl. molidos o en ""pellets""","4241.15700","0.01300","58"
"2024","KHM","Camboya","030617","Otros gambas, congelados","262.57800","0.00100","100"
"2024","KHM","Camboya","100199","Otros tipos de trigo y el trigo con centeno, excepto para la siembra","0.02000","0.00000","116"
"2024","KHM","Camboya","100590","Maíz (exc. para siembra)","11568.22800","0.02900","46"
"2024","KHM","Camboya","120190","La soja, incluso quebrantadas, excepto para siembra","6791.25000","0.00800","41"
"2024","KHM","Camboya","120242","Cacahuetes sin cáscara, incluso quebrantados","12.53700","0.00000","109"
"2024","KHM","Camboya","150790","Aceite de soja ""soya"" y sus fracciones, incl. refinados, sin modificar químicamente","58.58600","0.00200","86"
"2024","CMR","Camerún","020230","Carne deshuesada, de bovinos, congelada","1412.64200","0.00400","66"
"2024","CMR","Camerún","030617","Otros gambas, congelados","1430.33200","0.00800","79"
"2024","CMR","Camerún","100199","Otros tipos de trigo y el trigo con centeno, excepto para la siembra","0.09700","0.00000","111"
"2024","CMR","Camerún","100590","Maíz (exc. para siembra)","11.75600","0.00000","126"
"2024","CMR","Camerún","120190","La soja, incluso quebrantadas, excepto para siembra","0.23600","0.00000","118"
"2024","CMR","Camerún","120242","Cacahuetes sin cáscara, incluso quebrantados","155.83500","0.00400","70"
"2024","CMR","Camerún","230400","Tortas y demás residuos sólidos de la extracción del aceite de soja ""soya"", incl. molidos o en ""pellets""","9.82000","0.00000","106"
"2024","CAN","Canadá","020130","Carne deshuesada, de bovinos, fresca o refrigerada","2213201.69800","9.44900","3"
"2024","CAN","Canadá","020230","Carne deshuesada, de bovinos, congelada","370294.47800","1.10300","12"
"2024","CAN","Canadá","030617","Otros gambas, congelados","10507.55100","0.05600","43"
"2024","CAN","Canadá","100199","Otros tipos de trigo y el trigo con centeno, excepto para la siembra","5829004.25200","13.30600","1"
"2024","CAN","Canadá","100590","Maíz (exc. para siembra)","437109.40400","1.08400","12"
"2024","CAN","Canadá","120190","La soja, incluso quebrantadas, excepto para siembra","2400792.70700","2.99800","4"
"2024","CAN","Canadá","120242","Cacahuetes sin cáscara, incluso quebrantados","571.40200","0.01300","53"
"2024","CAN","Canadá","150710","Aceite de soja ""soya"" en bruto, incl. desgomado","21440.40800","0.20800","28"
"2024","CAN","Canadá","150790","Aceite de soja ""soya"" y sus fracciones, incl. refinados, sin modificar químicamente","118468.14400","4.01700","9"
"2024","CAN","Canadá","230400","Tortas y demás residuos sólidos de la extracción del aceite de soja ""soya"", incl. molidos o en ""pellets""","138493.16700","0.41200","17"
"2024","CPV","Cabo Verde","030617","Otros gambas, congelados","61.96500","0.00000","114"
"2024","CPV","Cabo Verde","150790","Aceite de soja ""soya"" y sus fracciones, incl. refinados, sin modificar químicamente","0.20800","0.00000","113"
"2024","LKA","Sri Lanka","020130","Carne deshuesada, de bovinos, fresca o refrigerada","80.54500","0.00000","81"
"2024","LKA","Sri Lanka","020230","Carne deshuesada, de bovinos, congelada","169.61900","0.00100","85"
"2024","LKA","Sri Lanka","030617","Otros gambas, congelados","20113.56900","0.10700","38"
"2024","LKA","Sri Lanka","100199","Otros tipos de trigo y el trigo con centeno, excepto para la siembra","3577.30300","0.00800","47"
"2024","LKA","Sri Lanka","100590","Maíz (exc. para siembra)","51.62200","0.00000","108"
"2024","LKA","Sri Lanka","120190","La soja, incluso quebrantadas, excepto para siembra","103.00800","0.00000","75"
"2024","LKA","Sri Lanka","120242","Cacahuetes sin cáscara, incluso quebrantados","46.03500","0.00100","91"
"2024","LKA","Sri Lanka","150710","Aceite de soja ""soya"" en bruto, incl. desgomado","5.16400","0.00000","82"
"2024","LKA","Sri Lanka","150790","Aceite de soja ""soya"" y sus fracciones, incl. refinados, sin modificar químicamente","42.90400","0.00100","88"
"2024","LKA","Sri Lanka","230400","Tortas y demás residuos sólidos de la extracción del aceite de soja ""soya"", incl. molidos o en ""pellets""","44.77100","0.00000","92"
"2024","TCD","Chad","020230","Carne deshuesada, de bovinos, congelada","112.17100","0.00000","88"
"2024","TCD","Chad","120242","Cacahuetes sin cáscara, incluso quebrantados","12.00000","0.00000","111"
"2024","CHL","Chile","020130","Carne deshuesada, de bovinos, fresca o refrigerada","9194.32200","0.03900","39"
"2024","CHL","Chile","020230","Carne deshuesada, de bovinos, congelada","35383.05400","0.10500","35"
"2024","CHL","Chile","030617","Otros gambas, congelados","1852.36600","0.01000","74"
"2024","CHL","Chile","100199","Otros tipos de trigo y el trigo con centeno, excepto para la siembra","26.19900","0.00000","80"
"2024","CHL","Chile","100590","Maíz (exc. para siembra)","1487.40400","0.00400","68"
"2024","CHL","Chile","120190","La soja, incluso quebrantadas, excepto para siembra","2960.31500","0.00400","53"
"2024","CHL","Chile","120242","Cacahuetes sin cáscara, incluso quebrantados","244.68600","0.00600","64"
"2024","CHL","Chile","150710","Aceite de soja ""soya"" en bruto, incl. desgomado","736.59900","0.00700","58"
"2024","CHL","Chile","150790","Aceite de soja ""soya"" y sus fracciones, incl. refinados, sin modificar químicamente","217.96600","0.00700","75"
"2024","CHL","Chile","230400","Tortas y demás residuos sólidos de la extracción del aceite de soja ""soya"", incl. molidos o en ""pellets""","245.27400","0.00100","81"
"2024","CHN","China","020130","Carne deshuesada, de bovinos, fresca o refrigerada","2704.98200","0.01200","51"
"2024","CHN","China","020230","Carne deshuesada, de bovinos, congelada","23249.68900","0.06900","38"
"2024","CHN","China","030617","Otros gambas, congelados","554066.57800","2.94600","7"
"2024","CHN","China","100199","Otros tipos de trigo y el trigo con centeno, excepto para la siembra","3340.26500","0.00800","49"
"2024","CHN","China","100590","Maíz (exc. para siembra)","2041.82100","0.00500","59"
"2024","CHN","China","120190","La soja, incluso quebrantadas, excepto para siembra","124848.88100","0.15600","14"
"2024","CHN","China","120242","Cacahuetes sin cáscara, incluso quebrantados","433568.30500","9.95400","4"
"2024","CHN","China","150710","Aceite de soja ""soya"" en bruto, incl. desgomado","10677.18600","0.10400","35"
"2024","CHN","China","150790","Aceite de soja ""soya"" y sus fracciones, incl. refinados, sin modificar químicamente","144636.81000","4.90400","7"
"2024","CHN","China","230400","Tortas y demás residuos sólidos de la extracción del aceite de soja ""soya"", incl. molidos o en ""pellets""","839228.73600","2.49700","6"
"2024","COL","Colombia","020130","Carne deshuesada, de bovinos, fresca o refrigerada","10701.85000","0.04600","37"
"2024","COL","Colombia","020230","Carne deshuesada, de bovinos, congelada","93966.94800","0.28000","25"
"2024","COL","Colombia","030617","Otros gambas, congelados","8471.17700","0.04500","48"
"2024","COL","Colombia","100199","Otros tipos de trigo y el trigo con centeno, excepto para la siembra","0.27900","0.00000","104"
"2024","COL","Colombia","100590","Maíz (exc. para siembra)","681.16500","0.00200","73"
"2024","COL","Colombia","120190","La soja, incluso quebrantadas, excepto para siembra","0.01000","0.00000","134"
"2024","COL","Colombia","120242","Cacahuetes sin cáscara, incluso quebrantados","30.97500","0.00100","97"
"2024","COL","Colombia","150710","Aceite de soja ""soya"" en bruto, incl. desgomado","316.41800","0.00300","69"
