geocodigoFundar,geonombreFundar,pescado_mariscos
MDV,Maldivas,87.30368
MEX,México,13.947438
MKD,Macedonia del Norte,6.128494
MLI,Malí,8.148405
MLT,Malta,19.568254
MMR,Myanmar,45.851414
MNE,Montenegro,15.555531
MNG,Mongolia,0.56722295
MOZ,Mozambique,13.463253
MRT,Mauritania,8.7234
MUS,Mauricio,23.50829
MWI,Malawi,10.010689
MYS,Malasia,53.32593
NAM,Namibia,12.106867
NCL,Nueva Caledonia,23.335457
NER,Níger,1.8502922
NGA,Nigeria,6.679113
NIC,Nicaragua,6.5010977
NLD,Países Bajos,21.484236
NOR,Noruega,50.566196
NPL,Nepal,3.4945953
NRU,Nauru,44.747917
NZL,Nueva Zelanda,25.153843
OMN,Omán,29.301771
WLD,Mundo,20.250551
PAK,Pakistán,1.5847697
PAN,Panamá,13.744919
PER,Perú,26.829107
PHL,Filipinas,28.393742
PNG,Papúa Nueva Guinea,13.407258
POL,Polonia,12.271371
PRK,Corea del Norte,10.9623
PRT,Portugal,59.35927
PRY,Paraguay,4.321315
PYF,Polinesia Francesa,43.95048
QAT,Qatar,21.980558
ROU,Rumania,8.232551
RUS,Rusia,21.757278
RWA,Ruanda,4.492657
SAU,Arabia Saudita,11.354102
SDN,Sudán,1.1248338
SEN,Senegal,12.122858
SLB,Islas Salomón,27.884705
SLE,Sierra Leona,24.704111
SLV,El Salvador,6.7410684
SRB,Serbia,7.956007
SSD,Sudán del Sur,3.0817466
STP,Santo Tomé y Príncipe,27.714493
SUR,Suriname,15.944499
SVK,Eslovaquia,10.205531
SVN,Eslovenia,12.968537
SWE,Suecia,31.342962
SWZ,Eswatini,4.205675
SYC,Seychelles,52.89067
SYR,Siria,1.8366231
TCD,Chad,6.5132217
TGO,Togo,11.463107
THA,Tailandia,28.476368
TJK,Tayikistán,0.65961546
TKM,Turkmenistán,2.7114358
TLS,Timor-Leste,6.511075
TTO,Trinidad y Tobago,21.746298
TUN,Túnez,13.653629
TUR,Turquía,5.5333605
TWN,Taiwán,29.754143
TZA,Tanzanía,6.234363
UGA,Uganda,14.771578
UKR,Ucrania,13.704878
URY,Uruguay,9.258993
USA,Estados Unidos,22.45492
UZB,Uzbekistán,4.023093
VCT,San Vicente y las Granadinas,20.588423
VEN,Venezuela,10.180481
VNM,Vietnam,39.84239
VUT,Vanuatu,28.566442
WSM,Samoa,43.968235
YEM,Yemen,2.7346277
ZAF,Sudáfrica,6.515673
ZMB,Zambia,12.684813
ZWE,Zimbabwe,2.8170915
