"geocodigoFundar","geonombreFundar","pescado_mariscos"
"PAN","Panamá","14.91000"
"PER","Perú","25.94000"
"PHL","Filipinas","26.35000"
"PNG","Papúa Nueva Guinea","7.09000"
"POL","Polonia","11.16000"
"PRK","Corea del Norte","0.00000"
"PRT","Portugal","53.50000"
"PRY","Paraguay","5.33000"
"PYF","Polinesia Francesa","50.51000"
"QAT","Qatar","22.02000"
"ROU","Rumania","8.70000"
"RUS","Rusia","22.80000"
"RWA","Ruanda","5.14000"
"SAU","Arabia Saudita","12.91000"
"SEN","Senegal","13.75000"
"SLB","Islas Salomón","30.49000"
"SLE","Sierra Leona","24.46000"
"SLV","El Salvador","7.21000"
"SRB","Serbia","8.45000"
"STP","Santo Tomé y Príncipe","26.52000"
"SUR","Suriname","16.68000"
"SVK","Eslovaquia","10.62000"
"SVN","Eslovenia","11.21000"
"SWE","Suecia","30.62000"
"SWZ","Eswatini","3.78000"
"SYC","Seychelles","42.90000"
"SYR","Siria","0.80000"
"THA","Tailandia","28.61000"
"TJK","Tayikistán","0.91000"
"TKM","Turkmenistán","2.36000"
"TLS","Timor-Leste","6.97000"
"TON","Tonga","28.57000"
"TTO","Trinidad y Tobago","17.96000"
"TUN","Túnez","15.89000"
"TUR","Turquía","5.32000"
"TUV","Tuvalu","55.90000"
"TWN","Taiwán","30.40000"
"TZA","Tanzanía","6.40000"
"UGA","Uganda","15.41000"
"UKR","Ucrania","16.86000"
"URY","Uruguay","11.92000"
"USA","Estados Unidos","21.96000"
"UZB","Uzbekistán","5.21000"
"VCT","San Vicente y las Granadinas","20.05000"
"VEN","Venezuela","8.75000"
"VNM","Vietnam","40.05000"
"VUT","Vanuatu","30.04000"
"WLD","Mundo","19.19725"
"WSM","Samoa","46.63000"
"YEM","Yemen","2.03000"
"ZAF","Sudáfrica","5.59000"
"ZMB","Zambia","12.88000"
"ZWE","Zimbabwe","2.63000"
