"cultivo","campania","q_total","share"
"Centeno","1975/76","273200","0.63972"
"Cártamo","1975/76","5880","0.01377"
"Girasol","1975/76","1085000","2.54060"
"Limón","1975/76","247000","0.57837"
"Lino","1975/76","377000","0.88277"
"Mandarina","1975/76","229000","0.53622"
"Maní","1975/76","337900","0.79122"
"Maíz","1975/76","5854090","13.70776"
"Mijo","1975/76","293700","0.68772"
"Naranja","1975/76","742929","1.73962"
"Papa total","1975/76","1525481","3.57202"
"Pomelo","1975/76","180000","0.42148"
"Poroto total","1975/76","170390","0.39898"
"Soja total","1975/76","695000","1.62739"
"Sorgo","1975/76","5060000","11.84834"
"Trigo total","1975/76","8570000","20.06725"
"Tung","1975/76","118000","0.27631"
"Té","1975/76","133000","0.31143"
"Yerba mate","1975/76","121135","0.28365"
"Ajo","1976/77","72925","0.13865"
"Algodón","1976/77","522000","0.99245"
"Alpiste","1976/77","39000","0.07415"
"Arroz","1976/77","320000","0.60840"
"Avena","1976/77","530000","1.00766"
"Banana","1976/77","220000","0.41827"
"Caña de azúcar","1976/77","16000000","30.41982"
"Cebada cervecera","1976/77","670000","1.27383"
"Cebada forrajera","1976/77","90000","0.17111"
"Cebolla total","1976/77","249522","0.47440"
"Centeno","1976/77","330000","0.62741"
"Cártamo","1976/77","0","0.00000"
"Girasol","1976/77","900000","1.71111"
"Limón","1976/77","320000","0.60840"
"Lino","1976/77","617000","1.17306"
"Mandarina","1976/77","250000","0.47531"
"Maní","1976/77","600000","1.14074"
"Maíz","1976/77","8298552","15.77753"
"Mijo","1976/77","340000","0.64642"
"Naranja","1976/77","740000","1.40692"
"Papa total","1976/77","1768320","3.36200"
"Pomelo","1976/77","170000","0.32321"
"Poroto total","1976/77","154798","0.29431"
"Soja total","1976/77","1400000","2.66173"
"Sorgo","1976/77","6600000","12.54818"
"Trigo total","1976/77","11000000","20.91363"
"Tung","1976/77","100000","0.19012"
"Té","1976/77","168000","0.31941"
"Yerba mate","1976/77","127167","0.24177"
"Ajo","1977/78","78900","0.16641"
"Algodón","1977/78","786200","1.65819"
"Alpiste","1977/78","60000","0.12655"
"Arroz","1977/78","310000","0.65383"
"Avena","1977/78","570000","1.20220"
"Banana","1977/78","128700","0.27144"
"Caña de azúcar","1977/78","13600000","28.68397"
"Cebada cervecera","1977/78","290000","0.61164"
"Cebada forrajera","1977/78","63000","0.13287"
"Cebolla total","1977/78","262473","0.55359"
"Centeno","1977/78","170000","0.35855"
"Cártamo","1977/78","1520","0.00321"
"Girasol","1977/78","1600000","3.37458"
"Limón","1977/78","280000","0.59055"
"Lino","1977/78","810000","1.70838"
"Mandarina","1977/78","255000","0.53782"
"Maní","1977/78","260000","0.54837"
"Maíz","1977/78","9698550","20.45536"
"Mijo","1977/78","330000","0.69601"
"Naranja","1977/78","670000","1.41311"
"Papa total","1977/78","1592350","3.35845"
"Pomelo","1977/78","145000","0.30582"
"Poroto total","1977/78","132720","0.27992"
"Soja total","1977/78","2500000","5.27279"
"Sorgo","1977/78","7200000","15.18563"
"Trigo total","1977/78","5299995","11.17830"
"Tung","1977/78","82400","0.17379"
"Té","1977/78","103000","0.21724"
"Yerba mate","1977/78","133436","0.28143"
"Ajo","1978/79","80920","0.16140"
"Algodón","1978/79","572500","1.14186"
"Alpiste","1978/79","51000","0.10172"
"Arroz","1978/79","312000","0.62229"
"Avena","1978/79","676000","1.34829"
"Banana","1978/79","144000","0.28721"
"Caña de azúcar","1978/79","14120000","28.16249"
"Cebada cervecera","1978/79","470000","0.93742"
"Cebada forrajera","1978/79","84000","0.16754"
"Cebolla total","1978/79","289468","0.57735"
"Centeno","1978/79","210000","0.41885"
"Colza","1978/79","5538","0.01105"
"Cártamo","1978/79","1320","0.00263"
"Girasol","1978/79","1430000","2.85215"
"Limón","1978/79","301000","0.60035"
"Lino","1978/79","600000","1.19671"
"Mandarina","1978/79","224000","0.44677"
"Maní","1978/79","470000","0.93742"
"Maíz","1978/79","8699080","17.35041"
