"cultivo","campania","q_total","share"
"Sorgo","2021/22","2883301","2.00907"
"Trigo total","2021/22","22150287","15.43419"
"Té","2021/22","355048","0.24740"
"Algodón","2022/23","896464","0.93251"
"Alpiste","2022/23","40693","0.04233"
"Arroz","2022/23","1163210","1.20998"
"Arveja","2022/23","59813","0.06222"
"Avena","2022/23","428884","0.44613"
"Cebada total","2022/23","4695914","4.88471"
"Centeno","2022/23","179428","0.18664"
"Colza","2022/23","38999","0.04057"
"Cártamo","2022/23","5402","0.00562"
"Garbanzo","2022/23","65934","0.06858"
"Girasol","2022/23","5018874","5.22065"
"Lenteja","2022/23","6248","0.00650"
"Lino","2022/23","30498","0.03172"
"Maní","2022/23","962674","1.00138"
"Maíz","2022/23","41409448","43.07428"
"Mijo","2022/23","9746","0.01014"
"Poroto total","2022/23","792564","0.82443"
"Soja total","2022/23","25044982","26.05190"
"Sorgo","2022/23","1610102","1.67483"
"Trigo total","2022/23","12555860","13.06066"
"Té","2022/23","344203","0.35804"
"Yerba mate","2022/23","775032","0.80619"
"Algodón","2023/24","1269399","0.90568"
"Alpiste","2023/24","58441","0.04170"
"Arroz","2023/24","1264771","0.90238"
"Arveja","2023/24","215309","0.15362"
"Avena","2023/24","564909","0.40305"
"Cebada total","2023/24","5097342","3.63680"
"Centeno","2023/24","217699","0.15532"
"Colza","2023/24","45162","0.03222"
"Cártamo","2023/24","9184","0.00655"
"Garbanzo","2023/24","116984","0.08346"
"Girasol","2023/24","3895161","2.77908"
"Lenteja","2023/24","16283","0.01162"
"Lino","2023/24","24998","0.01784"
"Maní","2023/24","1482827","1.05795"
"Maíz","2023/24","57494500","41.02056"
"Mijo","2023/24","6630","0.00473"
"Poroto total","2023/24","474764","0.33873"
"Soja total","2023/24","48213216","34.39865"
"Sorgo","2023/24","2495537","1.78049"
"Trigo total","2023/24","15853154","11.31074"
"Té","2023/24","356753","0.25453"
"Yerba mate","2023/24","987180","0.70432"
"Algodón","2024/25","1099962","0.77839"
"Alpiste","2024/25","40828","0.02889"
"Arroz","2024/25","1626298","1.15086"
"Arveja","2024/25","257885","0.18249"
"Avena","2024/25","556060","0.39350"
"Cebada total","2024/25","4823506","3.41338"
"Centeno","2024/25","215369","0.15241"
"Colza","2024/25","58382","0.04131"
"Cártamo","2024/25","19109","0.01352"
"Garbanzo","2024/25","193637","0.13703"
"Girasol","2024/25","5592453","3.95753"
"Lenteja","2024/25","30821","0.02181"
"Lino","2024/25","8777","0.00621"
"Maní","2024/25","1809537","1.28053"
"Maíz","2024/25","51690953","36.57939"
"Mijo","2024/25","6626","0.00469"
"Poroto total","2024/25","810215","0.57335"
"Soja total","2024/25","51107839","36.16675"
"Sorgo","2024/25","2853150","2.01905"
"Trigo total","2024/25","18510280","13.09890"
