"year","semestre","region","indice"
"2009","2","Pampeana","151.95543"
"2009","2","NEA","111.54320"
"2009","2","NOA","129.08957"
"2009","2","Cuyo","127.51176"
"2009","2","Patagonia","179.37302"
"2010","1","Total","152.32611"
"2010","1","Partidos del GBA","135.05838"
"2010","1","CABA","259.35779"
"2010","1","Pampeana","149.34760"
"2010","1","NEA","109.06673"
"2010","1","NOA","130.44957"
"2010","1","Cuyo","125.48322"
"2010","1","Patagonia","172.35162"
"2010","2","Total","155.62415"
"2010","2","Partidos del GBA","139.24185"
"2010","2","CABA","266.51041"
"2010","2","Pampeana","150.24710"
"2010","2","NEA","110.13491"
"2010","2","NOA","134.26303"
"2010","2","Cuyo","121.07056"
"2010","2","Patagonia","183.50290"
"2011","1","Total","160.96375"
"2011","1","Partidos del GBA","146.05682"
"2011","1","CABA","261.57016"
"2011","1","Pampeana","158.70439"
"2011","1","NEA","118.76730"
"2011","1","NOA","135.64374"
"2011","1","Cuyo","128.27377"
"2011","1","Patagonia","188.05650"
"2011","2","Total","167.31670"
"2011","2","Partidos del GBA","147.40181"
"2011","2","CABA","286.64389"
"2011","2","Pampeana","164.78433"
"2011","2","NEA","123.34599"
"2011","2","NOA","147.15001"
"2011","2","Cuyo","133.81689"
"2011","2","Patagonia","190.09337"
"2012","1","Total","165.51221"
"2012","1","Partidos del GBA","145.37143"
"2012","1","CABA","267.81915"
"2012","1","Pampeana","167.36443"
"2012","1","NEA","122.27920"
"2012","1","NOA","149.19241"
"2012","1","Cuyo","133.10341"
"2012","1","Patagonia","204.24542"
"2012","2","Total","164.46483"
"2012","2","Partidos del GBA","147.15154"
"2012","2","CABA","270.30096"
"2012","2","Pampeana","161.39970"
"2012","2","NEA","120.93488"
"2012","2","NOA","146.40279"
"2012","2","Cuyo","136.06430"
"2012","2","Patagonia","192.13197"
"2013","1","Total","164.28023"
"2013","1","Partidos del GBA","143.64545"
"2013","1","CABA","274.10046"
"2013","1","Pampeana","165.11067"
"2013","1","NEA","116.49449"
"2013","1","NOA","146.15050"
"2013","1","Cuyo","142.11198"
"2013","1","Patagonia","186.19714"
"2013","2","Total","164.46059"
"2013","2","Partidos del GBA","143.62251"
"2013","2","CABA","270.87262"
"2013","2","Pampeana","165.98146"
"2013","2","NEA","124.05301"
"2013","2","NOA","145.82814"
"2013","2","Cuyo","148.51894"
"2013","2","Patagonia","189.04039"
"2014","1","Total","151.60083"
"2014","1","Partidos del GBA","131.74631"
"2014","1","CABA","239.14868"
"2014","1","Pampeana","153.89955"
"2014","1","NEA","121.76903"
"2014","1","NOA","139.72232"
"2014","1","Cuyo","136.68436"
"2014","1","Patagonia","179.45746"
"2014","2","Total","150.65500"
"2014","2","Partidos del GBA","128.06285"
"2014","2","CABA","251.77153"
"2014","2","Pampeana","152.05652"
"2014","2","NEA","116.87269"
"2014","2","NOA","139.98874"
"2014","2","Cuyo","135.82121"
"2014","2","Patagonia","182.98392"
"2015","1","Total","152.98291"
"2015","1","Partidos del GBA","131.09238"
"2015","1","CABA","237.81509"
"2015","1","Pampeana","156.46005"
