"edad","variable","valor"
"70","hombres2","1145543.87500"
"70","mujeres1","830013.50000"
"70","mujeres2","646606.18750"
"71","hombres1","1148639.50000"
"71","hombres2","1118260.87500"
"71","mujeres1","737596.37500"
"71","mujeres2","613542.50000"
"72","hombres1","545542.37500"
"72","hombres2","1089519.12500"
"72","mujeres1","660542.81250"
"72","mujeres2","579065.25000"
"73","hombres1","1807333.50000"
"73","hombres2","1059318.50000"
"73","mujeres1","893793.81250"
"73","mujeres2","543174.50000"
"74","hombres1","830061.00000"
"74","hombres2","1027659.12500"
"74","mujeres1","262705.71875"
"74","mujeres2","505870.21875"
"75","hombres1","979626.68750"
"75","hombres2","994541.00000"
"75","mujeres1","441623.75000"
"75","mujeres2","467152.40625"
