"ano","mes","variable","valor"
"2022","1","privadonoregistrado","81.60000"
"2022","1","privadoregistrado","86.50000"
"2022","1","sectorpublico","79.20000"
"2022","2","privadonoregistrado","80.20000"
"2022","2","privadoregistrado","85.80000"
"2022","2","sectorpublico","77.50000"
"2022","3","privadonoregistrado","79.20000"
"2022","3","privadoregistrado","84.80000"
"2022","3","sectorpublico","81.40000"
"2022","4","privadonoregistrado","80.70000"
"2022","4","privadoregistrado","84.40000"
"2022","4","sectorpublico","78.80000"
"2022","5","privadonoregistrado","79.20000"
"2022","5","privadoregistrado","85.90000"
"2022","5","sectorpublico","80.00000"
"2022","6","privadonoregistrado","80.10000"
"2022","6","privadoregistrado","85.80000"
"2022","6","sectorpublico","79.40000"
"2022","7","privadonoregistrado","74.90000"
"2022","7","privadoregistrado","84.10000"
"2022","7","sectorpublico","79.40000"
"2022","8","privadonoregistrado","74.80000"
"2022","8","privadoregistrado","85.10000"
"2022","8","sectorpublico","77.40000"
"2022","9","privadonoregistrado","75.40000"
"2022","9","privadoregistrado","84.80000"
"2022","9","sectorpublico","78.50000"
"2022","10","privadonoregistrado","75.20000"
"2022","10","privadoregistrado","84.00000"
"2022","10","sectorpublico","78.20000"
"2022","11","privadonoregistrado","75.20000"
"2022","11","privadoregistrado","85.90000"
"2022","11","sectorpublico","78.80000"
"2022","12","privadonoregistrado","73.80000"
"2022","12","privadoregistrado","85.40000"
"2022","12","sectorpublico","81.90000"
"2023","1","privadonoregistrado","74.80000"
"2023","1","privadoregistrado","84.30000"
"2023","1","sectorpublico","80.20000"
"2023","2","privadonoregistrado","75.10000"
"2023","2","privadoregistrado","84.50000"
"2023","2","sectorpublico","78.10000"
"2023","3","privadonoregistrado","75.70000"
"2023","3","privadoregistrado","84.60000"
"2023","3","sectorpublico","84.40000"
"2023","4","privadonoregistrado","75.02843"
"2023","4","privadoregistrado","83.40000"
"2023","4","sectorpublico","81.00000"
"2023","5","privadonoregistrado","73.03343"
"2023","5","privadoregistrado","83.70000"
"2023","5","sectorpublico","81.50000"
"2023","6","privadonoregistrado","74.68300"
"2023","6","privadoregistrado","83.50000"
"2023","6","sectorpublico","81.60000"
"2023","7","privadonoregistrado","75.58701"
"2023","7","privadoregistrado","87.00000"
"2023","7","sectorpublico","86.90000"
"2023","8","privadonoregistrado","74.77771"
"2023","8","privadoregistrado","83.80000"
"2023","8","sectorpublico","82.00000"
"2023","9","privadonoregistrado","70.11419"
"2023","9","privadoregistrado","84.19186"
"2023","9","sectorpublico","80.66442"
"2023","10","privadonoregistrado","71.04937"
"2023","10","privadoregistrado","84.52540"
"2023","10","sectorpublico","81.29251"
"2023","11","privadonoregistrado","67.87595"
"2023","11","privadoregistrado","82.37659"
"2023","11","sectorpublico","77.70758"
"2023","12","privadonoregistrado","60.48684"
"2023","12","privadoregistrado","72.90394"
"2023","12","sectorpublico","65.33933"
"2024","1","privadonoregistrado","54.80000"
"2024","1","privadoregistrado","72.52437"
"2024","1","sectorpublico","60.71726"
"2024","2","privadonoregistrado","55.70000"
"2024","2","privadoregistrado","73.05462"
"2024","2","sectorpublico","61.71806"
"2024","3","privadonoregistrado","55.40000"
"2024","3","privadoregistrado","72.38157"
"2024","3","sectorpublico","61.72625"
"2024","4","privadonoregistrado","56.20000"
"2024","4","privadoregistrado","74.46543"
"2024","4","sectorpublico","60.97989"
"2024","5","privadonoregistrado","58.10000"
"2024","5","privadoregistrado","76.96760"
"2024","5","sectorpublico","63.36753"
"2024","6","privadonoregistrado","60.10000"
"2024","6","privadoregistrado","78.52405"
"2024","6","sectorpublico","62.98394"
"2024","7","privadonoregistrado","61.70000"
"2024","7","privadoregistrado","80.21633"
"2024","7","sectorpublico","64.61170"
"2024","8","privadonoregistrado","64.30000"
"2024","8","privadoregistrado","80.88282"
"2024","8","sectorpublico","64.91006"
"2024","9","privadonoregistrado","67.07767"
"2024","9","privadoregistrado","81.11527"
"2024","9","sectorpublico","65.19267"
"2024","10","privadonoregistrado","68.65431"
"2024","10","privadoregistrado","82.11008"
"2024","10","sectorpublico","66.23855"
"2024","11","privadonoregistrado","72.17832"
"2024","11","privadoregistrado","82.79417"
"2024","11","sectorpublico","66.43051"
"2024","12","privadonoregistrado","74.18759"
"2024","12","privadoregistrado","82.86575"
"2024","12","sectorpublico","65.79393"
"2025","1","privadonoregistrado","79.03874"
"2025","1","privadoregistrado","82.93825"
"2025","1","sectorpublico","64.96618"
"2025","2","privadonoregistrado","79.94522"
"2025","2","privadoregistrado","82.86273"
"2025","2","sectorpublico","66.27661"
"2025","3","privadonoregistrado","81.72335"
"2025","3","privadoregistrado","81.61128"
"2025","3","sectorpublico","65.98840"
"2025","4","privadonoregistrado","84.06631"
"2025","4","privadoregistrado","81.41259"
"2025","4","sectorpublico","65.65981"
"2025","5","privadonoregistrado","86.33499"
"2025","5","privadoregistrado","81.79357"
"2025","5","sectorpublico","66.80780"
"2025","6","privadonoregistrado","86.39114"
"2025","6","privadoregistrado","81.88540"
"2025","6","sectorpublico","66.58681"
"2025","7","privadonoregistrado","84.89580"
"2025","7","privadoregistrado","82.10287"
"2025","7","sectorpublico","66.83439"
"2025","8","privadonoregistrado","86.97054"
"2025","8","privadoregistrado","82.39919"
"2025","8","sectorpublico","67.43574"
"2025","9","privadonoregistrado","89.14223"
"2025","9","privadoregistrado","81.83177"
"2025","9","sectorpublico","66.81690"
"2025","10","privadonoregistrado",""
"2025","10","privadoregistrado","81.62187"
"2025","10","sectorpublico","66.52137"
"2025","11","privadonoregistrado",""
"2025","11","privadoregistrado","81.34742"
"2025","11","sectorpublico","65.66266"
"2025","12","privadonoregistrado",""
"2025","12","privadoregistrado","81.09837"
"2025","12","sectorpublico","64.47508"
"2025","1","privadonoregistrado",""
"2025","1","privadoregistrado","80.50764"
"2025","1","sectorpublico","63.80364"
"2025","2","privadonoregistrado",""
"2025","2","privadoregistrado","79.46020"
"2025","2","sectorpublico","63.45210"
