"edad","variable","valor"
"54","Hombres2","8839.78418"
"54","Mujeres1","5887.74609"
"54","Mujeres2","7938.37842"
"55","Hombres1","10584.36426"
"55","Hombres2","8881.49414"
"55","Mujeres1","6385.23389"
"55","Mujeres2","7939.49121"
"56","Hombres1","8705.45996"
"56","Hombres2","8919.02637"
"56","Mujeres1","6668.55518"
"56","Mujeres2","7936.08008"
"57","Hombres1","8878.00098"
"57","Hombres2","8952.38184"
"57","Mujeres1","8452.31152"
"57","Mujeres2","7928.14404"
"58","Hombres1","8997.29688"
"58","Hombres2","8981.56055"
"58","Mujeres1","6930.72607"
"58","Mujeres2","7915.68408"
"59","Hombres1","8543.95703"
"59","Hombres2","9006.56250"
"59","Mujeres1","7724.47266"
"59","Mujeres2","7898.69971"
"60","Hombres1","7607.63818"
"60","Hombres2","9027.38672"
"60","Mujeres1","6828.91895"
"60","Mujeres2","7877.19092"
"61","Hombres1","7857.30664"
"61","Hombres2","9044.03418"
"61","Mujeres1","7057.53564"
"61","Mujeres2","7851.15771"
"62","Hombres1","10107.16992"
"62","Hombres2","9056.50488"
"62","Mujeres1","6848.63086"
"62","Mujeres2","7820.60010"
"63","Hombres1","9939.66406"
"63","Hombres2","9064.79785"
"63","Mujeres1","6747.01660"
"63","Mujeres2","7785.51855"
"64","Hombres1","9344.99316"
"64","Hombres2","9068.91406"
"64","Mujeres1","5834.08301"
"64","Mujeres2","7745.91211"
"65","Hombres1","8442.35742"
"65","Hombres2","9068.85352"
"65","Mujeres1","11536.85254"
"65","Mujeres2","7701.78174"
"66","Hombres1","9275.12500"
"66","Hombres2","9064.61523"
"66","Mujeres1","7828.29883"
"66","Mujeres2","7653.12695"
"67","Hombres1","7745.07812"
"67","Hombres2","9056.20117"
"67","Mujeres1","7787.63281"
"67","Mujeres2","7599.94775"
"68","Hombres1","11318.87305"
"68","Hombres2","9043.60840"
"68","Mujeres1","12010.30566"
"68","Mujeres2","7542.24463"
"69","Hombres1","6941.94580"
"69","Hombres2","9026.83984"
"69","Mujeres1","10980.59668"
"69","Mujeres2","7480.01660"
"70","Hombres1","9375.88281"
"70","Hombres2","9005.89355"
"70","Mujeres1","8277.38086"
"70","Mujeres2","7413.26465"
"71","Hombres1","8014.15332"
"71","Hombres2","8980.77051"
"71","Mujeres1","6031.96191"
"71","Mujeres2","7341.98828"
"72","Hombres1","7266.87305"
"72","Hombres2","8951.47070"
"72","Mujeres1","5780.11279"
"72","Mujeres2","7266.18750"
"73","Hombres1","14005.06348"
"73","Hombres2","8917.99316"
"73","Mujeres1","13670.11328"
"73","Mujeres2","7185.86230"
"74","Hombres1","5958.40723"
"74","Hombres2","8880.33887"
"74","Mujeres1","1916.31628"
"74","Mujeres2","7101.01270"
"75","Hombres1","12024.18750"
"75","Hombres2","8838.50781"
"75","Mujeres1","20282.52148"
"75","Mujeres2","7011.63916"
