"ano","variable","valor"
"2015","Hombres","13218.59617"
"2015","Mujeres","10690.49462"
"2016","(15-24)","7164.99482"
"2016","(25-64)","12677.92547"
"2016","(65 +)","13037.13806"
"2016","Hombres","13195.96005"
"2016","Mujeres","10460.31573"
"2017","(15-24)","7193.33392"
"2017","(25-64)","13245.22175"
"2017","(65 +)","11682.46705"
"2017","Hombres","13656.50514"
"2017","Mujeres","10745.85008"
"2018","(15-24)","6538.26693"
"2018","(25-64)","11788.47265"
"2018","(65 +)","11428.75950"
"2018","Hombres","12441.21643"
"2018","Mujeres","9503.60591"
"2019","(15-24)","5708.82571"
"2019","(25-64)","11004.52708"
"2019","(65 +)","9540.72807"
"2019","Hombres","11516.23727"
"2019","Mujeres","8818.81108"
"2020","(15-24)","4882.30202"
"2020","(25-64)","9921.72458"
"2020","(65 +)","9902.73862"
"2020","Hombres","10276.15866"
"2020","Mujeres","8375.39106"
"2021","(15-24)","5377.30833"
"2021","(25-64)","10565.32878"
"2021","(65 +)","9540.78374"
"2021","Hombres","11061.40503"
"2021","Mujeres","8601.54070"
"2022","(15-24)","5190.67534"
"2022","(25-64)","9787.12472"
"2022","(65 +)","8391.92811"
"2022","Hombres","10159.00288"
"2022","Mujeres","8066.01102"
"2023","(15-24)","5107.04848"
"2023","(25-64)","9538.39175"
"2023","(65 +)","7856.47696"
"2023","Hombres","10008.64794"
"2023","Mujeres","7723.09180"
"2024","(15-24)","5663.82240"
"2024","(25-64)","10187.95885"
"2024","(65 +)","8614.58009"
"2024","Hombres","10893.82159"
"2024","Mujeres","8102.22758"
"2025","(15-24)","6569.90818"
"2025","(25-64)","11588.26415"
"2025","(65 +)","10578.08818"
"2025","Hombres","12447.47638"
"2025","Mujeres","9226.40249"
