"categoria","anio","exportaciones_en_usd_mill","tipo"
"Complejo cobre","2009","1135","Bienes"
"Complejo cobre","2010","1514","Bienes"
"Complejo cobre","2011","1459","Bienes"
"Complejo cobre","2012","1526","Bienes"
"Complejo pesquero","2009","1129","Bienes"
"Complejo pesquero","2010","1344","Bienes"
"Complejo pesquero","2011","1481","Bienes"
"Complejo pesquero","2012","1340","Bienes"
"Complejo uva","2009","860","Bienes"
"Complejo uva","2010","992","Bienes"
"Complejo uva","2011","1203","Bienes"
"Complejo uva","2012","1304","Bienes"
"Complejo maní","2009","499","Bienes"
"Complejo maní","2010","583","Bienes"
"Complejo maní","2011","852","Bienes"
"Complejo maní","2012","1034","Bienes"
"Complejos de origen forestal","2009","861","Bienes"
"Complejos de origen forestal","2010","1031","Bienes"
"Complejos de origen forestal","2011","1046","Bienes"
"Complejos de origen forestal","2012","753","Bienes"
"Complejo celulósico-papelero","2009","519","Bienes"
"Complejo celulósico-papelero","2010","634","Bienes"
"Complejo celulósico-papelero","2011","652","Bienes"
"Complejo celulósico-papelero","2012","441","Bienes"
"Complejo maderero","2009","203","Bienes"
"Complejo maderero","2010","243","Bienes"
"Complejo maderero","2011","231","Bienes"
"Complejo maderero","2012","169","Bienes"
"Complejo aluminio","2009","572","Bienes"
"Complejo aluminio","2010","749","Bienes"
"Complejo aluminio","2011","844","Bienes"
"Complejo aluminio","2012","713","Bienes"
"Complejo tabacalero","2009","379","Bienes"
"Complejo tabacalero","2010","308","Bienes"
"Complejo tabacalero","2011","399","Bienes"
"Complejo tabacalero","2012","400","Bienes"
"Complejos algodoneros","2009","101","Bienes"
"Complejos algodoneros","2010","184","Bienes"
"Complejos algodoneros","2011","365","Bienes"
"Complejos algodoneros","2012","221","Bienes"
"Complejo algodonero textil","2009","98","Bienes"
"Complejo algodonero textil","2010","167","Bienes"
"Complejo algodonero textil","2011","337","Bienes"
"Complejo algodonero textil","2012","196","Bienes"
"Complejo aceite de algodón","2009","3","Bienes"
"Complejo aceite de algodón","2010","17","Bienes"
"Complejo aceite de algodón","2011","28","Bienes"
"Complejo aceite de algodón","2012","26","Bienes"
"Complejos de origen ovino","2009","172","Bienes"
"Complejos de origen ovino","2010","266","Bienes"
"Complejos de origen ovino","2011","320","Bienes"
"Complejos de origen ovino","2012","220","Bienes"
"Complejo lanero, cueros y pieles","2009","145","Bienes"
"Complejo lanero, cueros y pieles","2010","236","Bienes"
"Complejo lanero, cueros y pieles","2011","289","Bienes"
"Complejo lanero, cueros y pieles","2012","205","Bienes"
"Complejo carne ovina","2009","27","Bienes"
"Complejo carne ovina","2010","30","Bienes"
"Complejo carne ovina","2011","31","Bienes"
"Complejo carne ovina","2012","15","Bienes"
"Resto de exportaciones","2009","11430","Bienes"
"Resto de exportaciones","2010","12752","Bienes"
"Resto de exportaciones","2011","15659","Bienes"
"Resto de exportaciones","2012","15593","Bienes"
"Complejos oleaginosos","2013","21524","Bienes"
"Complejos oleaginosos","2014","21717","Bienes"
"Complejos oleaginosos","2015","19735","Bienes"
"Complejos oleaginosos","2016","20731","Bienes"
"Complejo soja","2013","18840","Bienes"
"Complejo soja","2014","19082","Bienes"
"Complejo soja","2015","17758","Bienes"
"Complejo soja","2016","17672","Bienes"
"Complejo biodiésel","2013","1055","Bienes"
"Complejo biodiésel","2014","1305","Bienes"
"Complejo biodiésel","2015","506","Bienes"
"Complejo biodiésel","2016","1240","Bienes"
"Complejo maní","2013","737","Bienes"
"Complejo maní","2014","663","Bienes"
"Complejo maní","2015","814","Bienes"
"Complejo maní","2016","928","Bienes"
"Complejo girasol","2013","745","Bienes"
"Complejo girasol","2014","561","Bienes"
"Complejo girasol","2015","567","Bienes"
"Complejo girasol","2016","741","Bienes"
"Complejos petrolero-petroquímico","2013","6306","Bienes"
"Complejos petrolero-petroquímico","2014","5689","Bienes"
"Complejos petrolero-petroquímico","2015","2783","Bienes"
"Complejos petrolero-petroquímico","2016","2795","Bienes"
"Complejos cerealeros","2013","9009","Bienes"
"Complejos cerealeros","2014","6003","Bienes"
"Complejos cerealeros","2015","5558","Bienes"
"Complejos cerealeros","2016","7612","Bienes"
"Complejo maicero","2013","5912","Bienes"
"Complejo maicero","2014","3587","Bienes"
"Complejo maicero","2015","3215","Bienes"
"Complejo maicero","2016","4244","Bienes"
"Complejo triguero","2013","1023","Bienes"
"Complejo triguero","2014","954","Bienes"
"Complejo triguero","2015","1328","Bienes"
"Complejo triguero","2016","2182","Bienes"
"Complejo arrocero","2013","280","Bienes"
"Complejo arrocero","2014","265","Bienes"
"Complejo arrocero","2015","146","Bienes"
"Complejo arrocero","2016","207","Bienes"
"Complejos de origen bovino","2013","3673","Bienes"
"Complejos de origen bovino","2014","3627","Bienes"
"Complejos de origen bovino","2015","2761","Bienes"
"Complejos de origen bovino","2016","2654","Bienes"
"Complejo carne","2013","1264","Bienes"
"Complejo carne","2014","1282","Bienes"
"Complejo carne","2015","1046","Bienes"
"Complejo carne","2016","1249","Bienes"
"Complejo cuero","2013","948","Bienes"
"Complejo cuero","2014","1028","Bienes"
"Complejo cuero","2015","844","Bienes"
"Complejo cuero","2016","734","Bienes"
"Complejo lácteo","2013","1460","Bienes"
"Complejo lácteo","2014","1316","Bienes"
"Complejo lácteo","2015","871","Bienes"
"Complejo lácteo","2016","671","Bienes"
"Complejo automotriz","2013","10816","Bienes"
"Complejo automotriz","2014","9003","Bienes"
"Complejo automotriz","2015","6463","Bienes"
"Complejo automotriz","2016","5591","Bienes"
"Complejos frutihortícolas","2013","2249","Bienes"
"Complejos frutihortícolas","2014","2016","Bienes"
"Complejos frutihortícolas","2015","1866","Bienes"
"Complejos frutihortícolas","2016","2271","Bienes"
"Complejo frutícola","2013","1448","Bienes"
"Complejo frutícola","2014","1227","Bienes"
"Complejo frutícola","2015","1160","Bienes"
"Complejo frutícola","2016","1257","Bienes"
"Complejo hortícola","2013","801","Bienes"
"Complejo hortícola","2014","789","Bienes"
"Complejo hortícola","2015","705","Bienes"
"Complejo hortícola","2016","1014","Bienes"
"Complejo oro","2013","1847","Bienes"
"Complejo oro","2014","1826","Bienes"
"Complejo oro","2015","2261","Bienes"
"Complejo oro","2016","2042","Bienes"
"Complejo pesquero","2013","1515","Bienes"
"Complejo pesquero","2014","1584","Bienes"
"Complejo pesquero","2015","1466","Bienes"
"Complejo pesquero","2016","1701","Bienes"
"Complejo uva","2013","1215","Bienes"
"Complejo uva","2014","1063","Bienes"
"Complejo uva","2015","1003","Bienes"
"Complejo uva","2016","993","Bienes"
"Complejo farmacéutico","2013","913","Bienes"
"Complejo farmacéutico","2014","851","Bienes"
"Complejo farmacéutico","2015","1047","Bienes"
"Complejo farmacéutico","2016","1042","Bienes"
"Complejo cobre","2013","962","Bienes"
"Complejo cobre","2014","942","Bienes"
"Complejo cobre","2015","473","Bienes"
"Complejo cobre","2016","636","Bienes"
"Complejo aluminio","2013","719","Bienes"
"Complejo aluminio","2014","620","Bienes"
"Complejo aluminio","2015","520","Bienes"
"Complejo aluminio","2016","622","Bienes"
"Complejos de origen forestal","2013","741","Bienes"
"Complejos de origen forestal","2014","707","Bienes"
"Complejos de origen forestal","2015","589","Bienes"
"Complejos de origen forestal","2016","514","Bienes"
"Complejo celulósico-papelero","2013","425","Bienes"
"Complejo celulósico-papelero","2014","397","Bienes"
"Complejo celulósico-papelero","2015","345","Bienes"
"Complejo celulósico-papelero","2016","294","Bienes"
"Complejo maderero","2013","183","Bienes"
"Complejo maderero","2014","173","Bienes"
"Complejo maderero","2015","121","Bienes"
"Complejo maderero","2016","95","Bienes"
"Complejo siderúrgico","2013","1540","Bienes"
"Complejo siderúrgico","2014","1402","Bienes"
"Complejo siderúrgico","2015","609","Bienes"
"Complejo siderúrgico","2016","545","Bienes"
"Complejo tabacalero","2013","352","Bienes"
"Complejo tabacalero","2014","292","Bienes"
"Complejo tabacalero","2015","224","Bienes"
"Complejo tabacalero","2016","397","Bienes"
"Complejo avícola","2013","692","Bienes"
"Complejo avícola","2014","592","Bienes"
"Complejo avícola","2015","352","Bienes"
"Complejo avícola","2016","271","Bienes"
"Complejos de origen ovino","2013","205","Bienes"
"Complejos de origen ovino","2014","205","Bienes"
"Complejos de origen ovino","2015","175","Bienes"
"Complejos de origen ovino","2016","241","Bienes"
"Complejo lanero, cueros y pieles","2013","198","Bienes"
"Complejo lanero, cueros y pieles","2014","191","Bienes"
"Complejo lanero, cueros y pieles","2015","169","Bienes"
"Complejo lanero, cueros y pieles","2016","234","Bienes"
"Complejo carne ovina","2013","7","Bienes"
"Complejo carne ovina","2014","14","Bienes"
"Complejo carne ovina","2015","6","Bienes"
"Complejo carne ovina","2016","7","Bienes"
"Complejos algodoneros","2013","143","Bienes"
"Complejos algodoneros","2014","211","Bienes"
"Complejos algodoneros","2015","127","Bienes"
"Complejos algodoneros","2016","125","Bienes"
"Complejo algodonero textil","2013","125","Bienes"
"Complejo algodonero textil","2014","192","Bienes"
"Complejo algodonero textil","2015","94","Bienes"
"Complejo algodonero textil","2016","102","Bienes"
"Complejo aceite de algodón","2013","18","Bienes"
"Complejo aceite de algodón","2014","20","Bienes"
"Complejo aceite de algodón","2015","33","Bienes"
"Complejo aceite de algodón","2016","22","Bienes"
"Resto de exportaciones","2013","11544","Bienes"
"Resto de exportaciones","2014","10054","Bienes"
"Resto de exportaciones","2015","8772","Bienes"
"Resto de exportaciones","2016","7126","Bienes"
"Complejo soja","2017","17169.68665477","Bienes"
"Complejo soja","2018","15053.50729363","Bienes"
"Complejo soja","2019","16942.67612967","Bienes"
"Complejo soja","2020","14865.00278834","Bienes"
"Complejo maní","2017","904.43245186","Bienes"
"Complejo maní","2018","724.47105152","Bienes"
"Complejo maní","2019","841.16275027","Bienes"
"Complejo maní","2020","1073.10726001","Bienes"
"Complejo girasol","2017","792.6056639","Bienes"
"Complejo girasol","2018","758.27598941","Bienes"
"Complejo girasol","2019","935.2745879","Bienes"
"Complejo girasol","2020","659.9699064","Bienes"
"Complejo olivícola","2017","233.44812468","Bienes"
"Complejo olivícola","2018","156.56380797","Bienes"
"Complejo olivícola","2019","147.56516884","Bienes"
"Complejo olivícola","2020","132.13090472","Bienes"
"Complejo maicero","2017","3938.31123217","Bienes"
"Complejo maicero","2018","4301.1747049","Bienes"
"Complejo maicero","2019","6024.94205117","Bienes"
"Complejo maicero","2020","6151.37779316","Bienes"
"Complejo triguero","2017","2705.95904792","Bienes"
"Complejo triguero","2018","2839.32151857","Bienes"
"Complejo triguero","2019","2836.36066719","Bienes"
"Complejo triguero","2020","2470.94570298","Bienes"
"Complejo cebada","2017","750.88305395","Bienes"
"Complejo cebada","2018","837.43597647","Bienes"
"Complejo cebada","2019","1029.13057422","Bienes"
"Complejo cebada","2020","750.00337903","Bienes"
"Complejo arrocero","2017","180.04117169","Bienes"
"Complejo arrocero","2018","173.12921907","Bienes"
"Complejo arrocero","2019","185.45431235","Bienes"
"Complejo arrocero","2020","166.90242289","Bienes"
"Complejo carne y cuero bovinos","2017","2345.91215194","Bienes"
"Complejo carne y cuero bovinos","2018","3087.94988169","Bienes"
"Complejo carne y cuero bovinos","2019","4032.14840413","Bienes"
"Complejo carne y cuero bovinos","2020","3368.49079205","Bienes"
"Complejo lácteo","2017","617.784607","Bienes"
"Complejo lácteo","2018","877.63465972","Bienes"
"Complejo lácteo","2019","797.87398758","Bienes"
"Complejo lácteo","2020","1001.58558716","Bienes"
"Complejo automotriz","2017","6412.79297442","Bienes"
"Complejo automotriz","2018","8059.72432109","Bienes"
"Complejo automotriz","2019","7126.4786006","Bienes"
"Complejo automotriz","2020","4308.78029959","Bienes"
"Complejo oro y plata","2017","2715.96028435","Bienes"
"Complejo oro y plata","2018","2628.08088428","Bienes"
"Complejo oro y plata","2019","2838.73675817","Bienes"
"Complejo oro y plata","2020","2365.66468825","Bienes"
"Complejo siderúrgico","2017","805.52123895","Bienes"
"Complejo siderúrgico","2018","1107.06873044","Bienes"
"Complejo siderúrgico","2019","1123.0482009","Bienes"
"Complejo siderúrgico","2020","634.9940227","Bienes"
"Complejo aluminio","2017","793.91025943","Bienes"
"Complejo aluminio","2018","937.58430483","Bienes"
"Complejo aluminio","2019","817.53224557","Bienes"
"Complejo aluminio","2020","577.61923188","Bienes"
"Complejo litio","2017","224.95455418","Bienes"
"Complejo litio","2018","279.90719121","Bienes"
"Complejo litio","2019","184.77984356","Bienes"
"Complejo litio","2020","135.4503312","Bienes"
"Complejo plomo","2017","154.06515111","Bienes"
"Complejo plomo","2018","109.35050578","Bienes"
"Complejo plomo","2019","96.74217232","Bienes"
"Complejo plomo","2020","7.31112123","Bienes"
"Complejo otros minerales metalíferos","2017","479.79119195","Bienes"
"Complejo otros minerales metalíferos","2018","343.01748512","Bienes"
"Complejo otros minerales metalíferos","2019","45.61160283","Bienes"
"Complejo otros minerales metalíferos","2020","12.67389401","Bienes"
"Complejo petrolero-petroquímico","2017","3201.91580031","Bienes"
"Complejo petrolero-petroquímico","2018","5043.50579619","Bienes"
"Complejo petrolero-petroquímico","2019","5075.85821271","Bienes"
"Complejo petrolero-petroquímico","2020","3660.11381353","Bienes"
"Complejo uva","2017","951.44825787","Bienes"
"Complejo uva","2018","1065.79027669","Bienes"
"Complejo uva","2019","1026.36177084","Bienes"
"Complejo uva","2020","984.49083646","Bienes"
"Complejo limón","2017","592.68271793","Bienes"
"Complejo limón","2018","752.82675177","Bienes"
"Complejo limón","2019","565.14529685","Bienes"
"Complejo limón","2020","521.88565114","Bienes"
"Complejo peras y manzanas","2017","360.13388378","Bienes"
"Complejo peras y manzanas","2018","418.10867089","Bienes"
"Complejo peras y manzanas","2019","359.46891163","Bienes"
"Complejo peras y manzanas","2020","359.45770884","Bienes"
"Complejo arándanos y frutos similares","2017","126.34927996","Bienes"
"Complejo arándanos y frutos similares","2018","106.81110688","Bienes"
"Complejo arándanos y frutos similares","2019","95.83144222","Bienes"
"Complejo arándanos y frutos similares","2020","86.72650991","Bienes"
"Complejo cítricos, excluido el limón","2017","103.03924415","Bienes"
"Complejo cítricos, excluido el limón","2018","91.5695192","Bienes"
"Complejo cítricos, excluido el limón","2019","89.2529376","Bienes"
"Complejo cítricos, excluido el limón","2020","76.00130653","Bienes"
"Complejo resto del sector frutícola","2017","135.34743129","Bienes"
"Complejo resto del sector frutícola","2018","169.58708224","Bienes"
"Complejo resto del sector frutícola","2019","167.98281725","Bienes"
"Complejo resto del sector frutícola","2020","140.57238993","Bienes"
"Complejo pesquero","2017","1979.97755069","Bienes"
"Complejo pesquero","2018","2154.5058795","Bienes"
"Complejo pesquero","2019","1863.36317372","Bienes"
"Complejo pesquero","2020","1730.28715875","Bienes"
"Complejo porotos","2017","317.29955917","Bienes"
"Complejo porotos","2018","298.47143199","Bienes"
"Complejo porotos","2019","383.53379179","Bienes"
"Complejo porotos","2020","371.13830848","Bienes"
"Complejo papa","2017","178.87637545","Bienes"
"Complejo papa","2018","176.58762944","Bienes"
"Complejo papa","2019","229.56501802","Bienes"
"Complejo papa","2020","190.34119836","Bienes"
"Complejo ajo","2017","183.25933971","Bienes"
"Complejo ajo","2018","132.02905575","Bienes"
"Complejo ajo","2019","131.7535118","Bienes"
"Complejo ajo","2020","174.39291886","Bienes"
"Complejo garbanzos","2017","177.79556","Bienes"
"Complejo garbanzos","2018","120.91956855","Bienes"
"Complejo garbanzos","2019","50.20225645","Bienes"
"Complejo garbanzos","2020","66.75260926","Bienes"
"Complejo resto del sector hortícola","2017","73.1935514","Bienes"
"Complejo resto del sector hortícola","2018","84.67028363","Bienes"
"Complejo resto del sector hortícola","2019","84.59402545","Bienes"
"Complejo resto del sector hortícola","2020","91.37883445","Bienes"
"Complejo farmacéutico","2017","901.52516487","Bienes"
"Complejo farmacéutico","2018","870.81325227","Bienes"
"Complejo farmacéutico","2019","886.47406073","Bienes"
"Complejo farmacéutico","2020","864.21254977","Bienes"
"Complejo forestal","2017","599.1630818","Bienes"
"Complejo forestal","2018","668.84108884","Bienes"
"Complejo forestal","2019","690.59436937","Bienes"
"Complejo forestal","2020","605.60919144","Bienes"
"Complejo avícola","2017","316.39568245","Bienes"
"Complejo avícola","2018","325.87700406","Bienes"
"Complejo avícola","2019","451.38045794","Bienes"
"Complejo avícola","2020","332.20541936","Bienes"
"Complejo textil","2017","425.87734109","Bienes"
"Complejo textil","2018","591.7711817","Bienes"
"Complejo textil","2019","508.28302497","Bienes"
"Complejo textil","2020","324.62607274","Bienes"
"Complejo tabacalero","2017","325.10186552","Bienes"
"Complejo tabacalero","2018","300.58108061","Bienes"
"Complejo tabacalero","2019","244.44455426","Bienes"
"Complejo tabacalero","2020","236.98096041","Bienes"
"Complejo miel","2017","188.72124325","Bienes"
"Complejo miel","2018","180.19325221","Bienes"
"Complejo miel","2019","151.62432657","Bienes"
"Complejo miel","2020","172.72444522","Bienes"
"Complejo azucarero","2017","203.65880486","Bienes"
"Complejo azucarero","2018","120.73894652","Bienes"
"Complejo azucarero","2019","157.9916594","Bienes"
"Complejo azucarero","2020","162.73469587","Bienes"
"Complejo yerba mate","2017","84.93018466","Bienes"
"Complejo yerba mate","2018","99.5004814","Bienes"
"Complejo yerba mate","2019","85.94303881","Bienes"
"Complejo yerba mate","2020","93.9954495","Bienes"
"Complejo té","2017","95.84993278","Bienes"
"Complejo té","2018","94.7015259","Bienes"
"Complejo té","2019","89.26253895","Bienes"
"Complejo té","2020","77.62874175","Bienes"
"Complejo equino","2017","91.83039299","Bienes"
"Complejo equino","2018","104.414912","Bienes"
"Complejo equino","2019","91.53757417","Bienes"
"Complejo equino","2020","60.13862924","Bienes"
"Resto de exportaciones","2017","5804.30158774","Bienes"
"Resto de exportaciones","2018","5534.5152972","Bienes"
"Resto de exportaciones","2019","5629.35979478","Bienes"
"Resto de exportaciones","2020","4817.41692024","Bienes"
"Complejo soja","2021","23841.05739335","Bienes"
"Complejo soja","2022","24899.78520533","Bienes"
"Complejo soja","2023","13947.59121951","Bienes"
"Complejo soja","2024","19628.06251421","Bienes"
"Complejo girasol","2021","1333.85644865","Bienes"
"Complejo girasol","2022","1895.45360205","Bienes"
"Complejo girasol","2023","1420.22222992","Bienes"
"Complejo girasol","2024","1453.17295329","Bienes"
"Complejo maní","2021","1041.66789","Bienes"
"Complejo maní","2022","1043.35125899","Bienes"
"Complejo maní","2023","1066.40337397","Bienes"
"Complejo maní","2024","1193.79070519","Bienes"
"Complejo olivícola","2021","171.97000567","Bienes"
"Complejo olivícola","2022","189.37399546","Bienes"
"Complejo olivícola","2023","296.94544329","Bienes"
"Complejo olivícola","2024","322.22447182","Bienes"
"Complejo maicero","2021","9294.6907773","Bienes"
"Complejo maicero","2022","9560.25221499","Bienes"
"Complejo maicero","2023","6427.29236547","Bienes"
"Complejo maicero","2024","7263.83033982","Bienes"
"Complejo triguero","2021","3488.09605","Bienes"
"Complejo triguero","2022","4727.34129746","Bienes"
"Complejo triguero","2023","1446.23267112","Bienes"
"Complejo triguero","2024","2763.90494947","Bienes"
"Complejo cebada","2021","943.36799314","Bienes"
"Complejo cebada","2022","1608.98567243","Bienes"
"Complejo cebada","2023","1326.79971567","Bienes"
"Complejo cebada","2024","1211.54166618","Bienes"
"Complejo arrocero","2021","215.34041137","Bienes"
"Complejo arrocero","2022","213.09559862","Bienes"
"Complejo arrocero","2023","188.70013319","Bienes"
"Complejo arrocero","2024","212.33362695","Bienes"
"Complejo petrolero-petroquímico","2021","5207.57705939","Bienes"
"Complejo petrolero-petroquímico","2022","9380.7455002","Bienes"
"Complejo petrolero-petroquímico","2023","8463.25287868","Bienes"
"Complejo petrolero-petroquímico","2024","10435.36745563","Bienes"
"Complejo automotriz","2021","7099.61443317","Bienes"
"Complejo automotriz","2022","8688.76167273","Bienes"
"Complejo automotriz","2023","8905.57950734","Bienes"
"Complejo automotriz","2024","9010.35669211","Bienes"
"Complejo oro y plata","2021","2908.45299887","Bienes"
"Complejo oro y plata","2022","2946.4343368","Bienes"
"Complejo oro y plata","2023","2967.68743812","Bienes"
"Complejo oro y plata","2024","3826.5887501","Bienes"
