"anio","tipo_vuelo","fuente","pasajeros_miles"
"1973","Internacional","Fundación Norte y Sur","1605.60946118659"
"1974","Total","Fundación Norte y Sur","4351.6780389707"
"1974","Cabotaje","Fundación Norte y Sur","2357.55039049961"
"1974","Internacional","Fundación Norte y Sur","1968.88951311357"
"1975","Total","Fundación Norte y Sur","4889.46687699943"
"1975","Cabotaje","Fundación Norte y Sur","2759.63692083093"
"1975","Internacional","Fundación Norte y Sur","2094.97603365779"
"1976","Total","Fundación Norte y Sur","4626.87467093071"
"1976","Cabotaje","Fundación Norte y Sur","2693.47078292831"
"1976","Internacional","Fundación Norte y Sur","1895.6084584383"
"1977","Total","Fundación Norte y Sur","5392.59354382708"
"1977","Cabotaje","Fundación Norte y Sur","3180.04638165837"
"1977","Internacional","Fundación Norte y Sur","2166.10176319555"
"1978","Total","Fundación Norte y Sur","5481.87489389044"
"1978","Cabotaje","Fundación Norte y Sur","3118.96994667133"
"1978","Internacional","Fundación Norte y Sur","2322.36283566488"
"1979","Total","Fundación Norte y Sur","6933.48460903829"
"1979","Cabotaje","Fundación Norte y Sur","3993.38090756907"
"1979","Internacional","Fundación Norte y Sur","2885.98035912323"
"1980","Total","Fundación Norte y Sur","7658.23909778793"
"1980","Cabotaje","Fundación Norte y Sur","4404.62890314845"
"1980","Internacional","Fundación Norte y Sur","3194.19185378687"
"1981","Total","Fundación Norte y Sur","6674.0435094424"
"1981","Cabotaje","Fundación Norte y Sur","3942.4838784132"
"1981","Internacional","Fundación Norte y Sur","2673.68083307869"
"1982","Total","Fundación Norte y Sur","5929.33201303153"
"1982","Cabotaje","Fundación Norte y Sur","3873.26391876123"
"1982","Internacional","Fundación Norte y Sur","1982.89912650737"
"1983","Total","Fundación Norte y Sur","5688.79755227259"
"1983","Cabotaje","Fundación Norte y Sur","3811.16954319107"
"1983","Internacional","Fundación Norte y Sur","1801.8518149567"
"1984","Total","Fundación Norte y Sur","6699.252361225"
"1984","Cabotaje","Fundación Norte y Sur","4458.57975405366"
"1984","Internacional","Fundación Norte y Sur","2153.1698123705"
"1985","Total","Fundación Norte y Sur","6164.6146296691"
"1985","Cabotaje","Fundación Norte y Sur","3987.27326407036"
"1985","Internacional","Fundación Norte y Sur","2103.59733420782"
"1986","Total","Fundación Norte y Sur","7088.93919503097"
"1986","Cabotaje","Fundación Norte y Sur","4278.4042708419"
"1986","Internacional","Fundación Norte y Sur","2743.7289000477"
"1987","Total","Fundación Norte y Sur","7345.22918815403"
"1987","Cabotaje","Fundación Norte y Sur","4573.60703994591"
"1987","Internacional","Fundación Norte y Sur","2694.15642188501"
"1988","Total","Fundación Norte y Sur","6945.03866610531"
"1988","Cabotaje","Fundación Norte y Sur","4055.47528313922"
"1988","Internacional","Fundación Norte y Sur","2832.09723068553"
"1989","Total","Fundación Norte y Sur","6657.237608254"
"1989","Cabotaje","Fundación Norte y Sur","3512.91295233771"
"1989","Internacional","Fundación Norte y Sur","3111.21183599281"
"1990","Total","Fundación Norte y Sur","6563.75478289354"
"1990","Cabotaje","Fundación Norte y Sur","3022.26559127519"
"1990","Internacional","Fundación Norte y Sur","3534.73322551314"
"1991","Total","Fundación Norte y Sur","6877.81506135172"
"1991","Cabotaje","Fundación Norte y Sur","3067.05497693235"
"1991","Internacional","Fundación Norte y Sur","3809.53718054541"
"1992","Total","Fundación Norte y Sur","8100.44437280765"
"1992","Cabotaje","Fundación Norte y Sur","3723.62665304299"
"1992","Internacional","Fundación Norte y Sur","4368.84405372874"
"1993","Total","Fundación Norte y Sur","8358.83510357926"
"1993","Cabotaje","Fundación Norte y Sur","3773.50574161574"
"1993","Internacional","Fundación Norte y Sur","4581.14357977328"
"1994","Total","Fundación Norte y Sur","9996.36010062375"
"1994","Cabotaje","Fundación Norte y Sur","4619.41436618619"
"1994","Internacional","Fundación Norte y Sur","5365.68192982619"
"1995","Total","Fundación Norte y Sur","10637.0850834314"
"1995","Cabotaje","Fundación Norte y Sur","5081.55939092143"
"1995","Internacional","Fundación Norte y Sur","5533.79729055182"
"1996","Total","Fundación Norte y Sur","12037.2267261898"
"1996","Cabotaje","Fundación Norte y Sur","6009.92120272439"
"1996","Internacional","Fundación Norte y Sur","5987.49323199725"
"1997","Total","Fundación Norte y Sur","13307.1226347381"
"1997","Cabotaje","Fundación Norte y Sur","6700.0849180779"
"1997","Internacional","Fundación Norte y Sur","6559.73205600563"
"1998","Total","Fundación Norte y Sur","13877.4729063193"
"1998","Cabotaje","Fundación Norte y Sur","6803.91485755586"
"1998","Internacional","Fundación Norte y Sur","7034.98124882615"
"1999","Total","Fundación Norte y Sur","14079.1437205801"
"1999","Cabotaje","Fundación Norte y Sur","7177.4990515599"
"1999","Internacional","Fundación Norte y Sur","6846.39029929419"
"2000","Total","Fundación Norte y Sur","14095.2521768692"
"2000","Cabotaje","Fundación Norte y Sur","6838.86788335836"
"2000","Internacional","Fundación Norte y Sur","7221.41579555802"
"2001","Total","ANAC","11505.6382153308"
"2001","Cabotaje","ANAC","5089.80063788235"
"2001","Internacional","ANAC","6416.19494548558"
"2002","Total","ANAC","9519.08091586856"
"2002","Cabotaje","ANAC","4449.99913892722"
"2002","Internacional","ANAC","5068.99460921689"
"2003","Total","ANAC","10482.0688363765"
"2003","Cabotaje","ANAC","4599.86661485587"
"2003","Internacional","ANAC","5882.5872771856"
"2004","Total","ANAC","11855.9480553917"
"2004","Cabotaje","ANAC","5221.35162067647"
"2004","Internacional","ANAC","6635.00219319009"
"2005","Total","ANAC","12851.8577951107"
"2005","Cabotaje","ANAC","5376.75105058454"
"2005","Internacional","ANAC","7476.00021617032"
"2006","Total","ANAC","13423.7562269805"
"2006","Cabotaje","ANAC","5429.8841419253"
"2006","Internacional","ANAC","7995.10345721438"
"2007","Total","ANAC","14567.8306255394"
"2007","Cabotaje","ANAC","5607.91211636587"
"2007","Internacional","ANAC","8961.71093918381"
"2008","Total","ANAC","14965.4601523149"
"2008","Cabotaje","ANAC","5742.06848390471"
"2008","Internacional","ANAC","9225.26331593578"
"2009","Total","ANAC","15151.4224579131"
"2009","Cabotaje","ANAC","6425.15009161699"
"2009","Internacional","ANAC","8727.18739824587"
"2010","Total","ANAC","17238.8067596205"
"2010","Cabotaje","ANAC","6845.37012337484"
"2010","Internacional","ANAC","10395.2225083698"
"2011","Total","ANAC","17752.9939222738"
"2011","Cabotaje","ANAC","6386.56605919145"
"2011","Internacional","ANAC","11369.3289730492"
"2012","Total","ANAC","18989.100064951"
"2012","Cabotaje","ANAC","7462.68172576054"
"2012","Internacional","ANAC","11528.5100169042"
"2013","Total","ANAC","19631.519295779"
"2013","Cabotaje","ANAC","8280.68376100954"
"2013","Internacional","ANAC","11352.0921027195"
"2014","Total","ANAC","20541.6458181239"
"2014","Cabotaje","ANAC","9079.4207116645"
"2014","Internacional","ANAC","11462.8754354876"
"2015","Total","ANAC","21954.9130183124"
"2015","Cabotaje","ANAC","10241.1739384397"
"2015","Internacional","ANAC","11713.5738405441"
"2016","Total","ANAC","23658.4496931808"
"2016","Cabotaje","ANAC","10847.9622601758"
"2016","Internacional","ANAC","12810.6102715898"
"2017","Total","SINTA","27214.703"
"2017","Cabotaje","SINTA","12566.804"
"2017","Internacional","SINTA","14647.899"
"2018","Total","SINTA","29112.639"
"2018","Cabotaje","SINTA","14128.936"
"2018","Internacional","SINTA","14983.703"
"2019","Cabotaje","SINTA","15966.208"
"2019","Internacional","SINTA","14294.141"
"2019","Total","SINTA","30260.349"
"2020","Cabotaje","SINTA","3600.7"
"2020","Internacional","SINTA","3367.517"
"2020","Total","SINTA","6968.217"
"2021","Cabotaje","SINTA","6037.894"
"2021","Internacional","SINTA","1947.32"
"2021","Total","SINTA","7985.214"
"2022","Cabotaje","SINTA","13455.778"
"2022","Internacional","SINTA","8093.262"
"2022","Total","SINTA","21549.04"
"2023","Cabotaje","SINTA","17230.069"
"2023","Internacional","SINTA","11668.397"
"2023","Total","SINTA","28898.466"
"2024","Cabotaje","SINTA","15840.106"
"2024","Internacional","SINTA","13311.576"
"2024","Total","SINTA","29151.682"
