"geocodigoFundar","geonombreFundar","balanza","gdp_current_prices","ratio_balanza_pib"
"RWA","Ruanda","749998657.428326","86592909064.1363","0.8661201771993"
"PYF","Polinesia Francesa","336225283.95638","41245629345.1706","0.81517796987076"
"DJI","Djibouti","205322480.056099","25713662136.1572","0.798495675057444"
"TGO","Togo","451974601.66617","59563859761.5225","0.758806772220192"
"POL","Polonia","34893000000","4998809355373.21","0.698026220233696"
"AUS","Australia","81072634989.5635","11657017888526.1","0.695483491274062"
"ECU","Ecuador","5877573661.12367","855945188000","0.68667640679857"
"TTO","Trinidad y Tobago","1224535986.72951","198837651483.696","0.615847138402721"
"EST","Estonia","1586676026.24016","263819497160.2","0.601424854235348"
"HND","Honduras","1122243862.80196","211126945094.304","0.531549330333318"
"HKG","Hong Kong","14674564691.7564","2840329843606.32","0.516650019531688"
"GHA","Ghana","2698437626.74983","552409019556.665","0.488485439451271"
"LVA","Letonia","1308730112.74215","274687413269.607","0.476443422421261"
"FRA","Francia","94150468041.2767","22026139348069.7","0.427448798690759"
"CZE","Chequia","8725119990.90549","2115632282755.3","0.412411932925428"
"ETH","Etiopía","3395581515.3219","845639684374.214","0.401539991330313"
"JPN","Japón","151836198276.1","38644503230278.9","0.392905033275554"
"COL","Colombia","9960623959.0611","2549513586823.9","0.390687227969227"
"GTM","Guatemala","2156355670","652486875898.589","0.33048261193458"
"AZE","Azerbaiyán","1378518000","422702388404.315","0.326120229697271"
"IDN","Indonesia","27813827803.9268","9044679465946.75","0.307515903782394"
"GUY","Guyana","182756733.481482","64582785930.4261","0.282980566490833"
"USA","Estados Unidos","446829000000","179376391000000","0.24910134355418"
"PER","Perú","3866340513.58092","1795705083542.46","0.215310439838687"
"MOZ","Mozambique","237737408.27602","126105035097.019","0.188523327473099"
"PRY","Paraguay","481943633.157803","313529868775.246","0.1537153812619"
"SAU","Arabia Saudita","9208777066.11383","6850724800000","0.134420478634813"
"MLI","Malí","187637099.918911","139959852856.096","0.13406494511811"
"LTU","Lituania","554116477.100206","475384496586.003","0.116561747612642"
"IND","India","19235888874.4759","23247951419982.6","0.0827422964155963"
"YEM","Yemen","51118700.7175703","79766214555.7547","0.0640856545622327"
"NER","Níger","60235631.2812772","108223507963.553","0.0556585462943623"
"TJK","Tayikistán","32109907.695965","70440528655.5549","0.0455844217935647"
"BFA","Burkina Faso","48265470.7778304","135430561737.367","0.0356385369436989"
"GIN","Guinea","37044411.8666308","117488187120.82","0.0315303289415266"
"LAO","Laos","37632411.7434664","138986754522.651","0.0270762576424744"
"NCL","Nueva Caledonia","5626619.63392001","66419973095.2416","0.00847127659303901"
"CIV","Costa de Marfil","29083288.4033079","504696596323.243","0.00576252913437144"
"CHL","Chile","-23957144.3349609","2306848790857.84","-0.00103852252604958"
"SLE","Sierra Leona","-7494331.7853165","52160004483.6201","-0.0143679661447689"
"CAN","Canadá","-7515491644.72534","14613425957894.8","-0.0514286770698364"
"CHE","Suiza","-4760841120.19464","6088809269848.92","-0.078190018921594"
"SVK","Eslovaquia","-748599239.374329","875942246524.951","-0.0854621685783715"
"LBR","Liberia","-38838112.8894576","28461697100","-0.136457473892017"
"COD","Rep. Dem. Congo","-697854271.400682","410728385503.424","-0.169906511463855"
"CMR","Camerún","-582068742.930174","328947989374.261","-0.176948563825366"
"BGD","Bangladesh","-5326468993.6719","2919349479568.6","-0.182453968973218"
"BLR","Belarús","-943889634.83","503568209354.453","-0.18744027468295"
"DZA","Argelia","-3324298438.238","1583028120347.27","-0.209996170978236"
"BOL","Bolivia","-691823512.667317","318812375526.636","-0.217000206320258"
"MRT","Mauritania","-147645164.276443","66260163792.2737","-0.222826440241397"
"NLD","Países Bajos","-17777733793.9143","7691969180606.57","-0.231120710139304"
"AFG","Afganistán","-344165713.176008","139668916055.889","-0.246415396420982"
"ZWE","Zimbabwe","-712568202.58545","253626389549.555","-0.280951916656221"
"COG","Congo","-306391778.557842","108948802910.833","-0.281225465881073"
"SRB","Serbia","-1474442782.75556","465024671789.093","-0.317067646557961"
"PAK","Pakistán","-10657000000","2691618028794.67","-0.395932851020926"
"DNK","Dinamarca","-11622805113.1917","2917534014244.22","-0.398377707215955"
"KAZ","Kazajstán","-6554093377.51601","1521424113682.44","-0.430786742406266"
"PNG","Papúa Nueva Guinea","-897502119.114298","204696364898.491","-0.438455328485862"
"FIN","Finlandia","-9582047422.9926","2173505413089.67","-0.440856846515582"
"IRL","Irlanda","-16717743889.4528","3524678745720.11","-0.474305464285293"
"BRA","Brasil","-82136697862.23","14921774791461","-0.550448582759959"
"ARG","Argentina","-27320073315.0935","4324905231424.97","-0.63169183723575"
"ISR","Israel","-22511100000","3393035069301.62","-0.663450260319101"
"GBR","Reino Unido","-161914349909.989","23427000560993.4","-0.691144175663617"
"OMN","Omán","-5049043048.96643","719540182054.616","-0.70170411255548"
"SWZ","Eswatini","-248302284.690289","35379426590.5237","-0.701826763797232"
"KOR","Corea del Sur","-103170400000","13349004741473","-0.772869603375507"
"SWE","Suecia","-34853632156.9897","4480974652380.17","-0.777813642361857"
"PHL","Filipinas","-23437431554.7574","2968111286274.04","-0.789641266590754"
"SLB","Islas Salomón","-100248562.051777","12342533648.5534","-0.812220285609889"
"MWI","Malawi","-791582274.944037","87073163165.0469","-0.909100170673248"
"BDI","Burundi","-201819750.46921","22018139274.0902","-0.916606748448997"
"ROU","Rumania","-20768326616.4719","2076326114458.2","-1.00024396321245"
"AGO","Angola","-5848994803.14014","581031515734.469","-1.00665706502109"
"NPL","Nepal","-3080482427.91425","273242918023.09","-1.12737868933677"
"RUS","Rusia","-173189007362.285","13825348391917","-1.25269181255164"
"NGA","Nigeria","-42979429863.8113","3390933865936.54","-1.26748062814079"
"CHN","China","-1581430660912.74","119903450823394","-1.31892005613919"
"SGP","Singapur","-42427617629.4067","3199607438268.52","-1.32602572184188"
"DEU","Alemania","-452340746181.789","32287833117421.3","-1.40096346675468"
"UZB","Uzbekistán","-9271040810.36506","617302071508.529","-1.50186452277878"
"SUR","Suriname","-463391396.022745","28187820695.799","-1.64394190321995"
"NOR","Noruega","-66761903168.7733","3571272483383.38","-1.86941499085849"
"TLS","Timor-Leste","-366212180.310574","17889901800","-2.04703292619848"
"BEL","Bélgica","-92503059290.5052","4420955679091.8","-2.09237698826033"
"BRN","Brunei","-2413062022.96555","108386703553.516","-2.2263450624957"
"IRQ","Iraq","-47748604000","1743038650967.67","-2.73938870910818"
"QAT","Qatar","-42414560439.5605","1445393033539.89","-2.93446553673249"
"GNB","Guinea-Bissau","-417418859.679432","13202978762.6604","-3.16155064082919"
"LBY","Libia","-15773900000","433425094109.093","-3.63936011421381"
"MNG","Mongolia","-4649183733.72384","116117668402.519","-4.00385556968605"
"MHL","Islas Marshall","-78306566.3253248","1881800000","-4.1612587057777"
"KIR","Kiribati","-95332883.2426289","1942357139.20939","-4.90810270254587"
"UKR","Ucrania","-80913000000","1187350634559.26","-6.81458346380001"
"NRU","Nauru","-94911690.3818834","1072964391.15193","-8.84574466446054"
"TUV","Tuvalu","-37589775.3945748","422333411.719257","-8.90049765221092"
"KWT","Kuwait","-101590505126.863","1116746780810.78","-9.09700451995989"
"LSO","Lesotho","-2597402767.89617","18306593178.4626","-14.1883459285694"
