"anio","region","expo_turisticas"
2001,"Américas","126.175822800655"
2001,"Asia","79.1568492751158"
2001,"Europa","197.888008700377"
2001,"Oceanía","12.4936150960397"
2001,"África","14.4270126234238"
2002,"Américas","118.814356800226"
2002,"Asia","92.6362423377436"
2002,"Europa","220.370757925417"
2002,"Oceanía","14.8957825897264"
2002,"África","15.008882287373"
2003,"Américas","119.036695854651"
2003,"Asia","99.8619277361835"
2003,"Europa","254.892306152024"
2003,"Oceanía","18.9617253665414"
2003,"África","19.9778581319104"
2004,"Américas","134.517564787873"
2004,"Asia","129.296083068975"
2004,"Europa","294.509745321135"
2004,"Oceanía","22.8849992382607"
2004,"África","24.3625733248028"
2005,"Américas","147.541495642063"
2005,"Asia","146.899492328098"
2005,"Europa","329.167606326367"
2005,"Oceanía","24.6429821163693"
2005,"África","28.7276257446258"
2006,"Américas","155.45121798685"
2006,"Asia","159.079925490689"
2006,"Europa","362.044006142352"
2006,"Oceanía","27.0182106146795"
2006,"África","32.4542708664184"
2007,"Américas","172.699755633418"
2007,"Asia","189.296952427908"
2007,"Europa","417.013700500177"
2007,"Oceanía","33.2237840099302"
2007,"África","38.3795361104562"
2008,"Américas","186.937295878401"
2008,"Asia","215.0785810953"
2008,"Europa","459.362906892845"
2008,"Oceanía","36.9464085464952"
2008,"África","40.5682032786351"
2009,"Américas","174.697214270997"
2009,"Asia","211.336157125011"
2009,"Europa","397.950044023045"
2009,"Oceanía","35.4608643968269"
2009,"África","38.7449201123057"
2010,"Américas","199.474134548193"
2010,"Asia","257.269401791671"
2010,"Europa","390.307698746402"
2010,"Oceanía","40.9209033383202"
2010,"África","42.239482808486"
2011,"Américas","217.826722568647"
2011,"Asia","293.063847614876"
2011,"Europa","447.567652583799"
2011,"Oceanía","45.1255811533529"
2011,"África","40.2929882723395"
2012,"Américas","237.042006492422"
2012,"Asia","326.747275686611"
2012,"Europa","427.67821002586"
2012,"Oceanía","44.5680357633416"
2012,"África","43.0848333805647"
2013,"Américas","258.349182638883"
2013,"Asia","361.725986393289"
2013,"Europa","470.800511655116"
2013,"Oceanía","44.2534658214311"
2013,"África","39.2756768411855"
2014,"Américas","274.320342378009"
2014,"Asia","367.03656238416"
2014,"Europa","491.34300668263"
2014,"Oceanía","46.5822189207201"
2014,"África","42.3882636697236"
2015,"Américas","288.637791787036"
2015,"Asia","358.645945862562"
2015,"Europa","428.59958603236"
2015,"Oceanía","45.7654513555745"
2015,"África","36.9518869847275"
2016,"Américas","297.057961844997"
2016,"Asia","367.10772672582"
2016,"Europa","436.973302809474"
2016,"Oceanía","48.9385549722074"
2016,"África","34.3422556201825"
2017,"Américas","307.667573258365"
2017,"Asia","394.709350455957"
2017,"Europa","490.843735429687"
2017,"Oceanía","53.9643075386533"
2017,"África","43.7010990242333"
2018,"Américas","316.873724240701"
2018,"Asia","438.855936425748"
2018,"Europa","532.038658787739"
2018,"Oceanía","57.7246929720639"
2018,"África","50.3243397275278"
2019,"Américas","319.849121138892"
2019,"Asia","453.851475657188"
2019,"Europa","534.553145481587"
2019,"Oceanía","57.745473920056"
2019,"África","51.9785422698871"
2020,"Américas","119.49209565163"
2020,"Asia","122.748721424161"
2020,"Europa","237.15212227637"
2020,"Oceanía","31.6835434275087"
2020,"África","19.7953855289254"
2021,"Américas","136.841124043729"
2021,"Asia","124.722895823557"
2021,"Europa","302.399208671198"
2021,"Oceanía","19.9903709335341"
2021,"África","27.0425388814063"
2022,"Américas","264.613784435062"
2022,"Asia","240.392258468932"
2022,"Europa","493.898228031377"
2022,"Oceanía","28.7962424962303"
2022,"África","46.4446432982701"
2023,"Américas","342.785115704075"
2023,"Asia","474.281847070046"
2023,"Europa","596.58997553561"
2023,"Oceanía","54.3693398461892"
2023,"África","52.5504270634339"
2024,"Américas","373.820374434919"
2024,"Asia","556.190353464538"
2024,"Europa","649.6389145362"
2024,"Oceanía","62.1066242449863"
2024,"África","54.9053106489654"
