"anio","grupo_edad","poblacion","share"
"1978","menores de 20","10384393","38.5817686864546"
"1979","20 a 64","14683590","53.6896189736894"
"1979","65 y más","2081918","7.612401609856"
"1979","menores de 20","10583522","38.6979794164546"
"1980","20 a 64","14866466","53.4981265806751"
"1980","65 y más","2141882","7.70772787270825"
"1980","menores de 20","10780412","38.7941455466167"
"1981","20 a 64","15057971","53.3319404714095"
"1981","65 y más","2197797","7.78410177388723"
"1981","menores de 20","10978665","38.8839577547033"
"1982","20 a 64","15258906","53.1789916770305"
"1982","65 y más","2256968","7.8657855607292"
"1982","menores de 20","11177611","38.9552227622403"
"1983","20 a 64","15473882","53.0744703539745"
"1983","65 y más","2309128","7.92016803408042"
"1983","menores de 20","11372028","39.0053616119451"
"1984","20 a 64","15702042","52.9979756056054"
"1984","65 y más","2361805","7.97163093661301"
"1984","menores de 20","11563779","39.0303934577816"
"1985","20 a 64","15927983","52.9194187363116"
"1985","65 y más","2414006","8.02033718556635"
"1985","menores de 20","11756571","39.060244078122"
"1986","20 a 64","16146393","52.8103077088777"
"1986","65 y más","2477483","8.1031496987292"
"1986","menores de 20","11950445","39.0865425923931"
"1987","20 a 64","16356437","52.6783483698474"
"1987","65 y más","2545925","8.19953172402423"
"1987","menores de 20","12147277","39.1221199061284"
"1988","20 a 64","16573888","52.5589806824938"
"1988","65 y más","2619692","8.30754625722604"
"1988","menores de 20","12340304","39.1334730602802"
"1989","20 a 64","16797195","52.4466874698303"
"1989","65 y más","2698288","8.42499402070366"
"1989","menores de 20","12531697","39.128318509466"
"1990","20 a 64","17022746","52.3539741205182"
"1990","65 y más","2781010","8.55308101107203"
"1990","menores de 20","12710960","39.0929448684097"
"1991","20 a 64","17248754","52.2735674295603"
"1991","65 y más","2859950","8.66728049864767"
"1991","menores de 20","12888382","39.059152071792"
"1992","20 a 64","17468031","52.2002478999359"
"1992","65 y más","2946912","8.80634668780333"
"1992","menores de 20","13048559","38.9934054122608"
"1993","20 a 64","17691915","52.1523055088009"
"1993","65 y más","3033116","8.94103279806806"
"1993","menores de 20","13198522","38.906661693131"
"1994","20 a 64","17928427","52.144987417791"
"1994","65 y más","3116324","9.06385572865707"
"1994","menores de 20","13337129","38.7911568535519"
"1995","20 a 64","18183942","52.1850717445146"
"1995","65 y más","3201465","9.18770422346004"
"1995","menores de 20","13459696","38.6272240320254"
"1996","20 a 64","18455044","52.288077465615"
"1996","65 y más","3279614","9.29202395233061"
"1996","menores de 20","13560279","38.4198985820544"
"1997","20 a 64","18743002","52.4534369800973"
"1997","65 y más","3355950","9.39183124631569"
"1997","menores de 20","13633696","38.154731773587"
"1998","20 a 64","19048645","52.6744994564186"
"1998","65 y más","3431827","9.48990174608339"
"1998","menores de 20","13682463","37.835598797498"
"1999","20 a 64","19363274","52.9300161264376"
"1999","65 y más","3497802","9.56133328832127"
"1999","menores de 20","13721709","37.5086505852411"
"2000","20 a 64","19681407","53.1835352843612"
"2000","65 y más","3562968","9.62793129297361"
"2000","menores de 20","13762204","37.1885334226652"
"2001","20 a 64","19997066","53.4375300713717"
"2001","65 y más","3626608","9.69127041222334"
"2001","menores de 20","13797715","36.8711995164049"
"2002","20 a 64","20309183","53.6878564497624"
"2002","65 y más","3691658","9.75899447878414"
