"anio","rango_etario","sexo","poblacion","share"
"2001","60-64","V","597259","1.64715074104809"
"2001","65-69","V","499544","1.37766742700592"
"2001","70-74","V","422426","1.16498754968612"
"2001","75-79","V","289055","0.797170335572432"
"2001","80-84","V","152255","0.419896453763404"
"2001","85+","V","93612","0.258167855437915"
"2010","00-04","M","1639680","4.08723502817851"
"2010","10-14","M","1724074","4.29760419348399"
"2010","15-19","M","1757006","4.37969388412362"
"2010","20-24","M","1651693","4.11717986765543"
"2010","25-29","M","1578403","3.93448967492562"
"2010","30-34","M","1575371","3.92693179984912"
"2010","35-39","M","1366907","3.40729299049961"
"2010","40-44","M","1184888","2.95357370832625"
"2010","45-49","M","1128882","2.81396739185708"
"2010","05-09","M","1663467","4.14652895114841"
"2010","50-54","M","1056797","2.63428090607555"
"2010","55-59","M","975380","2.43133251718918"
"2010","60-64","M","860276","2.14441244700264"
"2010","65-69","M","704492","1.75608922440448"
"2010","70-74","M","577459","1.43943370178141"
"2010","75-79","M","480179","1.19694356740079"
"2010","80-84","M","365173","0.910267782094696"
"2010","85+","M","303203","0.75579498575869"
"2010","00-04","V","1697972","4.23253966338939"
"2010","10-14","V","1779372","4.43544567632712"
"2010","15-19","V","1785061","4.44962666290701"
"2010","20-24","V","1648456","4.10911098849229"
"2010","25-29","V","1552106","3.868939067773"
"2010","30-34","V","1523342","3.79723896266071"
"2010","35-39","V","1311528","3.26924959872469"
"2010","40-44","V","1125887","2.80650174678646"
"2010","45-49","V","1067468","2.66088053831215"
"2010","05-09","V","1717752","4.28184532599269"
"2010","50-54","V","986196","2.45829359134071"
"2010","55-59","V","893570","2.22740449607818"
"2010","60-64","V","760914","1.89673250526409"
"2010","65-69","V","588569","1.46712763057426"
"2010","70-74","V","438438","1.09289565725296"
"2010","75-79","V","321481","0.801356608663798"
"2010","80-84","V","200744","0.500395143257628"
"2010","85+","V","124910","0.311363514447805"
"2022","00-04","M","1402857","3.07517383134278"
"2022","10-14","M","1786201","3.91549428966623"
"2022","15-19","M","1764602","3.86814756823762"
"2022","20-24","M","1775436","3.89189655568878"
"2022","25-29","M","1820852","3.99145203049787"
"2022","30-34","M","1784888","3.91261608950716"
"2022","35-39","M","1689906","3.70440801067332"
"2022","40-44","M","1711533","3.75181611032314"
"2022","45-49","M","1486233","3.25794063748341"
"2022","05-09","M","1772183","3.88476572163131"
"2022","50-54","M","1278561","2.80270713905655"
"2022","55-59","M","1155449","2.53283586869594"
"2022","60-64","M","1054462","2.31146435349103"
"2022","65-69","M","941658","2.06418903685449"
"2022","70-74","M","793035","1.73839563072994"
"2022","75-79","M","602502","1.32073217992403"
"2022","80-84","M","404175","0.885983662827335"
"2022","85+","M","383373","0.840384028623997"
"2022","00-04","V","1440893","3.15855176070333"
"2022","10-14","V","1842705","4.03935554007607"
"2022","15-19","V","1794417","3.93350441343388"
"2022","20-24","V","1735025","3.80331243792168"
"2022","25-29","V","1729539","3.7912866907224"
"2022","30-34","V","1684646","3.69287767340241"
"2022","35-39","V","1598863","3.5048345323167"
"2022","40-44","V","1603622","3.51526663784375"
"2022","45-49","V","1376718","3.01787506976018"
"2022","05-09","V","1824234","3.99886564278879"
"2022","50-54","V","1169613","2.5638844803129"
"2022","55-59","V","1038682","2.27687334167829"
"2022","60-64","V","923244","2.02382408808897"
"2022","65-69","V","790896","1.73370677304506"
"2022","70-74","V","622529","1.36463295264734"
"2022","75-79","V","419408","0.919375607247076"
"2022","80-84","V","241330","0.529014504484742"
"2022","85+","V","174517","0.382555108271511"
