"geocodigoFundar","anio","geonombreFundar","region","variable","valor"
"MHL","2023","Islas Marshall","Oceanía","PIB per cápita PPP (en dólares internacionales constantes de 2021)","6786.69569336005"
"MHL","2023","Islas Marshall","Oceanía","Gasto público consolidado como porcentaje del PIB","65.988831676187"
"MEX","2023","México","América central","PIB per cápita PPP (en dólares internacionales constantes de 2021)","21880.3277706628"
"MEX","2023","México","América central","Gasto público consolidado como porcentaje del PIB","28.671539964682"
"FSM","2023","Micronesia","Oceanía","PIB per cápita PPP (en dólares internacionales constantes de 2021)","3886.69657098366"
"FSM","2023","Micronesia","Oceanía","Gasto público consolidado como porcentaje del PIB","57.857325090448"
"MDA","2023","Moldavia","Europa","PIB per cápita PPP (en dólares internacionales constantes de 2021)","15855.2737421842"
"MDA","2023","Moldavia","Europa","Gasto público consolidado como porcentaje del PIB","39.242150021272"
"MNG","2023","Mongolia","Asia","PIB per cápita PPP (en dólares internacionales constantes de 2021)","16222.8638898529"
"MNG","2023","Mongolia","Asia","Gasto público consolidado como porcentaje del PIB","31.888015334199"
"MAR","2023","Marruecos","África","PIB per cápita PPP (en dólares internacionales constantes de 2021)","8868.7119140625"
"MAR","2023","Marruecos","África","Gasto público consolidado como porcentaje del PIB","32.766894051622"
"MOZ","2023","Mozambique","África","PIB per cápita PPP (en dólares internacionales constantes de 2021)","1511.63653474992"
"MOZ","2023","Mozambique","África","Gasto público consolidado como porcentaje del PIB","33.156106709209"
"MMR","2023","Myanmar","Asia","PIB per cápita PPP (en dólares internacionales constantes de 2021)","5364.13797034407"
"MMR","2023","Myanmar","Asia","Gasto público consolidado como porcentaje del PIB","23.373367613846"
"NAM","2023","Namibia","África","PIB per cápita PPP (en dólares internacionales constantes de 2021)","10105.5147732431"
"NAM","2023","Namibia","África","Gasto público consolidado como porcentaje del PIB","36.827482196693"
"NLD","2023","Países Bajos","Europa","PIB per cápita PPP (en dólares internacionales constantes de 2021)","70673.9689450138"
"NLD","2023","Países Bajos","Europa","Gasto público consolidado como porcentaje del PIB","43.201333084801"
"NZL","2023","Nueva Zelanda","Oceanía","PIB per cápita PPP (en dólares internacionales constantes de 2021)","48562.7047163743"
"NZL","2023","Nueva Zelanda","Oceanía","Gasto público consolidado como porcentaje del PIB","41.391821227648"
"NIC","2023","Nicaragua","América central","PIB per cápita PPP (en dólares internacionales constantes de 2021)","7486.94276222499"
"NIC","2023","Nicaragua","América central","Gasto público consolidado como porcentaje del PIB","26.419924890144"
"NER","2023","Níger","África","PIB per cápita PPP (en dólares internacionales constantes de 2021)","1703.39693250647"
"NER","2023","Níger","África","Gasto público consolidado como porcentaje del PIB","15.803817312147"
"NGA","2023","Nigeria","África","PIB per cápita PPP (en dólares internacionales constantes de 2021)","5593.05661448231"
"NGA","2023","Nigeria","África","Gasto público consolidado como porcentaje del PIB","13.565153575064"
"MKD","2023","Macedonia del Norte","Europa","PIB per cápita PPP (en dólares internacionales constantes de 2021)","23345.0612633542"
"MKD","2023","Macedonia del Norte","Europa","Gasto público consolidado como porcentaje del PIB","37.89697180871"
"NOR","2023","Noruega","Europa","PIB per cápita PPP (en dólares internacionales constantes de 2021)","90241.6304492935"
"NOR","2023","Noruega","Europa","Gasto público consolidado como porcentaje del PIB","45.667171435483"
"OMN","2023","Omán","Asia","PIB per cápita PPP (en dólares internacionales constantes de 2021)","38311.4183413339"
"OMN","2023","Omán","Asia","Gasto público consolidado como porcentaje del PIB","26.732221165223"
"PAK","2023","Pakistán","Asia","PIB per cápita PPP (en dólares internacionales constantes de 2021)","5439.18762006677"
"PAK","2023","Pakistán","Asia","Gasto público consolidado como porcentaje del PIB","19.238865067763"
"PAN","2023","Panamá","América central","PIB per cápita PPP (en dólares internacionales constantes de 2021)","35863.880148831"
"PAN","2023","Panamá","América central","Gasto público consolidado como porcentaje del PIB","21.078755693368"
"PNG","2023","Papúa Nueva Guinea","Oceanía","PIB per cápita PPP (en dólares internacionales constantes de 2021)","4174.44164016586"
"PNG","2023","Papúa Nueva Guinea","Oceanía","Gasto público consolidado como porcentaje del PIB","22.110135361804"
"PRY","2023","Paraguay","América del Sur","PIB per cápita PPP (en dólares internacionales constantes de 2021)","15783.1150120746"
"PRY","2023","Paraguay","América del Sur","Gasto público consolidado como porcentaje del PIB","21.557359082861"
"PER","2023","Perú","América del Sur","PIB per cápita PPP (en dólares internacionales constantes de 2021)","15294.2567811201"
"PER","2023","Perú","América del Sur","Gasto público consolidado como porcentaje del PIB","22.480868775094"
"PHL","2023","Filipinas","Asia","PIB per cápita PPP (en dólares internacionales constantes de 2021)","9901.05652395692"
"PHL","2023","Filipinas","Asia","Gasto público consolidado como porcentaje del PIB","24.65388977301"
"POL","2023","Polonia","Europa","PIB per cápita PPP (en dólares internacionales constantes de 2021)","43624.5074099548"
"POL","2023","Polonia","Europa","Gasto público consolidado como porcentaje del PIB","46.746897081686"
"PRT","2023","Portugal","Europa","PIB per cápita PPP (en dólares internacionales constantes de 2021)","41535.8364332382"
"PRT","2023","Portugal","Europa","Gasto público consolidado como porcentaje del PIB","42.341764428961"
"QAT","2023","Qatar","Asia","PIB per cápita PPP (en dólares internacionales constantes de 2021)","116159.142559471"
"QAT","2023","Qatar","Asia","Gasto público consolidado como porcentaje del PIB","27.265774230619"
"ROU","2023","Rumania","Europa","PIB per cápita PPP (en dólares internacionales constantes de 2021)","40303.8343457308"
"ROU","2023","Rumania","Europa","Gasto público consolidado como porcentaje del PIB","36.616917944456"
"RUS","2023","Rusia","Europa","PIB per cápita PPP (en dólares internacionales constantes de 2021)","39753.45703125"
"RUS","2023","Rusia","Europa","Gasto público consolidado como porcentaje del PIB","36.528725844442"
"RWA","2023","Ruanda","África","PIB per cápita PPP (en dólares internacionales constantes de 2021)","3060.02893126731"
"RWA","2023","Ruanda","África","Gasto público consolidado como porcentaje del PIB","27.470031440609"
"SAU","2023","Arabia Saudita","Asia","PIB per cápita PPP (en dólares internacionales constantes de 2021)","55055.3996823571"
"SAU","2023","Arabia Saudita","Asia","Gasto público consolidado como porcentaje del PIB","32.303134683091"
"SEN","2023","Senegal","África","PIB per cápita PPP (en dólares internacionales constantes de 2021)","4317.2263915953"
"SEN","2023","Senegal","África","Gasto público consolidado como porcentaje del PIB","25.719867618268"
"SYC","2023","Seychelles","África","PIB per cápita PPP (en dólares internacionales constantes de 2021)","29468.9512755913"
"SYC","2023","Seychelles","África","Gasto público consolidado como porcentaje del PIB","33.57272840869"
"SVK","2023","Eslovaquia","Europa","PIB per cápita PPP (en dólares internacionales constantes de 2021)","39207.1817838701"
"SVK","2023","Eslovaquia","Europa","Gasto público consolidado como porcentaje del PIB","47.9206140733"
"SVN","2023","Eslovenia","Europa","PIB per cápita PPP (en dólares internacionales constantes de 2021)","47868.3858574849"
"SVN","2023","Eslovenia","Europa","Gasto público consolidado como porcentaje del PIB","46.478252167278"
"SLB","2023","Islas Salomón","Oceanía","PIB per cápita PPP (en dólares internacionales constantes de 2021)","2534.02756338361"
"SLB","2023","Islas Salomón","Oceanía","Gasto público consolidado como porcentaje del PIB","32.22049722133"
"ZAF","2023","Sudáfrica","África","PIB per cápita PPP (en dólares internacionales constantes de 2021)","13690.3894584515"
"ZAF","2023","Sudáfrica","África","Gasto público consolidado como porcentaje del PIB","32.620839319258"
"ESP","2023","España","Europa","PIB per cápita PPP (en dólares internacionales constantes de 2021)","47341.171810559"
"ESP","2023","España","Europa","Gasto público consolidado como porcentaje del PIB","45.305287774874"
"KNA","2023","Saint Kitts y Nevis","El Caribe","PIB per cápita PPP (en dólares internacionales constantes de 2021)","30409.4041094129"
"KNA","2023","Saint Kitts y Nevis","El Caribe","Gasto público consolidado como porcentaje del PIB","42.111990469607"
"LCA","2023","Santa Lucía","El Caribe","PIB per cápita PPP (en dólares internacionales constantes de 2021)","23403.4617661837"
"LCA","2023","Santa Lucía","El Caribe","Gasto público consolidado como porcentaje del PIB","24.009966128546"
"VCT","2023","San Vicente y las Granadinas","El Caribe","PIB per cápita PPP (en dólares internacionales constantes de 2021)","18335.2120818044"
"VCT","2023","San Vicente y las Granadinas","El Caribe","Gasto público consolidado como porcentaje del PIB","38.010178977979"
"SDN","2023","Sudán","África","PIB per cápita PPP (en dólares internacionales constantes de 2021)","2469.19458007813"
"SDN","2023","Sudán","África","Gasto público consolidado como porcentaje del PIB","8.1901703456852"
"SUR","2023","Suriname","América del Sur","PIB per cápita PPP (en dólares internacionales constantes de 2021)","19043.7052869285"
"SUR","2023","Suriname","América del Sur","Gasto público consolidado como porcentaje del PIB","26.727043625352"
"SWE","2023","Suecia","Europa","PIB per cápita PPP (en dólares internacionales constantes de 2021)","62721.8455255166"
"SWE","2023","Suecia","Europa","Gasto público consolidado como porcentaje del PIB","47.486173213956"
"CHE","2023","Suiza","Europa","PIB per cápita PPP (en dólares internacionales constantes de 2021)","81757.6877903506"
"CHE","2023","Suiza","Europa","Gasto público consolidado como porcentaje del PIB","31.952246809214"
"TJK","2023","Tayikistán","Asia","PIB per cápita PPP (en dólares internacionales constantes de 2021)","4472.3241378777"
"TJK","2023","Tayikistán","Asia","Gasto público consolidado como porcentaje del PIB","31.031912464846"
"TZA","2023","Tanzanía","África","PIB per cápita PPP (en dólares internacionales constantes de 2021)","3620.79345703125"
"TZA","2023","Tanzanía","África","Gasto público consolidado como porcentaje del PIB","18.992673096996"
"THA","2023","Tailandia","Asia","PIB per cápita PPP (en dólares internacionales constantes de 2021)","21142.6643331162"
"THA","2023","Tailandia","Asia","Gasto público consolidado como porcentaje del PIB","22.861373430886"
"TGO","2023","Togo","África","PIB per cápita PPP (en dólares internacionales constantes de 2021)","2767.51655834427"
"TGO","2023","Togo","África","Gasto público consolidado como porcentaje del PIB","26.575493038865"
"TTO","2023","Trinidad y Tobago","El Caribe","PIB per cápita PPP (en dólares internacionales constantes de 2021)","31705.8333833611"
"TTO","2023","Trinidad y Tobago","El Caribe","Gasto público consolidado como porcentaje del PIB","29.380127915827"
"TUN","2023","Túnez","África","PIB per cápita PPP (en dólares internacionales constantes de 2021)","12552.9866903456"
"TUN","2023","Túnez","África","Gasto público consolidado como porcentaje del PIB","35.524214068839"
"TUR","2023","Turquía","Europa","PIB per cápita PPP (en dólares internacionales constantes de 2021)","34282.5365042547"
"TUR","2023","Turquía","Europa","Gasto público consolidado como porcentaje del PIB","33.180196316131"
"UGA","2023","Uganda","África","PIB per cápita PPP (en dólares internacionales constantes de 2021)","2791.05576885861"
"UGA","2023","Uganda","África","Gasto público consolidado como porcentaje del PIB","19.186836098504"
