"anio","codigo","funciones","gasto_publico_social_consolidado"
"2013","1.2.1","Educación, cultura y ciencia y técnica","6.25118861724794"
"2014","1.2.1","Educación, cultura y ciencia y técnica","6.22867239009632"
"2015","1.2.1","Educación, cultura y ciencia y técnica","6.70798068653927"
"2016","1.2.1","Educación, cultura y ciencia y técnica","6.32743775383972"
"2017","1.2.1","Educación, cultura y ciencia y técnica","6.265592364999"
"2018","1.2.1","Educación, cultura y ciencia y técnica","5.60312606185262"
"2019","1.2.1","Educación, cultura y ciencia y técnica","5.42742431060819"
"2020","1.2.1","Educación, cultura y ciencia y técnica","5.76429211369476"
"2021","1.2.1","Educación, cultura y ciencia y técnica","5.2951849703846"
"2022","1.2.1","Educación, cultura y ciencia y técnica","5.41512175734234"
"2023","1.2.1","Educación, cultura y ciencia y técnica","5.84748209879947"
"1980","1.2.2","Salud","3.17787839492139"
"1981","1.2.2","Salud","3.97041038125733"
"1982","1.2.2","Salud","3.08545383558645"
"1983","1.2.2","Salud","3.12447983925697"
"1984","1.2.2","Salud","3.41731986469377"
"1985","1.2.2","Salud","3.49189746892942"
"1986","1.2.2","Salud","4.03581987201119"
"1987","1.2.2","Salud","4.20442880914285"
"1988","1.2.2","Salud","4.06462705543091"
"1989","1.2.2","Salud","3.59079483997364"
"1990","1.2.2","Salud","4.20807445067006"
"1991","1.2.2","Salud","4.35881638052459"
"1992","1.2.2","Salud","4.46422381534302"
"1993","1.2.2","Salud","4.63656178580516"
"1994","1.2.2","Salud","4.86235739675858"
"1995","1.2.2","Salud","4.92847936890591"
"1996","1.2.2","Salud","4.61042762533753"
"1997","1.2.2","Salud","4.52489006190621"
"1998","1.2.2","Salud","4.59347654080092"
"1999","1.2.2","Salud","5.12039198010661"
"2000","1.2.2","Salud","5.08892119226907"
"2001","1.2.2","Salud","5.05314526913837"
"2002","1.2.2","Salud","4.44366418523894"
"2003","1.2.2","Salud","4.25285519703671"
"2004","1.2.2","Salud","3.89027927994449"
"2005","1.2.2","Salud","4.03607014734058"
"2006","1.2.2","Salud","4.07957796808052"
"2007","1.2.2","Salud","4.27964226559629"
"2008","1.2.2","Salud","4.5665438491763"
"2009","1.2.2","Salud","5.79971594963685"
"2010","1.2.2","Salud","5.61421441620302"
"2011","1.2.2","Salud","5.78743531434142"
"2012","1.2.2","Salud","6.20365122431136"
"2013","1.2.2","Salud","6.37704995146888"
"2014","1.2.2","Salud","6.47158753672814"
"2015","1.2.2","Salud","6.85504255040474"
"2016","1.2.2","Salud","6.62517525731765"
"2017","1.2.2","Salud","6.73968797719216"
"2018","1.2.2","Salud","6.15147093156078"
"2019","1.2.2","Salud","6.24529122834208"
"2020","1.2.2","Salud","7.07804485414913"
"2021","1.2.2","Salud","6.52208356373824"
"2022","1.2.2","Salud","6.10890130954247"
"2023","1.2.2","Salud","6.28951145835875"
"1980","1.2.3","Agua potable y alcantarillado","0.239474735227702"
"1981","1.2.3","Agua potable y alcantarillado","0.199911124006597"
"1982","1.2.3","Agua potable y alcantarillado","0.154530503226679"
"1983","1.2.3","Agua potable y alcantarillado","0.148691785537325"
"1984","1.2.3","Agua potable y alcantarillado","0.193250814905607"
"1985","1.2.3","Agua potable y alcantarillado","0.176710920446439"
"1986","1.2.3","Agua potable y alcantarillado","0.184753591590178"
"1987","1.2.3","Agua potable y alcantarillado","0.182900426761901"
"1988","1.2.3","Agua potable y alcantarillado","0.177317312845937"
"1989","1.2.3","Agua potable y alcantarillado","0.135183923786576"
"1990","1.2.3","Agua potable y alcantarillado","0.142864182707566"
"1991","1.2.3","Agua potable y alcantarillado","0.141561575493637"
"1992","1.2.3","Agua potable y alcantarillado","0.139062191135641"
"1993","1.2.3","Agua potable y alcantarillado","0.209342878025638"
"1994","1.2.3","Agua potable y alcantarillado","0.212279608725784"
"1995","1.2.3","Agua potable y alcantarillado","0.241221641919155"
"1996","1.2.3","Agua potable y alcantarillado","0.239706028849186"
"1997","1.2.3","Agua potable y alcantarillado","0.256295957508115"
"1998","1.2.3","Agua potable y alcantarillado","0.239286873114266"
"1999","1.2.3","Agua potable y alcantarillado","0.24478010147938"
"2000","1.2.3","Agua potable y alcantarillado","0.20969506018378"
"2001","1.2.3","Agua potable y alcantarillado","0.204928568839537"
"2002","1.2.3","Agua potable y alcantarillado","0.189656145309625"
"2003","1.2.3","Agua potable y alcantarillado","0.205207273772717"
"2004","1.2.3","Agua potable y alcantarillado","0.208586133602061"
"2005","1.2.3","Agua potable y alcantarillado","0.217161260938343"
"2006","1.2.3","Agua potable y alcantarillado","0.281996567281716"
"2007","1.2.3","Agua potable y alcantarillado","0.349167889701351"
"2008","1.2.3","Agua potable y alcantarillado","0.396276633557117"
"2009","1.2.3","Agua potable y alcantarillado","0.51041174201314"
"2010","1.2.3","Agua potable y alcantarillado","0.520247516453484"
"2011","1.2.3","Agua potable y alcantarillado","0.592376592148648"
"2012","1.2.3","Agua potable y alcantarillado","0.549946802605142"
"2013","1.2.3","Agua potable y alcantarillado","0.534331517041922"
"2014","1.2.3","Agua potable y alcantarillado","0.58727041523471"
"2015","1.2.3","Agua potable y alcantarillado","0.60696002432824"
"2016","1.2.3","Agua potable y alcantarillado","0.519061450410838"
"2017","1.2.3","Agua potable y alcantarillado","0.559556246712745"
"2018","1.2.3","Agua potable y alcantarillado","0.475161680868284"
"2019","1.2.3","Agua potable y alcantarillado","0.382790615139844"
"2020","1.2.3","Agua potable y alcantarillado","0.542350361349046"
"2021","1.2.3","Agua potable y alcantarillado","0.560541625190203"
"2022","1.2.3","Agua potable y alcantarillado","0.593181930983877"
"2023","1.2.3","Agua potable y alcantarillado","0.680249048691894"
"1980","1.2.4","Vivienda y urbanismo","0.781870947180689"
"1981","1.2.4","Vivienda y urbanismo","0.45042808443761"
"1982","1.2.4","Vivienda y urbanismo","0.457841557502353"
"1983","1.2.4","Vivienda y urbanismo","0.670820625208016"
"1984","1.2.4","Vivienda y urbanismo","0.592803290406058"
"1985","1.2.4","Vivienda y urbanismo","0.587898972064111"
"1986","1.2.4","Vivienda y urbanismo","0.743545293331529"
"1987","1.2.4","Vivienda y urbanismo","0.832701230030486"
"1988","1.2.4","Vivienda y urbanismo","0.638761034167565"
"1989","1.2.4","Vivienda y urbanismo","0.5077257058725"
"1990","1.2.4","Vivienda y urbanismo","0.707865536460957"
"1991","1.2.4","Vivienda y urbanismo","0.616686028950599"
"1992","1.2.4","Vivienda y urbanismo","0.456097459366779"
"1993","1.2.4","Vivienda y urbanismo","0.606502059252652"
"1994","1.2.4","Vivienda y urbanismo","0.626202936349295"
"1995","1.2.4","Vivienda y urbanismo","0.540555264751392"
"1996","1.2.4","Vivienda y urbanismo","0.507466889832438"
"1997","1.2.4","Vivienda y urbanismo","0.56251288917691"
"1998","1.2.4","Vivienda y urbanismo","0.600827539286438"
"1999","1.2.4","Vivienda y urbanismo","0.564178882096993"
"2000","1.2.4","Vivienda y urbanismo","0.601709933506054"
"2001","1.2.4","Vivienda y urbanismo","0.744386700271485"
"2002","1.2.4","Vivienda y urbanismo","0.522681063028783"
"2003","1.2.4","Vivienda y urbanismo","0.604258754557556"
"2004","1.2.4","Vivienda y urbanismo","0.647250567943044"
"2005","1.2.4","Vivienda y urbanismo","0.961194144692436"
"2006","1.2.4","Vivienda y urbanismo","1.06852264315432"
"2007","1.2.4","Vivienda y urbanismo","0.975491384268947"
"2008","1.2.4","Vivienda y urbanismo","0.848704456774765"
"2009","1.2.4","Vivienda y urbanismo","1.04292529029562"
"2010","1.2.4","Vivienda y urbanismo","0.935975539257669"
"2011","1.2.4","Vivienda y urbanismo","0.862152709960092"
"2012","1.2.4","Vivienda y urbanismo","0.791920216867545"
"2013","1.2.4","Vivienda y urbanismo","1.0495225387391"
"2014","1.2.4","Vivienda y urbanismo","1.10818676371842"
"2015","1.2.4","Vivienda y urbanismo","1.18827175217238"
"2016","1.2.4","Vivienda y urbanismo","0.941570220296285"
"2017","1.2.4","Vivienda y urbanismo","1.02289401557416"
"2018","1.2.4","Vivienda y urbanismo","0.903323480578039"
"2019","1.2.4","Vivienda y urbanismo","0.850467910254129"
"2020","1.2.4","Vivienda y urbanismo","0.774726269854473"
"2021","1.2.4","Vivienda y urbanismo","1.34486929388104"
"2022","1.2.4","Vivienda y urbanismo","1.01269805167452"
"2023","1.2.4","Vivienda y urbanismo","0.938284251889906"
"1980","1.2.5","Promoción y asistencia social","0.73586362622585"
"1981","1.2.5","Promoción y asistencia social","0.882672549845739"
"1982","1.2.5","Promoción y asistencia social","0.610402124546431"
"1983","1.2.5","Promoción y asistencia social","0.638954729637692"
"1984","1.2.5","Promoción y asistencia social","0.78005609239696"
"1985","1.2.5","Promoción y asistencia social","0.972961819677576"
"1986","1.2.5","Promoción y asistencia social","1.03993060191787"
"1987","1.2.5","Promoción y asistencia social","1.11749490665989"
"1988","1.2.5","Promoción y asistencia social","1.00504061365491"
"1989","1.2.5","Promoción y asistencia social","1.08862737312006"
"1990","1.2.5","Promoción y asistencia social","0.880069647852393"
"1991","1.2.5","Promoción y asistencia social","0.893150058685363"
"1992","1.2.5","Promoción y asistencia social","0.919423378108512"
"1993","1.2.5","Promoción y asistencia social","0.958979821858119"
"1994","1.2.5","Promoción y asistencia social","1.02972270363997"
"1995","1.2.5","Promoción y asistencia social","0.937431408731486"
"1996","1.2.5","Promoción y asistencia social","0.900598753775376"
"1997","1.2.5","Promoción y asistencia social","1.03661519223946"
"1998","1.2.5","Promoción y asistencia social","1.11817080827424"
"1999","1.2.5","Promoción y asistencia social","1.17438563778039"
"2000","1.2.5","Promoción y asistencia social","1.11804848320032"
"2001","1.2.5","Promoción y asistencia social","1.15182075219224"
"2002","1.2.5","Promoción y asistencia social","1.05291776166413"
"2003","1.2.5","Promoción y asistencia social","1.26567135265701"
"2004","1.2.5","Promoción y asistencia social","1.18660466258053"
"2005","1.2.5","Promoción y asistencia social","1.28912330145977"
"2006","1.2.5","Promoción y asistencia social","1.33847349036872"
"2007","1.2.5","Promoción y asistencia social","1.37156183877499"
"2008","1.2.5","Promoción y asistencia social","1.42931560896083"
"2009","1.2.5","Promoción y asistencia social","1.70946875011247"
"2010","1.2.5","Promoción y asistencia social","1.64749450681613"
"2011","1.2.5","Promoción y asistencia social","1.69889259429245"
"2012","1.2.5","Promoción y asistencia social","1.64020530188999"
"2013","1.2.5","Promoción y asistencia social","1.60971818584345"
"2014","1.2.5","Promoción y asistencia social","1.50475948479629"
"2015","1.2.5","Promoción y asistencia social","1.54085040290979"
"2016","1.2.5","Promoción y asistencia social","1.59853047469222"
"2017","1.2.5","Promoción y asistencia social","1.77059440169921"
"2018","1.2.5","Promoción y asistencia social","1.6469854763552"
"2019","1.2.5","Promoción y asistencia social","1.73216004268552"
"2020","1.2.5","Promoción y asistencia social","3.23039945291502"
"2021","1.2.5","Promoción y asistencia social","2.53070600536971"
"2022","1.2.5","Promoción y asistencia social","2.84382193878715"
"2023","1.2.5","Promoción y asistencia social","2.78090332972687"
"1980","1.2.6","Previsión social","5.17820684125518"
"1981","1.2.6","Previsión social","5.3100723712659"
"1982","1.2.6","Previsión social","3.64663646776288"
"1983","1.2.6","Previsión social","3.45745583284585"
"1984","1.2.6","Previsión social","4.04485488715593"
"1985","1.2.6","Previsión social","5.51343967396334"
"1986","1.2.6","Previsión social","6.07269079119632"
"1987","1.2.6","Previsión social","6.85324557697903"
"1988","1.2.6","Previsión social","5.96020575563641"
"1989","1.2.6","Previsión social","7.08307466382017"
"1990","1.2.6","Previsión social","7.93174124068069"
"1991","1.2.6","Previsión social","8.38535422870219"
"1992","1.2.6","Previsión social","8.4515674574607"
"1993","1.2.6","Previsión social","7.88298437759021"
"1994","1.2.6","Previsión social","8.23245015586558"
"1995","1.2.6","Previsión social","8.37800646322159"
"1996","1.2.6","Previsión social","8.00380379924481"
"1997","1.2.6","Previsión social","7.50334502343187"
"1998","1.2.6","Previsión social","7.45287674018885"
"1999","1.2.6","Previsión social","7.89575508986267"
"2000","1.2.6","Previsión social","7.94913233213158"
"2001","1.2.6","Previsión social","8.16520463077484"
"2002","1.2.6","Previsión social","7.09194742235368"
"2003","1.2.6","Previsión social","6.5855647434991"
"2004","1.2.6","Previsión social","5.85120566071794"
"2005","1.2.6","Previsión social","5.61542962424662"
"2006","1.2.6","Previsión social","5.89770146651995"
"2007","1.2.6","Previsión social","7.18765899189452"
"2008","1.2.6","Previsión social","7.45324634302832"
"2009","1.2.6","Previsión social","8.83054647749483"
"2010","1.2.6","Previsión social","8.41209150218818"
"2011","1.2.6","Previsión social","8.69429912387795"
"2012","1.2.6","Previsión social","9.85252065200946"
"2013","1.2.6","Previsión social","10.2788332596299"
"2014","1.2.6","Previsión social","10.1149808678081"
"2015","1.2.6","Previsión social","11.1386578428515"
"2016","1.2.6","Previsión social","11.266580224456"
"2017","1.2.6","Previsión social","11.7874932566281"
"2018","1.2.6","Previsión social","10.9525048534301"
"2019","1.2.6","Previsión social","10.9188354782771"
"2020","1.2.6","Previsión social","12.1348711968218"
"2021","1.2.6","Previsión social","10.2521426594551"
"2022","1.2.6","Previsión social","10.0249198460687"
"2023","1.2.6","Previsión social","9.79877955508495"
"1980","1.2.7","Trabajo","0.796498742979294"
"1981","1.2.7","Trabajo","0.528008242939717"
"1982","1.2.7","Trabajo","0.352919533908064"
"1983","1.2.7","Trabajo","0.461280301927028"
"1984","1.2.7","Trabajo","0.403952394934063"
"1985","1.2.7","Trabajo","0.462104627327002"
"1986","1.2.7","Trabajo","0.709957896813974"
"1987","1.2.7","Trabajo","0.61455326232001"
"1988","1.2.7","Trabajo","0.364419721481404"
"1989","1.2.7","Trabajo","0.373765673802698"
"1990","1.2.7","Trabajo","0.394175834196158"
"1991","1.2.7","Trabajo","0.687316029945635"
"1992","1.2.7","Trabajo","0.629262384293406"
"1993","1.2.7","Trabajo","0.84421819552137"
"1994","1.2.7","Trabajo","0.907798644729002"
"1995","1.2.7","Trabajo","0.965522700800406"
"1996","1.2.7","Trabajo","0.909724515806024"
"1997","1.2.7","Trabajo","0.861622896477692"
"1998","1.2.7","Trabajo","0.864104796729125"
"1999","1.2.7","Trabajo","0.971483713834001"
"2000","1.2.7","Trabajo","0.957710263718914"
"2001","1.2.7","Trabajo","1.08267529679223"
"2002","1.2.7","Trabajo","1.54524636583077"
"2003","1.2.7","Trabajo","1.73650095728937"
"2004","1.2.7","Trabajo","1.37962233703447"
"2005","1.2.7","Trabajo","1.24967081379367"
"2006","1.2.7","Trabajo","1.0703577537465"
"2007","1.2.7","Trabajo","0.967680837449133"
"2008","1.2.7","Trabajo","0.927663366398953"
"2009","1.2.7","Trabajo","1.08746313857593"
"2010","1.2.7","Trabajo","1.19406908743397"
"2011","1.2.7","Trabajo","1.18888539881858"
"2012","1.2.7","Trabajo","1.11903822010598"
"2013","1.2.7","Trabajo","1.18720699597167"
"2014","1.2.7","Trabajo","1.18799790800918"
"2015","1.2.7","Trabajo","1.26049345514559"
"2016","1.2.7","Trabajo","1.44677782050803"
"2017","1.2.7","Trabajo","1.49558457687003"
"2018","1.2.7","Trabajo","1.38441895222525"
"2019","1.2.7","Trabajo","1.36113468360765"
"2020","1.2.7","Trabajo","2.33376730900453"
"2021","1.2.7","Trabajo","1.55140912549915"
"2022","1.2.7","Trabajo","1.22615853185902"
"2023","1.2.7","Trabajo","0.917120298966068"
"1980","1.2.8","Otros servicios urbanos","0.607884128050547"
"1981","1.2.8","Otros servicios urbanos","0.626700686065961"
"1982","1.2.8","Otros servicios urbanos","0.403470278974099"
"1983","1.2.8","Otros servicios urbanos","0.449462037220989"
"1984","1.2.8","Otros servicios urbanos","0.457362174219519"
"1985","1.2.8","Otros servicios urbanos","0.613467213368809"
"1986","1.2.8","Otros servicios urbanos","0.734233369566506"
"1987","1.2.8","Otros servicios urbanos","0.800108900285913"
"1988","1.2.8","Otros servicios urbanos","0.711549886908722"
"1989","1.2.8","Otros servicios urbanos","0.64302165749272"
"1990","1.2.8","Otros servicios urbanos","0.788792214954466"
"1991","1.2.8","Otros servicios urbanos","0.918132401994428"
"1992","1.2.8","Otros servicios urbanos","0.93996025115321"
"1993","1.2.8","Otros servicios urbanos","1.06140263696789"
"1994","1.2.8","Otros servicios urbanos","0.99672033324937"
"1995","1.2.8","Otros servicios urbanos","0.894869647537242"
"1996","1.2.8","Otros servicios urbanos","0.805970978704528"
"1997","1.2.8","Otros servicios urbanos","0.764905921837046"
"1998","1.2.8","Otros servicios urbanos","0.862372523629254"
"1999","1.2.8","Otros servicios urbanos","0.9167270035877"
"2000","1.2.8","Otros servicios urbanos","0.804333266329762"
"2001","1.2.8","Otros servicios urbanos","0.792274987016127"
"2002","1.2.8","Otros servicios urbanos","0.632561205521211"
"2003","1.2.8","Otros servicios urbanos","0.647464540718078"
"2004","1.2.8","Otros servicios urbanos","0.640234282925474"
"2005","1.2.8","Otros servicios urbanos","0.687422388874607"
"2006","1.2.8","Otros servicios urbanos","0.718497583195287"
"2007","1.2.8","Otros servicios urbanos","0.751516014441846"
"2008","1.2.8","Otros servicios urbanos","0.773339344538262"
"2009","1.2.8","Otros servicios urbanos","0.832600537187116"
"2010","1.2.8","Otros servicios urbanos","0.826336889373488"
"2011","1.2.8","Otros servicios urbanos","0.809814222834028"
"2012","1.2.8","Otros servicios urbanos","0.843077373443594"
"2013","1.2.8","Otros servicios urbanos","0.931631041197384"
"2014","1.2.8","Otros servicios urbanos","0.955647726056811"
"2015","1.2.8","Otros servicios urbanos","0.968787059279514"
"2016","1.2.8","Otros servicios urbanos","0.955078099712641"
"2017","1.2.8","Otros servicios urbanos","1.00604214291775"
"2018","1.2.8","Otros servicios urbanos","0.975392890474162"
"2019","1.2.8","Otros servicios urbanos","0.98413523039915"
"2020","1.2.8","Otros servicios urbanos","0.960227554342953"
"2021","1.2.8","Otros servicios urbanos","0.994880786840875"
"2022","1.2.8","Otros servicios urbanos","0.939506633756532"
"2023","1.2.8","Otros servicios urbanos","0.939485945415394"
