"ppg_label","programa_desc","porcentaje","nuevo_programa_desc"
"No PPG","Asistencia Tecnico - Financiera y Desarrollo de Infraestructura para el Saneamiento",0.0670009145815452,"otros"
"No PPG","Asistencia y Coordinacion de Politicas Sociales",0.00488325479306599,"otros"
"No PPG","Asuntos Estrategicos",0.00592653748217488,"otros"
"No PPG","Asuntos Penitenciarios",0.002612875497027,"otros"
"No PPG","Atencion a Pasividades de Guardaparques",0.00332852114767342,"otros"
"No PPG","Atencion a Personas con Discapacidades Psicofisicas",0.0120064536835594,"otros"
"No PPG","Atencion de Pacientes",0.0668191686148269,"otros"
"No PPG","Atencion de Pasividades",0.00357660033867141,"otros"
"No PPG","Atencion de Usuarios",0.00764813972214777,"otros"
"No PPG","Atencion Ex-Cajas Provinciales",1.06128265137899,"Atencion Ex-Cajas Provinciales"
"No PPG","Atencion Medica a los Beneficiarios de Pensiones no Contributivas",0.614256814130366,"Atencion Medica a los Beneficiarios de Pensiones no Contributivas"
"No PPG","Atencion Pensiones Ex-Combatientes y Regimen Reparatorio Ley Nº26.913",0.24192989771819,"otros"
"No PPG","Atencion Sanitaria de la Prefectura Naval Argentina",0.0177209821843214,"otros"
"No PPG","Atencion Sanitaria en el Territorio",1.77618309683121e-05,"otros"
"No PPG","Atencion Sanitaria para la Comunidad",0.167119364752564,"otros"
"No PPG","Atencion Servicios Financieros y Gastos Judiciales",0.00714226728262261,"otros"
"No PPG","Atencion y Acompañamiento a Personas con Consumos Problematicos",0.0355977695969018,"otros"
"No PPG","Atencion y Desarrollo de Poblaciones Indigenas",0.00501088886080894,"otros"
"No PPG","Biblioteca y Jurisprudencia",0.00347818470262792,"otros"
"No PPG","Calidad y Formacion Turistica",0.000304626565056059,"otros"
"No PPG","Capacitacion y Formacion de la Fuerza Aerea",0.0798749858354079,"otros"
"No PPG","Cascos Blancos",0.00106429945553764,"otros"
"No PPG","Cobertura de Emergencias Sanitarias",0.000713579512597646,"otros"
"No PPG","Cobertura Sanitaria Compensatoria",0.0726725547837555,"otros"
"No PPG","Complementos a las Prestaciones Previsionales",3.23611133752691,"Complementos a las Prestaciones Previsionales"
"No PPG","Conduccion del Poder Ejecutivo Nacional",0.06081894152468,"otros"
"No PPG","Conduccion y Planificacion para la Defensa",0.0232659625824942,"otros"
"No PPG","Conectar Igualdad",0.067139473039884,"otros"
"No PPG","Conectividad, Inclusion Digital y Formulacion de Politicas de TICs",0.00188996231186725,"otros"
"No PPG","Conservacion y Administracion de Areas Naturales Protegidas",0.0422641070221932,"otros"
"No PPG","Consolidacion Urbana, Mejoramiento de Barrios y Puesta en Valor de Centralidades",0.0150496389306002,"otros"
"No PPG","Construccion “CASA AMOR”",0,"otros"
"No PPG","Construccion de Autopistas y Autovias",0.0740504696083842,"otros"
"No PPG","Construccion de Rutas Nuevas y Obras de Pavimentacion",0.00595234935388437,"otros"
"No PPG","Construccion de Rutas Seguras",0.00744010387630458,"otros"
"No PPG","Construccion de Tuneles y Puentes Grandes",0.000800120923026812,"otros"
"No PPG","Construccion y Puesta en Valor de Infraestructura de Apoyo y Soporte al Plan Vial Nacional",8.28931328443822e-05,"otros"
"No PPG","Construcciones de Obras Viales fuera de la Red Vial Nacional",0.0019338053568692,"otros"
"No PPG","Control Ambiental",0.0154821549512174,"otros"
"No PPG","Control de Genuinidad de la Produccion Vitivinicola",0.0155447435440899,"otros"
"No PPG","Control de Ingresos y Egresos, Admision y Permanencia de Personas dentro del Territorio Nacional",0.111071314164356,"otros"
"No PPG","Control de Seguridad de Presas",0.00248196591548556,"otros"
"No PPG","Control de Servicios Postales",0.00174086647930526,"otros"
"No PPG","Control de Transito Aereo",0.00504019164198426,"otros"
"No PPG","Control del Sistema Nacional de Aeropuertos",0.00938750976713178,"otros"
"No PPG","Control Externo del Sector Publico Nacional",0.0663182546812137,"otros"
"No PPG","Control Interno del Poder Ejecutivo Nacional",0.01801003344175,"otros"
"No PPG","Control Parlamentario de los Derechos de las Niñas, Niños y Adolescentes (NNA)",0.0001690337510824,"otros"
"No PPG","Control Parlamentario de los Fondos de la Seguridad Social",0.000155030509719338,"otros"
"No PPG","Control Parlamentario de Seguimiento de Tramite Legislativo",3.25893731454814e-05,"otros"
"No PPG","Control Parlamentario sobre el Funcionamiento del Sistema de Inteligencia",0.000128051784992645,"otros"
"No PPG","Control Parlamentario sobre Organos y Actividades de Seguridad Interior",3.40271281995055e-05,"otros"
"No PPG","Control y Fiscalizacion de la Actividad Aseguradora y Reaseguradora",0.0301364162419558,"otros"
"No PPG","Control y Fiscalizacion de la Oferta Publica",0.0139425573845845,"otros"
"No PPG","Control y Fiscalizacion de los Servicios de Comunicacion Audiovisual",0.00619828380175023,"otros"
"No PPG","Control y Fiscalizacion de Medicamentos, Alimentos, Productos Medicos, Cosmeticos y Productos de Uso Domestico",0.041255610893147,"otros"
"No PPG","Control y Fiscalizacion de Servicios de Tecnologias de la Informacion y las Comunicaciones",0.00620988999852784,"otros"
"No PPG","Control y Servicio Tecnico de Seguridad de la Navegacion",0.00631396899152727,"otros"
"No PPG","Controles Anticorrupcion",0.000315712781055182,"otros"
"No PPG","Cooperacion e Integracion Educativa Internacional",0.00156119190507631,"otros"
"No PPG","Cooperacion Tecnica y Financiera para la Laborterapia de Internos",0.0278001429286206,"otros"
"No PPG","Cooperacion, Asistencia Tecnica y Capacitacion a Municipios",0.00376155573982422,"otros"
"No PPG","Coordinacion de Financiamientos Transversales y Federales y de la Asistencia a la Produccion",0.00433488234804098,"otros"
"No PPG","Coordinacion de Politicas de Transporte Aereo",1.24588063754341e-05,"otros"
"No PPG","Coordinacion de Politicas de Transporte Fluvial y Maritimo",0.00730682241266601,"otros"
"No PPG","Coordinacion de Relaciones Financieras Internacionales",0.00302446082682202,"otros"
"No PPG","Coordinacion del Plan Nacional de Medicina",0.000250179078264491,"otros"
"No PPG","Coordinacion Fiscal con las Provincias",0.000891472466829347,"otros"
"No PPG","Coordinacion Institucional del Ministerio de Seguridad y Fuerzas Policiales y de Seguridad",0.0454424731068704,"otros"
"No PPG","Coordinacion Interjurisdiccional e Interinstitucional",0.000588737583472255,"otros"
"No PPG","Cumplimiento de Medida Cautelar CSJN 1864/2022",0.552595823382544,"Cumplimiento de Medida Cautelar CSJN 1864/2022"
"No PPG","Cuotas y Contribuciones a Organismos Internacionales",0.130479643595648,"otros"
"No PPG","Defensa de la Libre Competencia",0.00281025098125351,"otros"
"No PPG","Defensa de los Derechos de las Niñas, Niños y Adolescentes (NNA)",0.00809218637019576,"otros"
"No PPG","Defensa de los Derechos de los Ciudadanos",0.0116483775010818,"otros"
"No PPG","Defensa del Publico de Servicios de Comunicacion Audiovisual",0.00373408230883845,"otros"
"No PPG","Defensa y Representacion Juridica del Estado",0.00510660527516596,"otros"
"No PPG","Definicion de Politicas de Comercio Exterior",0.00598459597697657,"otros"
"No PPG","Definicion de Politicas de Comercio Interior",0.0113763506345351,"otros"
"No PPG","Deporte Comunitario y Competencias",0.0146480931094237,"otros"
"No PPG","Deporte Federado e Iniciacion Deportiva",0.00773627652610129,"otros"
"No PPG","Desarrollo de Estrategias en Salud Comunitaria",0.00202579235494241,"otros"
"No PPG","Desarrollo de la Ciencia y Tecnica del Agua",0.00772030926387738,"otros"
"No PPG","Desarrollo de la Educacion Superior",3.69553773407617,"Desarrollo de la Educacion Superior"
"No PPG","Desarrollo de la Infraestructura Ambiental",0,"otros"
"No PPG","Desarrollo de la Infraestructura del Conocimiento",0.00332330379014852,"otros"
"No PPG","Desarrollo de la Infraestructura Hidraulica",0.0219516169931991,"otros"
"No PPG","Desarrollo de la Infraestructura Productiva",0,"otros"
"No PPG","Desarrollo de la Salud Sexual y la Procreacion Responsable",0.00324187911755181,"otros"
"No PPG","Desarrollo de los Recursos Humanos del Sector Publico",0.0104076761145794,"otros"
"No PPG","Desarrollo de Politicas de Vinculacion Tecnologica y Social",0.000315523661260314,"otros"
