"","iso3","pais_nombre","anio","valor"
"178","FIN","Finland",2011,27.223
"179","FIN","Finland",2012,28.532
"180","FIN","Finland",2013,29.672
"181","FIN","Finland",2014,30.438
"182","FIN","Finland",2015,30.812
"183","FIN","Finland",2016,30.801
"184","FIN","Finland",2017,29.884
"185","FIN","Finland",2018,29.588
"186","POL","Poland",2010,20.802
"187","POL","Poland",2011,19.595
"188","POL","Poland",2012,19.871
"189","POL","Poland",2013,20.742
"190","POL","Poland",2014,20.325
"191","POL","Poland",2015,20.15
"192","POL","Poland",2016,21.189
"193","POL","Poland",2017,20.743
"194","POL","Poland",2018,20.288
"195","CAN","Canada",2010,18.425
"196","CAN","Canada",2011,17.9
"197","CAN","Canada",2012,18.065
"198","CAN","Canada",2013,17.932
"199","CAN","Canada",2014,17.848
"200","CAN","Canada",2015,18.892
"201","CAN","Canada",2016,19.188
"202","CAN","Canada",2017,19.092
"203","CAN","Canada",2018,19.118
"204","USA","United States",2010,19.048
"205","USA","United States",2011,18.749
"206","USA","United States",2012,18.483
"207","USA","United States",2013,18.421
"208","USA","United States",2014,18.41
"209","USA","United States",2015,18.483
"210","USA","United States",2016,18.588
"211","USA","United States",2017,18.386
"212","USA","United States",2018,18.153
"213","MEX","Mexico",2010,7.026
"214","MEX","Mexico",2011,6.925
"215","MEX","Mexico",2012,6.917
"216","MEX","Mexico",2013,7.262
"217","MEX","Mexico",2014,7.279
"218","MEX","Mexico",2015,7.395
"219","MEX","Mexico",2016,7.259
"220","MEX","Mexico",2017,7.209
"221","MEX","Mexico",2018,7.053
"222","TUR","Türkiye",2010,12.273
"223","TUR","Türkiye",2011,11.792
"224","TUR","Türkiye",2012,11.947
"225","TUR","Türkiye",2013,11.756
"226","TUR","Türkiye",2014,11.66
"227","TUR","Türkiye",2015,11.541
"228","TUR","Türkiye",2016,12.534
"229","TUR","Türkiye",2017,11.999
"230","TUR","Türkiye",2018,11.76
"231","CZE","Czechia",2010,20.013
"232","CZE","Czechia",2011,19.976
"233","CZE","Czechia",2012,20.32
"234","CZE","Czechia",2013,20.427
"235","CZE","Czechia",2014,20.037
"236","CZE","Czechia",2015,19.432
"237","CZE","Czechia",2016,19.127
"238","CZE","Czechia",2017,18.671
"239","CZE","Czechia",2018,18.868
"240","LVA","Latvia",2010,19.533
"241","LVA","Latvia",2011,17.514
"242","LVA","Latvia",2012,15.918
"243","LVA","Latvia",2013,16.1
"244","LVA","Latvia",2014,15.941
"245","LVA","Latvia",2015,16.26
"246","LVA","Latvia",2016,16.542
"247","LVA","Latvia",2017,16.4
"248","LVA","Latvia",2018,16.716
"249","AUS","Australia",2010,16.544
"250","AUS","Australia",2011,17.008
"251","AUS","Australia",2012,17.301
"252","AUS","Australia",2013,17.264
"253","AUS","Australia",2014,17.868
"254","AUS","Australia",2015,18.199
"255","AUS","Australia",2016,17.483
"256","AUS","Australia",2017,17.072
"257","AUS","Australia",2018,16.626
"258","OECD","OECD",2010,20.509
"259","OECD","OECD",2011,20.152
"260","OECD","OECD",2012,20.268
"261","OECD","OECD",2013,20.33
"262","OECD","OECD",2014,20.287
"263","OECD","OECD",2015,20.212
"264","OECD","OECD",2016,20.204
"265","OECD","OECD",2017,19.945
"266","OECD","OECD",2018,19.834
"267","ISR","Israel",2010,15.298
"268","ISR","Israel",2011,15.062
"269","ISR","Israel",2012,15.276
"270","ISR","Israel",2013,15.413
"271","ISR","Israel",2014,15.435
"272","ISR","Israel",2015,15.405
"273","ISR","Israel",2016,15.453
"274","ISR","Israel",2017,16.022
"275","ISR","Israel",2018,16.01
"276","SVN","Slovenia",2010,23.558
"277","SVN","Slovenia",2011,23.617
"278","SVN","Slovenia",2012,23.682
"279","SVN","Slovenia",2013,24.075
"280","SVN","Slovenia",2014,23.312
"281","SVN","Slovenia",2015,22.877
"282","SVN","Slovenia",2016,22.5
"283","SVN","Slovenia",2017,21.676
"284","SVN","Slovenia",2018,21.517
"285","HUN","Hungary",2010,22.862
"286","HUN","Hungary",2011,22.208
"287","HUN","Hungary",2012,22.546
"288","HUN","Hungary",2013,22.183
"289","HUN","Hungary",2014,21.315
"290","HUN","Hungary",2015,20.343
"291","HUN","Hungary",2016,20.116
"292","HUN","Hungary",2017,19.411
"293","HUN","Hungary",2018,18.55
"294","NLD","Netherlands",2010,18.317
"295","NLD","Netherlands",2011,18.419
"296","NLD","Netherlands",2012,18.897
"297","NLD","Netherlands",2013,19.141
"298","NLD","Netherlands",2014,19.03
"299","NLD","Netherlands",2015,18.602
"300","NLD","Netherlands",2016,18.443
"301","NLD","Netherlands",2017,17.939
"302","NLD","Netherlands",2018,17.586
"303","CHL","Chile",2010,10.543
"304","CHL","Chile",2011,10.074
"305","CHL","Chile",2012,10.133
"306","CHL","Chile",2013,10.087
"307","CHL","Chile",2014,10.371
"308","CHL","Chile",2015,10.901
"309","CHL","Chile",2016,11.129
"310","CHL","Chile",2017,11.416
"311","CHL","Chile",2018,11.386
"312","ESP","Spain",2010,24.872
"313","ESP","Spain",2011,25.496
"314","ESP","Spain",2012,25.433
"315","ESP","Spain",2013,25.574
"316","ESP","Spain",2014,25.209
"317","ESP","Spain",2015,24.493
"318","ESP","Spain",2016,24.048
"319","ESP","Spain",2017,23.578
"320","ESP","Spain",2018,23.721
"321","KOR","Korea",2010,7.373
"322","KOR","Korea",2011,7.337
"323","KOR","Korea",2012,7.825
"324","KOR","Korea",2013,8.297
"325","KOR","Korea",2014,8.633
"326","KOR","Korea",2015,9.052
"327","KOR","Korea",2016,9.247
"328","KOR","Korea",2017,9.473
"329","KOR","Korea",2018,10.172
"330","CHE","Switzerland",2010,14.962
"331","CHE","Switzerland",2011,14.925
"332","CHE","Switzerland",2012,15.183
"333","CHE","Switzerland",2013,15.462
"334","CHE","Switzerland",2014,15.424
"335","CHE","Switzerland",2015,15.893
"336","CHE","Switzerland",2016,16.097
"337","CHE","Switzerland",2017,16.271
"338","CHE","Switzerland",2018,15.785
"339","FRA","France",2010,30.97
"340","FRA","France",2011,30.645
"341","FRA","France",2012,31.185
"342","FRA","France",2013,31.592
"343","FRA","France",2014,31.892
"344","FRA","France",2015,31.705
"345","FRA","France",2016,31.842
"346","FRA","France",2017,31.511
"347","FRA","France",2018,31.052
"348","EST","Estonia",2010,18.498
"349","EST","Estonia",2011,16.451
"350","EST","Estonia",2012,15.933
"351","EST","Estonia",2013,15.75
"352","EST","Estonia",2014,16.073
"353","EST","Estonia",2015,17.326
"354","EST","Estonia",2016,17.519
"355","EST","Estonia",2017,17.014
"356","EST","Estonia",2018,17.453
"357","GRC","Greece",2010,25.077
"358","GRC","Greece",2011,26.442
"359","GRC","Greece",2012,27.792
"360","GRC","Greece",2013,25.717
"361","GRC","Greece",2014,25.68
"362","GRC","Greece",2015,25.864
"363","GRC","Greece",2016,26.053
"364","GRC","Greece",2017,25.122
"365","GRC","Greece",2018,24.881
"366","PRT","Portugal",2010,24.302
"367","PRT","Portugal",2011,24.198
"368","PRT","Portugal",2012,24.297
"369","PRT","Portugal",2013,25.386
"370","PRT","Portugal",2014,24.959
"371","PRT","Portugal",2015,23.967
"372","PRT","Portugal",2016,23.477
"373","PRT","Portugal",2017,22.783
"374","PRT","Portugal",2018,22.478
"375","ITA","Italy",2010,26.827
"376","ITA","Italy",2011,26.43
"377","ITA","Italy",2012,27.121
"378","ITA","Italy",2013,27.733
"379","ITA","Italy",2014,27.985
"380","ITA","Italy",2015,28.188
"381","ITA","Italy",2016,27.779
"382","ITA","Italy",2017,27.528
"383","ITA","Italy",2018,27.417
"384","GBR","United Kingdom",2010,25.234
"385","GBR","United Kingdom",2011,25.076
"386","GBR","United Kingdom",2012,25.279
"387","GBR","United Kingdom",2013,24.583
"388","GBR","United Kingdom",2014,24.024
"389","GBR","United Kingdom",2015,23.698
"390","GBR","United Kingdom",2016,22.9
"391","GBR","United Kingdom",2017,22.647
"392","GBR","United Kingdom",2018,22.223
"393","BEL","Belgium",2010,27.658
"394","BEL","Belgium",2011,27.879
"395","BEL","Belgium",2012,27.822
"396","BEL","Belgium",2013,28.2
"397","BEL","Belgium",2014,28.26
"398","BEL","Belgium",2015,29.119
"399","BEL","Belgium",2016,28.517
"400","BEL","Belgium",2017,28.363
"401","BEL","Belgium",2018,28.342
"402","NOR","Norway",2010,22.001
"403","NOR","Norway",2011,21.446
"404","NOR","Norway",2012,21.332
"405","NOR","Norway",2013,21.782
"406","NOR","Norway",2014,22.687
"407","NOR","Norway",2015,24.531
"408","NOR","Norway",2016,25.819
"409","NOR","Norway",2017,24.952
"410","NOR","Norway",2018,24.082
"411","IRL","Ireland",2010,24.118
"412","IRL","Ireland",2011,23.025
"413","IRL","Ireland",2012,22.842
"414","IRL","Ireland",2013,21.33
"415","IRL","Ireland",2014,19.5
"416","IRL","Ireland",2015,14.659
"417","IRL","Ireland",2016,14.8
"418","IRL","Ireland",2017,13.643
"419","IRL","Ireland",2018,13.163
"420","COL","Colombia",2010,12.149
"421","COL","Colombia",2011,12.681
"422","COL","Colombia",2012,12.63
"423","COL","Colombia",2013,13.424
"424","COL","Colombia",2014,14.108
"425","COL","Colombia",2015,14.611
"426","COL","Colombia",2016,14.24
"427","COL","Colombia",2017,14.253
"428","COL","Colombia",2018,13.817
"429","DEU","Germany",2010,26.685
"430","DEU","Germany",2011,25.385
"431","DEU","Germany",2012,25.285
"432","DEU","Germany",2013,25.492
"433","DEU","Germany",2014,25.43
"434","DEU","Germany",2015,25.721
"435","DEU","Germany",2016,25.922
"436","DEU","Germany",2017,25.938
"437","DEU","Germany",2018,26.041
"438","ROU","Romania",2010,17.391
"439","ROU","Romania",2011,15.4
"440","ROU","Romania",2012,14.697
"441","ROU","Romania",2013,15.408
"442","ROU","Romania",2014,15.076
"443","ROU","Romania",2015,14.865
"444","ROU","Romania",2016,15.172
"445","ROU","Romania",2017,15.241
"446","ROU","Romania",2018,15.281
"447","BGR","Bulgaria",2010,16.269
"448","BGR","Bulgaria",2011,15.477
"449","BGR","Bulgaria",2012,16.455
"450","BGR","Bulgaria",2013,17.75
"451","BGR","Bulgaria",2014,18.419
"452","BGR","Bulgaria",2015,17.583
"453","BGR","Bulgaria",2016,17.21
"454","BGR","Bulgaria",2017,16.834
"455","BGR","Bulgaria",2018,16.84
"456","HRV","Croatia",2010,21.216
"457","HRV","Croatia",2011,20.179
"458","HRV","Croatia",2012,20.627
"459","HRV","Croatia",2013,20.145
"460","HRV","Croatia",2014,20.687
"461","HRV","Croatia",2015,20.687
"462","HRV","Croatia",2016,20.63
"463","HRV","Croatia",2017,20.345
"464","HRV","Croatia",2018,20.594
